data,time,stor,Generated_Var_1,Generated_Var_3,actual
0.519492,0.08167293,-0.024949066,0.50708395,0.7038474,-0.081849344
0.6373626,0.07973262,-0.058873296,0.57593733,0.783303,-0.11888524
0.5124907,0.021098033,0.014511604,0.6292969,0.7524915,-0.07108983
0.49962732,0.16932066,0.13638163,0.45656574,0.60620165,-0.017406888
0.61991686,0.122026324,0.05608353,0.40172273,0.6095569,-0.06353917
0.7468179,-0.23913574,-0.30006152,0.72014683,0.7605592,-0.2439284
0.56763494,0.16390562,0.08513366,0.4407279,0.66487813,-0.070979126
0.5041259,0.27166897,0.24961221,0.36579102,0.5260599,-0.0663865
0.4976187,0.06042175,0.056549504,0.49745128,0.62966603,-0.016961396
0.47592175,0.051140346,0.0708913,0.5712634,0.6298181,-0.041607298
0.5003612,0.08611694,0.027924847,0.4936344,0.6436292,-0.039732613
0.8025993,-0.22499385,-0.19770023,0.8576787,1.0306921,-0.23221216
0.43243355,0.032755345,0.06914855,0.5110578,0.55351853,-0.042573698
0.95511174,-0.30189252,-0.293467,0.99702317,1.2150099,-0.3057673
0.54030204,-0.07563553,-0.09265314,0.49797577,0.5123539,-0.1164392
0.48100165,0.22360873,0.21944943,0.32661948,0.4889127,-0.065402456
0.75050086,-0.13128889,-0.17574129,0.7786142,0.97286975,-0.22581998
0.5106622,0.012672327,0.030201484,0.503811,0.5234101,-0.046085484
0.52212024,0.084582016,-0.0062240437,0.48241898,0.6839466,-0.02739384
0.3626863,0.24955615,0.26717445,0.39866963,0.45358157,-0.002859123
0.72892004,-0.14558303,-0.12368345,0.74605775,0.9338068,-0.19019109
0.48018196,0.0887511,0.08880368,0.53260326,0.6725087,-0.022188254
0.7258862,-0.17176005,-0.17615333,0.74791205,0.8988341,-0.18624917
0.775652,-0.2561112,-0.29276553,0.7716039,0.84695125,-0.2412155
0.40914753,0.088357575,0.09469458,0.39391226,0.42470178,-0.02971036
0.4964131,0.037877854,0.049418136,0.5261841,0.5949774,-0.023514695
0.59986407,0.13315228,0.06145832,0.41912436,0.622481,-0.07363836
1.7841418,-0.770749,-0.7256639,1.9004357,2.3091953,-0.7549748
0.41529322,0.21694916,0.20680228,0.28490245,0.36298805,-0.04098914
0.49443945,0.014178153,-0.005620159,0.5211402,0.6004916,-0.037956573
0.9570315,-0.25407547,-0.32133216,1.0530849,1.3351936,-0.35378397
0.70175654,-0.19006276,-0.19087541,0.7047905,0.7538127,-0.20172822
0.6664709,-0.17290515,-0.22103074,0.6151611,0.6433509,-0.16586354
0.8376229,-0.29766285,-0.3661247,0.73761123,0.7742022,-0.2794203
0.41707173,0.103690475,0.05781044,0.41051114,0.42437184,-0.09137615
1.1402625,0.25105837,0.07707494,0.5718256,1.1234498,-0.22358748
0.3881633,0.23967132,0.22148806,0.33035624,0.3945033,-0.0336247
0.4194927,0.10380517,0.14850107,0.5311774,0.5756495,-0.0014935657
0.6928956,-0.16055492,-0.14866649,0.7123316,0.82865405,-0.16594699
0.3633889,0.118468344,0.0905761,0.31430972,0.34039223,-0.05300992
0.5893453,0.10204756,-0.0034288168,0.49955767,0.703255,-0.09082181
0.5998717,0.03636784,-0.08747189,0.62440884,0.81697345,-0.12651038
0.8351936,-0.259281,-0.28970045,0.87499696,1.0134307,-0.28018722
0.4203605,0.14480498,0.16730654,0.49103487,0.5723586,0.0056054145
0.551081,0.142043,0.093022354,0.39721674,0.56939036,-0.05526664
0.46687916,0.015593365,-0.029173099,0.49969986,0.5243197,-0.08628098
0.37694132,0.13521934,0.14521608,0.49563995,0.54005355,-0.0017518625
0.334481,0.16707866,0.19574207,0.44743147,0.46755075,0.0046107396
0.7112965,0.24858949,0.19518346,0.38336575,0.7206428,-0.06910098
0.34751537,0.13993567,0.16313788,0.43437204,0.48143625,0.0016820654
0.5768556,0.04726797,-0.035461552,0.50347984,0.6333207,-0.08825108
0.6630046,-0.07417158,-0.15234739,0.5794118,0.73129535,-0.11230876
0.41719338,0.13977274,0.10719478,0.33792004,0.41346622,-0.008946098
0.47847247,0.021677319,0.04654924,0.56900984,0.5942441,-0.056058474
0.6212402,-0.14006999,-0.13554534,0.597069,0.5913991,-0.16661811
0.45362812,0.23663193,0.18158326,0.4780708,0.56349504,-0.047127284
0.6544686,-0.112744726,-0.12338658,0.7124838,0.7997341,-0.150803
0.4548228,0.04597844,0.09847828,0.51851505,0.56104624,-0.02597253
0.3966942,0.06627604,0.045336023,0.32196122,0.3306376,-0.07059843
0.9517922,-0.36181477,-0.3885744,0.9801753,1.0754192,-0.3308734
0.44683185,0.06529401,0.08925857,0.51280427,0.5770991,-0.043537445
0.52676266,0.20158917,0.18472973,0.37819234,0.5487593,-0.050794758
0.36594614,0.21768668,0.22969453,0.3803069,0.45517558,0.00033401698
0.7117021,0.24218744,0.09872488,0.51533395,0.821096,-0.09831574
0.6278522,0.12094408,0.062936865,0.41442063,0.619521,-0.06625513
0.38865694,0.20743278,0.18922561,0.29358476,0.36512756,-0.044296913
0.728642,-0.17611489,-0.20500004,0.7823201,0.90213144,-0.21603778
0.46877545,0.16882583,0.16844267,0.41713426,0.53095436,-0.026602112
0.44226918,0.072639465,0.12372321,0.5483924,0.59416634,-0.026602894
0.5927363,-0.057162262,-0.028497353,0.65718585,0.7524057,-0.10989068
0.5393898,0.2644447,0.2356456,0.38825583,0.60086226,-0.04746353
0.357835,0.14904469,0.11932593,0.30309355,0.34844935,-0.054285176
