size_D,nlan,t07,t09,t10,t12,t15,effort_D
1.0084089,1.8336289,1.0311041,1.8395298,1.5875555,1.9972135,1.1417471,0.3858485
0.38649324,0.4983775,0.6340605,0.8602765,0.78368306,0.93584204,0.28443262,0.12570609
0.5060812,1.1183399,0.66777796,0.92628694,0.7302074,1.0629561,0.5377004,0.14237297
0.33228067,0.6616788,0.54015636,0.8274926,0.7107695,0.8499778,0.48157728,0.12028694
0.24638847,0.47047764,0.50794274,0.7167525,0.6574787,0.75357217,0.30783314,0.09116396
0.2592098,0.41206974,0.49530816,0.6562807,0.63653386,0.7309841,0.2810639,0.10502924
0.41495153,0.68628216,0.6501475,0.92173404,0.7655908,0.97071344,0.39814353,0.10792452
0.51412296,1.0938993,0.6128049,0.901402,0.7120878,1.0298343,0.4937303,0.1570831
0.68093294,0.86017805,1.0474868,1.3981469,1.1678587,1.5089805,0.3142261,0.2710873
0.5735676,1.0613339,0.7330883,1.1068912,0.9033762,1.2230792,0.71390194,0.21255468
0.38335007,0.67526305,0.6486964,0.9966013,0.830979,0.9780403,0.4317423,0.14225635
0.31963813,0.49460733,0.62717223,0.8562313,0.7887635,0.89014,0.27720633,0.13607584
0.41769853,0.7447618,0.63676417,0.94635385,0.7028317,0.9968167,0.28311568,0.12426056
0.5873415,0.938473,0.78414494,1.2158996,1.0240347,1.2739316,0.6371027,0.1966946
0.8347351,1.7937373,0.9097293,1.2709322,0.7746579,1.5844061,0.5350753,0.23363087
0.6356164,0.90148914,0.80803674,1.1338017,0.9113352,1.2913916,0.7004418,0.2172272
0.38862354,0.7757322,0.61465335,0.9487928,0.8174887,0.9728974,0.5318168,0.14089996
0.6570498,1.3785267,0.775179,1.0787051,0.6936822,1.3572475,0.41717857,0.19802518
0.27799472,0.52684546,0.49871576,0.71455437,0.6421343,0.7581184,0.3614043,0.10289219
0.5486879,0.7336936,0.8084168,1.190347,0.9854475,1.240622,0.38181555,0.1605525
0.38885424,0.5794609,0.6221193,0.8466628,0.6981278,0.88855445,0.48266554,0.11897248
0.4482031,0.7890121,0.6610163,1.022509,0.8421351,1.0611758,0.53259087,0.15654132
0.29637808,0.473651,0.530646,0.73973423,0.6240085,0.755079,0.3661703,0.08237955
0.42934296,0.57105654,0.6680293,0.9578954,0.8218547,0.97498477,0.44491297,0.12282239
0.41894248,0.7018455,0.611243,0.8848009,0.73825,0.9278753,0.5066274,0.1409155
0.30254817,0.59623563,0.51560175,0.7608683,0.6606512,0.79248846,0.4062438,0.08907263
0.39968297,0.61120933,0.6327952,0.9163689,0.78195184,0.9500779,0.36895782,0.106560275
0.38732046,0.8132804,0.60910195,0.89684623,0.7124271,0.92510724,0.49509835,0.14377467
0.3451455,0.65429556,0.57346475,0.86598325,0.73816466,0.8739911,0.5106127,0.13113073
0.5592321,0.98334616,0.6719173,1.0618033,0.89301115,1.1552516,0.6692434,0.21190953
0.4366421,0.7003423,0.6536655,0.98642737,0.8281322,1.0217712,0.47154516,0.12388322
0.6403,0.7994045,0.8885436,1.3795121,1.1633266,1.3956089,0.3834597,0.18697786
0.30068016,0.5160679,0.53277624,0.7596604,0.649781,0.7901082,0.390431,0.08584526
0.3767066,0.638775,0.6203661,0.9118555,0.77335286,0.9961794,0.24609044,0.16022307
0.53325427,0.81273425,0.7319868,1.1493496,0.99103314,1.1732675,0.48577654,0.15948063
0.32653952,0.591402,0.5409807,0.785647,0.6784921,0.8223785,0.38703525,0.09547347
0.39453882,0.89213526,0.5386648,0.7754022,0.6200529,0.87660736,0.40799594,0.11148809
0.7200369,1.314257,0.8352143,1.1774182,0.7898393,1.3253778,0.46309525,0.18901293
0.6033651,1.290387,0.6603602,0.97759056,0.7774291,1.167496,0.59202343,0.20806183
0.45178044,0.4968089,0.7169622,0.92863137,0.8737393,1.0046632,0.25272352,0.17610438
0.45058894,0.6851898,0.733674,1.152005,1.0253949,1.135233,0.39670783,0.16092296
0.30154467,0.6203229,0.49995208,0.73152316,0.63320667,0.7745577,0.39830083,0.08994153
0.5811964,1.227046,0.67209387,0.9834849,0.7188058,1.1094968,0.48360038,0.16810855
0.4961058,0.81602883,0.69750184,1.1097727,0.95456314,1.1370441,0.47967434,0.15588005
0.39124846,0.61033845,0.64510494,0.8773335,0.72333825,0.92769384,0.3645606,0.1047913
0.4454116,0.9874881,0.6063417,0.8894639,0.70529556,0.9916491,0.47585386,0.14419565
0.65814275,0.8105444,0.8496023,1.2770299,1.0822734,1.3011808,0.6174433,0.19211182
0.47002262,0.771244,0.72316813,1.0174881,0.8015575,1.0658091,0.424657,0.11161204
0.50046045,1.0731553,0.61790884,0.85217553,0.6443959,0.9916932,0.4573831,0.13179284
0.47897872,0.9271755,0.6988859,0.990661,0.7478964,1.0847723,0.46803606,0.11167517
0.46355233,0.81784403,0.644904,0.9926856,0.8186904,1.0239909,0.47415954,0.13175276
0.46543306,0.6906604,0.6781606,0.99761724,0.81026524,1.0089859,0.52010727,0.14341062
0.53420526,0.8606317,0.70967126,1.1116824,0.9748128,1.1568927,0.60094804,0.18226762
0.3799331,0.620179,0.6173835,0.8819312,0.7278852,0.9074953,0.39050484,0.09428674
0.64108133,1.383722,0.728107,1.0528501,0.7435453,1.252289,0.53627014,0.20961672
0.3947635,0.7192179,0.577245,0.89073706,0.75807095,0.9135524,0.45962685,0.11895123
0.47790244,1.0238886,0.64290494,0.9469523,0.7872756,1.0417421,0.57669425,0.16902304
0.8316286,1.3517089,1.0682611,1.7557269,1.3662461,1.7526218,0.66024894,0.23271506
0.3054338,0.38923585,0.5498062,0.70693856,0.6788139,0.79460984,0.27152008,0.10474886
0.56605303,0.87728924,0.776649,1.2700957,1.1014941,1.2721477,0.6331537,0.17830998
0.5569013,1.1054395,0.69605637,1.1054418,0.8836907,1.1516322,0.5641166,0.16374505
0.41210905,0.933241,0.5647211,0.8072632,0.6474866,0.92684776,0.45785594,0.13365883
0.8916362,1.4787109,0.9509613,1.4723386,1.2011054,1.6624298,0.94514745,0.3487963
0.46817073,0.79426837,0.69041866,1.1057789,0.9686659,1.1189616,0.5507699,0.15682025
0.3453847,0.6526301,0.5430845,0.836373,0.71009666,0.8519409,0.46929598,0.11187765
0.28140292,0.52362764,0.5101392,0.7345494,0.63036984,0.7542342,0.38732225,0.089407966
0.37343687,0.64718866,0.6279109,0.943329,0.82972986,0.942028,0.44272017,0.12230426
0.4240268,0.9278824,0.5554309,0.80166554,0.6500865,0.91094106,0.450935,0.12544206
0.58596337,1.0932567,0.72180814,1.1734724,1.0184282,1.246524,0.76857924,0.24616776
0.44318587,0.99640995,0.6428123,0.9732024,0.7310765,1.0321732,0.45842636,0.16895396
0.5651974,0.7929958,0.8166317,1.2215967,1.0016233,1.254952,0.40606916,0.14529957
0.9028248,1.902609,0.9255622,1.2940778,0.9171469,1.5978861,0.73467314,0.28072068
0.69667566,1.4299191,0.8272974,1.210287,0.7396951,1.4608299,0.3597681,0.24372098
0.45531663,0.86875457,0.61138964,0.9369697,0.8126555,1.017926,0.6296991,0.18464403
0.3907613,0.65598595,0.62135273,0.91919446,0.76267576,0.95397484,0.47334814,0.1260724
0.5841665,0.7171169,0.877996,1.242222,1.1290053,1.328696,0.31670117,0.2265777
0.34711915,0.7116403,0.5298862,0.8148626,0.67387307,0.8367303,0.4182722,0.10204445
0.48283958,0.7922588,0.6635614,1.0274264,0.8868565,1.0691113,0.5481387,0.15710434
0.4617661,1.016322,0.5938097,0.8980426,0.7260974,0.9927651,0.49191785,0.1587746
0.44773716,1.1098146,0.65252006,0.8702828,0.6542922,1.089229,0.33035362,0.18198332
0.32282838,0.6198298,0.53467345,0.7850004,0.6689481,0.8136679,0.39919674,0.093027845
0.7154246,0.73875475,1.0260341,1.4641821,1.29835,1.5664761,0.22376794,0.28500673
0.3552228,0.7485462,0.556592,0.81283474,0.6716064,0.85174674,0.41992867,0.09986584
0.541457,0.8696392,0.72579837,1.0967004,0.8702044,1.1518246,0.45498145,0.14945412
0.56687367,0.7715285,0.790774,1.1813849,0.9720837,1.218969,0.52975315,0.15616627
0.7407671,1.387326,0.7982216,1.3363079,1.1672969,1.5020541,0.9626486,0.3442847
0.28417394,0.5924584,0.50989497,0.7492107,0.6284832,0.7780788,0.3927421,0.098270535
0.42734456,0.82507974,0.58112216,0.9054089,0.7829351,0.9648703,0.5726335,0.16233668
1.0017864,2.0711153,1.0218673,1.4310162,0.9172183,1.7461461,0.6857727,0.27322736
0.61089116,0.7819595,0.90495366,1.2965595,1.0159205,1.3193182,0.4185211,0.14839645
0.55476636,0.50572705,0.7524413,0.8790812,0.72881854,1.0370921,0.44750708,0.12188859
0.70202744,0.63574654,0.9725198,1.2809424,1.1113702,1.3626631,0.46620595,0.20404759
0.29673895,0.56120443,0.52140856,0.7631432,0.67179316,0.7867134,0.36804795,0.09850414
0.33503202,0.6657693,0.55576444,0.85393494,0.69683,0.8555274,0.3830369,0.095380455
0.4363426,0.9467187,0.5809512,0.8791169,0.7064439,0.9698558,0.46301615,0.14137973
0.4284729,0.6994576,0.6716408,1.0152906,0.8813871,1.0054045,0.5213323,0.17010503
0.3639878,0.8532546,0.5514958,0.81213117,0.6280179,0.89225304,0.41055232,0.1325717
0.4677251,0.5691592,0.69464177,0.9104345,0.7404952,0.9830512,0.3521942,0.09390406
0.35543388,0.6236173,0.5590458,0.84155643,0.72199154,0.8610784,0.45236808,0.11002441
0.4171097,0.7161536,0.6351531,0.97813106,0.8270902,0.9924371,0.53622514,0.14005332
0.46247607,1.0022779,0.5836785,0.8630466,0.61047846,0.9795521,0.3776617,0.1536213
0.6654287,1.4904208,0.7381857,1.0799247,0.8854061,1.2813638,0.68964934,0.23793218
0.3826267,0.33275253,0.65358084,0.74771476,0.69048053,0.8524128,0.19887134,0.10753806
0.44741172,0.7710952,0.70737106,1.0401537,0.80911386,1.0622303,0.3608449,0.15886734
0.8641911,1.4729141,0.9329438,1.5098095,1.2843717,1.7076555,1.0555907,0.38359526
0.7142783,1.0135369,0.9221405,1.5214654,1.2675703,1.5171225,0.6014833,0.21312912
0.42134044,0.78091156,0.6365875,0.96490216,0.81192636,0.9998304,0.46260083,0.11476183
0.51822376,0.81068,0.76492226,1.110031,0.8879027,1.204663,0.47202897,0.13434175
0.33221313,0.64950967,0.5264635,0.777784,0.67272085,0.8179593,0.43000114,0.10197282
0.6494793,0.9241906,0.78198844,1.1804721,0.96031886,1.2779747,0.68079334,0.21014798
0.4736353,0.7474266,0.67574936,1.0412112,0.8564171,1.0629733,0.5037911,0.13274123
0.39697593,0.77853656,0.58020544,0.91820514,0.79104847,0.93962854,0.51424026,0.13391401
0.33207425,0.5159681,0.57397383,0.84648794,0.7410995,0.8462564,0.3787753,0.09845859
0.2946541,0.5998731,0.50486696,0.7433964,0.6434466,0.7827679,0.373914,0.09367117
0.47344097,0.9370489,0.6012497,0.954357,0.8092696,1.0149738,0.55782074,0.16340719
0.5329773,0.6607069,0.72614586,0.9373068,0.7478043,1.0675924,0.5211409,0.13417663
0.31426007,0.6147465,0.5319507,0.7118548,0.61802346,0.855683,0.30710226,0.110121906
0.6375205,1.1821488,0.7619901,1.2492918,0.9882343,1.3096305,0.7419889,0.24290723
0.7529294,1.4108993,0.8378468,1.3825089,1.237943,1.5592701,0.92967504,0.30915296
0.32935637,0.4250729,0.6968103,0.83598065,0.851245,0.9846891,0.1791057,0.19332431
0.67077523,1.1780353,0.73631185,1.2298137,1.0480886,1.3316072,0.76613194,0.24570787
0.43815,0.97118425,0.56472385,0.7936268,0.6262881,0.9225714,0.4645847,0.14155927
0.29299834,0.52736926,0.531415,0.77228385,0.6569229,0.7808306,0.4120798,0.09006581
0.31943253,0.64356136,0.5276536,0.78373545,0.67523605,0.8180196,0.39620543,0.09681022
0.43209654,0.80888903,0.5902575,0.90396327,0.78367436,0.9807661,0.5562154,0.15954962
0.29640695,0.5770575,0.512882,0.7471356,0.6507741,0.77704424,0.40156275,0.091815904
0.33457252,0.49039483,0.56321055,0.7945913,0.6762691,0.81112033,0.41024774,0.103930354
0.35991055,0.76792175,0.5412966,0.7940343,0.6478615,0.8520729,0.39785558,0.102300465
0.59213585,0.74046695,0.85284084,1.1822244,1.0106367,1.2934632,0.28805706,0.19282605
0.46856582,0.6657638,0.6858176,0.9666638,0.799294,1.0299067,0.5490508,0.14690965
0.4293296,0.8554766,0.6122683,0.92139745,0.8057258,0.9862148,0.5406084,0.14443405
1.0556918,2.1623974,1.0122212,1.5143028,1.2278775,1.9091394,1.0493114,0.39825353
0.44430798,0.47219628,0.7379751,0.91054857,0.87704754,1.0271552,0.34442264,0.1902785
0.8275551,1.7243897,0.8816065,1.2435803,0.84084016,1.5394547,0.6469018,0.26980725
0.35645506,0.67891264,0.5767847,0.8867035,0.760115,0.89871734,0.5042896,0.12936987
0.52577245,1.1420782,0.65944916,0.9344131,0.7089471,1.1102026,0.46649444,0.17533289
0.39924324,0.5875923,0.64566994,0.96869105,0.816985,0.97334784,0.30478,0.12279746
0.36173174,0.6586757,0.57845914,0.87311435,0.7620234,0.89239484,0.43977648,0.1142859
0.6433224,1.4545612,0.7599224,1.1435809,0.75009376,1.3217899,0.47258466,0.22345413
0.3343692,0.5534062,0.59260285,0.8534365,0.7971796,0.8998472,0.33074963,0.13278219
0.62381285,1.2836728,0.78038734,1.3369018,1.1182672,1.3520628,0.7362074,0.21728359
0.304052,0.60004693,0.5144845,0.75784045,0.6498018,0.7878018,0.39652795,0.09039989
0.3857619,0.6880203,0.5988567,0.8923344,0.7395468,0.9220872,0.4031903,0.10102795
0.38291496,0.7351395,0.5906405,0.912903,0.7812239,0.93837136,0.53819203,0.14759342
0.31863883,0.58165,0.55443615,0.81712604,0.71714354,0.8409877,0.3564688,0.10714713
0.28326595,0.5521006,0.5066938,0.7445361,0.6413337,0.7662971,0.41224575,0.09204003
0.39661634,0.7159425,0.6244347,0.8815156,0.71593094,0.91417867,0.41719043,0.10430181
0.6959508,1.1328524,0.81227666,1.288552,1.0466219,1.400017,0.77713317,0.25830716
0.31723127,0.5663344,0.553624,0.8296168,0.73974824,0.84799075,0.30964196,0.11664428
0.50156355,0.98965675,0.7065157,1.1680291,0.9883761,1.1718179,0.6691709,0.20116444
0.5398902,0.46995908,0.79818535,1.0009189,0.94969845,1.1489553,0.32997984,0.21281101
0.28891987,0.5015372,0.51355433,0.7362864,0.6659929,0.77105284,0.33130348,0.10057472
0.6235133,0.6815266,0.8288045,1.065408,0.87784624,1.203562,0.5541472,0.16136163
0.5951398,1.2074524,0.66589177,1.0251702,0.8452278,1.1532402,0.6227939,0.20117363
0.7801106,1.3861412,0.85148746,1.4268863,1.2484581,1.5392724,0.86275005,0.2920947
0.76293534,1.6954768,0.8343785,1.2219303,0.7996757,1.4915938,0.5510793,0.24703258
0.31028262,0.6499769,0.51861393,0.7712181,0.64796185,0.81083864,0.3784005,0.10146028
0.6328876,1.0387443,0.8321922,1.3400258,1.0707445,1.3569504,0.55753577,0.1747823
0.25842625,0.42859787,0.5326121,0.7023645,0.6432022,0.757669,0.2740949,0.10954994
0.2987891,0.4773814,0.5437772,0.7227884,0.71748394,0.8351338,0.2662029,0.14121567
0.8626742,1.5453857,0.8874585,1.5047837,1.301068,1.6718785,0.9931231,0.33013326
