size_D,duration_D,app,har,nlan,t07,t08,t09,t10,t11,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_4,effort_D
0.143335192414947,0.2,0.0,0.0,0.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,0.42483175,0.37416017,0.561622,0.0075898020947219
0.1670384829894032,0.24,1.0,0.619852032890937,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.034415796,0.078281604,0.96151525,0.1154790765476699
0.0228667038482989,0.02,1.0,0.619852032890937,0.6666666666666666,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.75,0.2662317,0.78297955,0.76107264,0.0041514157595347
0.0574456218627997,0.08,0.0,0.619852032890937,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.5,0.5,0.5873844,0.7649313,0.4280623,0.0276813867630048
0.2810931399888455,0.24,0.8795232095320975,0.619852032890937,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,0.49327177,0.5619746,0.51011354,0.3278192391183787
0.0934188510875627,0.16,1.0,0.619852032890937,0.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.75,0.30628234,0.41895244,0.6925016,0.0576920029788784
0.0828220858895705,0.16,1.0,1.0,1.0,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,0.12583397,0.6562005,0.90859663,0.035540555529147
0.0448968209704406,0.46,1.0,0.619852032890937,0.3333333333333333,0.5,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.045562193,0.15512398,0.9508115,0.1067484273739918
0.0886781929726715,0.4,1.0,0.619852032890937,0.0,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5329646,0.6047099,0.46829963,0.1353488298394891
0.3159509202453988,1.0,1.0,0.8249376887731341,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.75,0.25,0.63240194,0.5893205,0.32518256,0.1793189776742564
0.0370886781929726,0.18,0.0,0.619852032890937,0.3333333333333333,0.25,1.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.6031746,0.7412983,0.40298787,0.0588962304511099
0.1926938092582264,0.34,1.0,0.0991880356339056,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.25,1.0,0.91329104,0.0,0.0565194657032846
0.0167317345231455,0.06,0.8795232095320975,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,0.646865,1.0,0.3514738,0.0050228961670707
0.0,0.12,0.8795232095320975,0.0991880356339056,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.75,0.25,0.5645441,0.81075215,0.4375072,0.0
0.0560513106525376,0.3,0.0,0.619852032890937,0.3333333333333333,0.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.75,0.5,0.49929363,0.60527587,0.530854,0.0314049848679311
0.0900725041829336,0.14,1.0,0.619852032890937,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.0,0.5,0.5,0.3363324,0.64783895,0.6678848,0.0548874205764446
0.0454545454545454,0.18,1.0,0.619852032890937,0.0,0.75,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5,0.43567252,0.60860974,0.5630235,0.0148468571247484
0.5022308979364194,0.56,1.0,0.619852032890937,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.75,0.20921591,0.3428284,0.8051694,0.4013088051211357
0.6787506971556051,0.68,1.0,0.619852032890937,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.75,0.048353318,0.24829927,0.9687346,0.5815626435962035
0.1076408254322364,0.72,0.8795232095320975,1.0,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.5,0.30322608,0.35915253,0.69200504,0.2292627275752246
0.0680423870607919,0.5,1.0,0.619852032890937,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,0.25,0.5,0.20247316,0.30446965,0.7941155,0.1656763480217394
0.8103736754043502,0.2,0.8795232095320975,1.0,1.0,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.7187982,0.70009035,0.3349233,0.2838966265785679
0.071388733965421,0.2,1.0,1.0,0.0,0.75,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.75,0.5,0.42957252,0.44123542,0.58583134,0.1392150338292849
0.0850529838259899,0.48,1.0,0.0991880356339056,0.0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.80348194,0.88020635,0.20624967,0.1045934940026302
0.1447295036252091,0.24,1.0,0.619852032890937,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.25,0.75,0.29103893,0.42632663,0.71191186,0.1562960498169891
0.1168432794199665,0.18,1.0,0.619852032890937,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.38435772,0.72302705,0.6538579,0.071572309106178
0.9258226436140546,0.82,1.0,0.619852032890937,0.6666666666666666,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.75,0.14208978,0.19729492,0.83118397,1.0
0.0571667596207473,0.0,0.8795232095320975,0.619852032890937,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.25,0.75,0.10858873,0.60851306,0.9368808,0.0169225650045158
0.041271611823759,0.12,0.2389808690832257,1.0,0.6666666666666666,0.25,0.3333333333333333,0.0,0.3333333333333333,0.0,0.75,0.5,0.2618945,0.9692327,0.8218783,0.01373770024243
0.0382041271611823,0.16,0.0,0.619852032890937,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.36750364,0.59382874,0.63991255,0.0184120042464863
0.0945343000557724,0.04,0.8795232095320975,0.619852032890937,0.3333333333333333,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.42564657,0.6207519,0.58144337,0.0192517944573846
0.1065253764640267,0.48,0.3801766679984392,0.619852032890937,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.3333333333333333,0.75,0.5,0.47605774,0.6913425,0.51785684,0.0376162634089144
0.0435025097601784,0.04,1.0,0.619852032890937,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.4401416,0.5959803,0.5593974,0.0060211373611573
