TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Effort
1.0,4.0,85,253,52,305,34,1,5152
0.0,0.0,86,197,124,321,33,1,5635
4.0,4.0,85,40,60,100,18,1,805
0.0,0.0,86,200,119,319,30,1,3829
0.0,0.0,86,140,94,234,24,1,2149
0.0,0.0,86,97,89,186,38,1,2821
2.0,1.0,85,119,42,161,25,2,2569
1.0,2.0,83,186,52,238,25,1,3913
3.0,1.0,85,172,88,260,30,1,7854
3.0,4.0,83,78,38,116,24,1,2422
4.0,1.0,84,167,99,266,24,1,4067
2.0,1.0,84,146,112,258,40,1,9051
1.0,1.0,84,33,72,105,19,1,2282
3.0,4.0,85,162,61,223,32,1,4172
4.0,4.0,85,223,121,344,28,1,4977
3.0,2.0,85,119,48,167,26,2,1617
4.0,3.0,85,57,43,100,43,1,3192
4.0,4.0,86,68,316,384,20,2,3437
3.0,4.0,87,9,386,395,21,2,4494
4.0,2.0,86,58,34,92,29,1,840
4.0,4.0,86,318,269,587,34,2,14973
2.0,4.0,85,88,170,258,34,1,5180
2.0,4.0,86,306,132,438,37,1,5775
4.0,1.0,87,304,78,382,39,1,10577
1.0,4.0,86,89,200,289,33,1,3983
4.0,1.0,85,86,230,316,33,1,3164
2.0,0.0,86,71,235,306,37,1,3542
3.0,1.0,85,148,324,472,39,1,4277
4.0,4.0,85,116,170,286,27,1,7252
4.0,1.0,85,175,277,452,37,1,3948
4.0,3.0,86,79,128,207,27,1,3927
1.0,1.0,86,145,38,183,27,3,710
4.0,4.0,87,174,78,252,41,3,2429
1.0,1.0,85,194,91,285,35,1,6405
2.0,2.0,88,126,49,175,38,3,651
1.0,3.0,86,137,119,256,34,2,9135
2.0,4.0,87,289,88,377,28,3,1435
2.0,4.0,87,260,144,404,24,1,5922
1.0,4.0,88,158,59,217,18,3,847
3.0,3.0,88,302,145,447,52,2,8050
1.0,1.0,87,451,48,499,28,1,4620
2.0,4.0,87,661,132,793,23,3,2352
1.0,1.0,88,64,54,118,25,1,2174
1.0,4.0,86,284,230,514,50,1,19894
2.0,1.0,86,182,126,308,35,1,6699
2.0,3.0,87,173,332,505,19,1,14987
2.0,2.0,88,252,7,259,28,1,4004
4.0,3.0,85,131,180,311,51,1,12824
2.0,3.0,85,106,39,145,6,1,2331
3.0,3.0,85,96,108,204,29,1,5817
2.0,3.0,85,116,72,188,18,1,2989
3.0,3.0,85,86,49,135,32,1,3136
2.0,3.0,85,221,121,342,35,1,14434
1.0,1.0,87,61,96,157,18,1,2583
1.0,3.0,86,132,89,221,5,2,3647
3.0,7.0,86,45,387,432,16,2,8232
1.0,1.0,86,55,112,167,12,2,3276
1.0,4.0,87,124,52,176,14,2,2723
3.0,3.0,87,120,126,246,15,2,3472
1.0,2.0,87,47,32,79,14,2,1575
1.0,1.0,86,126,107,233,23,2,2926
3.0,2.0,86,101,45,146,15,2,1876
1.0,1.0,86,78,99,177,14,1,2520
4.0,7.0,86,69,74,143,14,1,1603
1.0,3.0,86,194,97,291,35,2,3626
2.0,3.0,87,224,110,334,28,2,6783
2.0,4.0,87,323,184,507,35,2,11361
1.0,3.0,86,42,31,73,27,2,1267
1.0,2.0,87,74,43,117,25,2,2548
3.0,4.0,87,101,57,158,9,2,1155
0.0,4.0,86,97,42,139,6,3,546
2.0,3.0,84,134,77,211,13,2,2275
4.0,5.0,86,482,227,709,26,2,9100
0.0,2.0,84,213,73,286,6,3,595
0.0,2.0,84,139,143,282,22,2,3941
2.0,3.0,86,473,182,655,40,2,13860
4.0,4.0,85,229,169,398,39,3,1400
4.0,3.0,83,227,73,300,34,1,2800
4.0,4.0,86,395,193,588,40,1,9520
4.0,3.0,86,469,176,645,43,3,5880
4.0,4.0,85,886,241,1127,34,1,23940
