FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,NormalisedWorkEffortLevel1
3,1.09,0.0,Enhancement,,Yes,,,,8.448507462686567,28
620,1.0379370078740158,7.0,New_Development,,Yes,MF,3GL,Unix,8.448507462686567,18160
730,1.14,6.042685887708649,Enhancement,,Yes,MF,3GL,Unix,8.448507462686567,20975
114,1.18,6.042685887708649,Enhancement,,Yes,MF,3GL,Unix,8.448507462686567,7290
460,1.0,4.0,Enhancement,,Yes,MF,3GL,Unix,5.0,2253
7,1.1,1.87,Enhancement,,Yes,MF,4GL,Unix,8.448507462686567,396
80,1.12,13.7,Enhancement,,No,MF,3GL,Mainframe,3.5,3199
4,1.0379370078740158,0.1,Enhancement,,No,MF,3GL,Mainframe,8.448507462686567,145
309,1.0379370078740158,3.0,New_Development,,No,PC,4GL,Windows,8.448507462686567,2516
69,0.95,9.0,New_Development,,Yes,PC,3GL,Windows,8.448507462686567,2915
275,1.23,5.46,Enhancement,,Yes,PC,3GL,Windows,8.448507462686567,1888
68,1.0379370078740158,3.0,Enhancement,,Yes,MF,3GL,Mainframe,8.448507462686567,2710
12,1.11,2.5,Enhancement,,Yes,MF,4GL,Mainframe,8.448507462686567,343
702,1.0379370078740158,12.3,New_Development,,Yes,Multi,4GL,Windows,8.448507462686567,4805
154,1.0,6.0,New_Development,Banking,Yes,MF,3GL,Mainframe,9.0,2408
3,1.0379370078740158,6.042685887708649,Enhancement,Banking,Yes,MF,3GL,Mainframe,8.448507462686567,65
46,1.12,7.0,Enhancement,Telecommunications,Yes,MF,4GL,Mainframe,11.0,4063
203,1.18,6.042685887708649,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,1822
14,1.0379370078740158,3.0,Enhancement,Telecommunications,Yes,MF,3GL,Mainframe,8.448507462686567,180
