size_D,duration_D,app,har,dba,ifc,source,t01,t02,t03,t04,t05,t06,t07,t08,t09,t12,t14,t15,Generated_Var_2,Generated_Var_4,Generated_Var_6,effort_D
0.5385364,0.591524,0.24884179,0.27118504,0.13516605,0.0941501316490079,0.16995484,0.1602236839776316,0.06031698,0.5011284,0.10342789,0.1424582,0.2945928,0.43965685,0.47399154,0.2140367,0.12031156721869403,0.0900779790077979,0.17909817,0.2393330539333054,0.1963286417797185,0.1887199,0.76169467
0.61193115,0.66863006,0.22993472,0.24055623,0.17690045,0.13813877828832669,0.23062348,0.13681818631818135,0.009997338,0.5792517,0.06180191,0.115083694,0.21594334,0.5054318,0.55083764,0.23283374,0.09999174599950476,0.037655997765599775,0.16614337,0.20003120000312002,0.17920899075253943,0.21647194,0.8256383
0.45809457,0.5650264,0.09504002,0.10822506,0.03380394,0.049160065949603954,0.07380086,0.02855378114462188,0.03209448,0.46300793,0.080608696,0.01233986,0.33311364,0.37061125,0.44900984,0.031660646,0.03005856480351389,0.10163025016302502,0.062189743,0.3164548616454862,0.12125813227548793,0.08635056,0.82726103
0.4294421,0.49138576,0.29678264,0.2283643,0.19165254,0.20283992217039534,0.1804806,0.2325238067476193,0.18340605,0.46030903,0.22024217,0.19595674,0.41674492,0.3318292,0.42898855,0.24676299,0.23613716416822986,0.21111130111113013,0.20819049,0.3399527339952734,0.27081531624891897,0.23944375,0.6013036
0.25410116,0.29146296,0.3400611,0.36626,0.30906445,0.2823590769415446,0.26477104,0.33712266628773335,0.34380782,0.2239925,0.3979633,0.34136292,0.6032182,0.21302068,0.36092493,0.3028155,0.32274271936456317,0.4245681424568143,0.2685092,0.5129038512903852,0.29306878758412724,0.3286083,0.50291765
0.37932852,0.48581848,0.13658103,0.1408922,0.07616931,0.10217393013043581,0.09074432,0.08300089169991083,0.11595839,0.36339945,0.14791292,0.06289506,0.41092438,0.27381167,0.43205518,0.065193,0.054104183246251,0.17099083709908372,0.051105723,0.39593345959334597,0.09721747583304856,0.14685732,0.7157494
1.0,0.95627916,0.7584218,0.6916653,0.886449,0.844919650695179,1.0,0.6812952318704768,0.19722855,1.0,0.292099,0.56729424,0.033815295,1.0,0.9482858,1.0,0.6606960096417607,0.08697999369799937,0.57781714,0.0,0.6360307681618461,1.0,0.71364737
0.4564398,0.5574646,0.11556435,0.11914985,0.05785954,0.07336366440181986,0.09158704,0.044518315548168444,0.04412806,0.4644069,0.103459746,0.025804937,0.33388987,0.36780882,0.44812033,0.055400014,0.050807330048439805,0.10853700085370009,0.06383051,0.3165260016526002,0.12945732776743965,0.09743133,0.81171644
0.48951262,0.57210755,0.12147778,0.15665205,0.043255866,0.02956295177377711,0.0895915,0.035660740433925954,0.024383754,0.46697986,0.05976242,0.03866321,0.30505535,0.38237703,0.45035595,0.06709069,0.028021635681298143,0.08450200845020084,0.08672412,0.2835105683510568,0.12780431766825906,0.08706945,0.8417398
0.2725832,0.30067572,0.46715268,0.35100543,0.39186805,0.3649025818941549,0.29654205,0.4496428850357115,0.37852263,0.29851118,0.46759045,0.39201555,0.5423503,0.14617491,0.39545107,0.41806954,0.41917970515078234,0.4123034612303461,0.27907592,0.497802989780299,0.2288554637313278,0.2982624,0.4159125
0.5160601,0.6015537,0.18245342,0.17342623,0.11141306,0.10459781627586898,0.14728642,0.09371554062844592,0.046759307,0.50357926,0.08235964,0.08435273,0.29339984,0.40051442,0.47970355,0.15231061,0.09571338574280315,0.08654055865405587,0.12208556,0.2679744267974427,0.15887205953232356,0.14856717,0.75300467
0.39740676,0.4289019,0.29531047,0.25860035,0.22316366,0.22805459368327563,0.20128047,0.23918754608124537,0.19319591,0.3957635,0.33640277,0.20058092,0.44613642,0.2962274,0.38626444,0.2468844,0.2733210463992628,0.2562833656283366,0.21710981,0.3477109147710915,0.2889676873380613,0.24988016,0.614655
0.4784333,0.5795179,0.11411762,0.123671904,0.05125606,0.06084579565074774,0.09236318,0.03745570425442957,0.028755665,0.4765439,0.07255077,0.021259606,0.31488344,0.37984014,0.46019563,0.055094182,0.03626898217613893,0.09115642911564292,0.068397686,0.30217639021763903,0.12199949731996984,0.09218851,0.8245248
0.3399933,0.4361308,0.15105036,0.19527139,0.07601315,0.07603675456220528,0.07506487,0.12404199159580083,0.1459997,0.34063548,0.1764,0.11614713,0.4600821,0.26203114,0.3842128,0.08631343,0.07483947449036847,0.21320959132095912,0.11104293,0.40082564008256405,0.1678085300685118,0.13973585,0.7091522
0.60962665,0.64588666,0.37894616,0.32854944,0.321634,0.28207524692451486,0.33741027,0.28628600137139987,0.11271462,0.5612261,0.17415252,0.25424358,0.27367318,0.4915285,0.56248,0.4189102,0.2685531561131894,0.10351674035167405,0.24103804,0.21660956166095616,0.26106401566384096,0.35209313,0.5823534
0.41325867,0.52096695,0.113587916,0.13749106,0.05436617,0.09399414563964875,0.08578524,0.06416171358382865,0.087554455,0.38892865,0.10939938,0.02764088,0.3828454,0.30714703,0.4508185,0.047478616,0.026366354581981274,0.13365109336510936,0.048580542,0.36534396653439666,0.10020122601207355,0.14552799,0.7661723
0.21013509,0.33619964,0.3622345,0.34815603,0.35374326,0.38265469295928156,0.30224037,0.34593939540606045,0.41601002,0.16887684,0.40358788,0.3277574,0.6422396,0.19758777,0.4255669,0.31623882,0.276763516605811,0.4582793858279386,0.18328096,0.6315311631531163,0.18645253118715188,0.3989142,0.5443641
0.36896563,0.34181267,0.41670987,0.39166903,0.22418767,0.16225076973504618,0.13045609,0.38787453121254684,0.24322975,0.46629983,0.4033078,0.3710766,0.49892044,0.26276377,0.23899357,0.3851592,0.38096650285799016,0.35155183515518357,0.4545318,0.29524638952463894,0.4974670098480206,0.15652597,0.66176605
0.3406785,0.4365199,0.17983237,0.1985537,0.109624326,0.12654471759268307,0.11189377,0.13977088602291138,0.17124796,0.302993,0.18191653,0.121178865,0.46048388,0.24745996,0.41600338,0.10578203,0.06944823416689405,0.22091769209176923,0.069552734,0.44323714432371447,0.12347309740838584,0.1731219,0.6812769
0.85001993,0.87806064,0.5392755,0.48114747,0.603304,0.5704897342293841,0.694355,0.4598027940197206,0.111729056,0.83423805,0.15341124,0.36965075,0.07864018,0.78831255,0.8227236,0.68634546,0.4096850445811027,0.040559474055947405,0.39255422,0.08311013831101384,0.41218522473111346,0.7027167,0.75407404
0.42740953,0.5145951,0.19143292,0.14918603,0.107919276,0.1358648581518915,0.12893707,0.12440611755938824,0.11002901,0.4235163,0.1659548,0.080423415,0.36304098,0.30274296,0.4477713,0.1359142,0.08816212928972776,0.14193327419332744,0.079266444,0.3425417842541784,0.11893764713625883,0.15252203,0.7076705
0.67990667,0.6204149,0.44693908,0.46189815,0.29805988,0.2202947232176834,0.33551025,0.31352990864700914,0.09190637,0.67429423,0.18613255,0.30184212,0.24425358,0.6504784,0.501063,0.456127,0.27446813646808815,0.11756105175610519,0.38764924,0.13251930325193034,0.3872000232320014,0.33868662,0.847995
0.4424187,0.4881168,0.2377244,0.1913041,0.16715187,0.17016436020986161,0.16823262,0.15850813414918657,0.11661503,0.4605915,0.2666884,0.12583685,0.37313408,0.36709958,0.4088569,0.1845448,0.20239921214395273,0.1790596179059618,0.157605,0.30941877094187714,0.23107424386445463,0.1807343,0.71437407
0.5716607,0.5807848,0.23761025,0.27818453,0.1595174,0.09007454540447273,0.18811005,0.13430191656980836,0.03790933,0.53604233,0.120657146,0.15026078,0.2838022,0.4791163,0.45973858,0.21571666,0.15904331954259918,0.10029484002948401,0.23050664,0.21129594112959413,0.23667353420041207,0.1950554,0.7983986
0.24568191,0.34283248,0.31022432,0.29647297,0.28311467,0.3041831482509889,0.2391904,0.28855419114458086,0.343422,0.23877087,0.3335079,0.2746068,0.5784215,0.17224923,0.42263138,0.25221747,0.22422321345339283,0.3790812579081258,0.16649978,0.5670332567033257,0.1623439697406382,0.33947626,0.5145545
0.408866,0.5090752,0.113280624,0.12766789,0.047744215,0.07544976952698618,0.071219146,0.06318368868163113,0.081147045,0.40885168,0.12536529,0.03779027,0.38404274,0.30583775,0.43282497,0.053898215,0.04402297964137878,0.14705707470570747,0.056951508,0.3603318060331806,0.11408365684501941,0.10900694,0.760275
0.48357862,0.5299764,0.18423173,0.1889327,0.11694312,0.10216576612994596,0.13922298,0.10060910993908899,0.060474098,0.45648202,0.1651712,0.08834553,0.3376323,0.3882888,0.4251237,0.1277023,0.1338929580335775,0.1299232329923233,0.13792951,0.28638079863807986,0.1936476516188591,0.14919361,0.7610699
0.5996019,0.7186777,0.29706147,0.22019027,0.32146662,0.38247569294854156,0.42079258,0.24326700567329942,0.10427794,0.6384801,0.066437036,0.18858221,0.1877448,0.5139338,0.6872525,0.35960454,0.18054826083289566,0.05208534520853452,0.17673613,0.21698295169829518,0.13524280811456849,0.4854025,0.6445136
0.31764185,0.5011,0.1166105,0.16600879,0.17138314,0.329923649795419,0.22723621,0.11843927815607218,0.18815562,0.3498085,0.19327712,0.08449578,0.47486472,0.37523597,0.53243816,0.105650544,0.12118560727113645,0.23829167382916738,0.09345941,0.47500751750075176,0.15055667903340075,0.3595442,0.76089525
0.2894389,0.21430472,0.5836419,0.53910464,0.452038,0.34238788054327285,0.33186942,0.5722278927772108,0.395617,0.33607998,0.60581076,0.56879675,0.6037092,0.23444913,0.22539525,0.55880725,0.5934314356058862,0.5421169542116955,0.5746353,0.3914316691431669,0.5893183353591,0.30793092,0.41755557
0.50645804,0.59084904,0.12565607,0.16457467,0.043086648,0.034329178059750685,0.10024825,0.042210127778987215,0.010174841,0.5105957,0.06970522,0.048749536,0.29821616,0.42317742,0.45157927,0.101635575,0.041956962517417755,0.06700120070012007,0.122115985,0.2516600451660045,0.14829586889775215,0.09900814,0.86171824
0.64629745,0.6961005,0.30258104,0.2714852,0.22856301,0.20571745234304714,0.29374725,0.20037502996249698,0.03799191,0.62348735,0.059507012,0.14478731,0.19223697,0.54267764,0.59098583,0.31370687,0.13919580835174852,0.03596787359678736,0.18134262,0.18436372843637283,0.20449543226972594,0.29055664,0.81001145
0.42621863,0.480277,0.21470973,0.21967696,0.13500673,0.12807977768478668,0.1430592,0.15583808441619157,0.11578357,0.41197386,0.22718897,0.13280311,0.4104934,0.34843993,0.3923513,0.1489684,0.18399448103966887,0.19608541960854198,0.17801444,0.3268096726809673,0.24552491473149488,0.19132897,0.7066766
0.38406447,0.51265824,0.07276943,0.08691794,0.048162222,0.11452329687139781,0.08143771,0.02730312726968727,0.09517068,0.37707174,0.09711164,0.021175325,0.37797043,0.27727982,0.45919877,0.028340727,0.00787314847238891,0.13649503364950336,0.0050623417,0.3767365876736588,0.048091458885487534,0.16546077,0.69881815
0.49968123,0.46700522,0.36401525,0.3680783,0.24784815,0.18662412119744728,0.23867506,0.2683222931677707,0.1428363,0.45231658,0.29904842,0.26770595,0.40238428,0.4200466,0.37120956,0.31203693,0.31179769870786195,0.24040507404050743,0.35435236,0.27342530734253073,0.39415135364908127,0.23335293,0.70141757
0.39094886,0.42580646,0.32434198,0.24721225,0.107572615,0.11907429214445753,0.065374404,0.2733995926600407,0.16331059,0.48559108,0.2665053,0.21506545,0.40510082,0.2682041,0.33144927,0.26092666,0.19003130140187807,0.20707845070784509,0.24010216,0.301134930113493,0.2754669365280162,0.050825566,0.7473067
