size_D,duration_D,Generated_Var_5,Generated_Var_8,Generated_Var_9,Generated_Var_12,Generated_Var_14,Generated_Var_16,Generated_Var_17,Generated_Var_18,effort_D
0.143335192414947,0.2,0.96669734,0.9150592,0.113252364,0.11793573,0.09874525,0.88228184,0.09481929,0.2501136,0.0075898020947219
0.1670384829894032,0.24,0.1731899,0.109278165,0.84926593,0.8599155,0.8400006,0.13534789,0.8476669,0.9179117,0.1154790765476699
0.0228667038482989,0.02,0.5561455,0.5730814,0.46021384,0.45917904,0.44431147,0.5469545,0.44929424,0.4563668,0.0041514157595347
0.0574456218627997,0.08,0.667099,0.64499587,0.37438297,0.37460405,0.35200894,0.62529624,0.34522033,0.422049,0.0276813867630048
0.2810931399888455,0.24,0.5275732,0.45881724,0.50179356,0.52585113,0.48515275,0.47642815,0.49959028,0.54363513,0.3278192391183787
0.0934188510875627,0.16,0.48520383,0.46840763,0.53074473,0.5410769,0.52168876,0.46291932,0.5280832,0.5564597,0.0576920029788784
0.0828220858895705,0.16,0.20969003,0.27839935,0.80317307,0.76394254,0.7863506,0.2362179,0.7818318,0.78025466,0.035540555529147
0.0448968209704406,0.46,0.41907105,0.36763513,0.6017821,0.6199661,0.5964401,0.38080728,0.5996022,0.6490048,0.1067484273739918
0.0886781929726715,0.4,0.6910334,0.6187533,0.34548315,0.37288806,0.3228069,0.6382202,0.3523261,0.38104206,0.1353488298394891
0.3159509202453988,1.0,0.6625922,0.63007885,0.36455682,0.36737472,0.3513767,0.63555163,0.35163587,0.4147861,0.1793189776742564
0.0370886781929726,0.18,0.7916428,0.7382596,0.26089925,0.27294314,0.2450345,0.73019147,0.23348224,0.3233383,0.0588962304511099
0.1926938092582264,0.34,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0565194657032846
0.0167317345231455,0.06,0.7684967,0.8126291,0.28363782,0.23799127,0.2679506,0.7521853,0.22255152,0.33569458,0.0050228961670707
0.0,0.12,0.6727628,0.69991964,0.3601323,0.34440544,0.33722243,0.6577152,0.32873946,0.38241956,0.0
0.0560513106525376,0.3,0.76244545,0.7345582,0.2744744,0.28510436,0.26435694,0.7201036,0.25855833,0.30464584,0.0314049848679311
0.0900725041829336,0.14,0.49070975,0.5027141,0.54718554,0.5252087,0.53721225,0.4705105,0.5109322,0.5892898,0.0548874205764446
0.0454545454545454,0.18,0.6967557,0.66078824,0.33042577,0.34889197,0.31962854,0.6586501,0.33111924,0.34764785,0.0148468571247484
0.5022308979364194,0.56,0.08932041,0.095321275,0.9242713,0.90747803,0.92672116,0.08720438,0.9109561,0.9637286,0.4013088051211357
0.6787506971556051,0.68,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5815626435962035
0.1076408254322364,0.72,0.35792956,0.28363696,0.6391328,0.6839779,0.6281313,0.32637778,0.6770092,0.64365983,0.2292627275752246
0.0680423870607919,0.5,0.37548015,0.3415677,0.6347907,0.65185744,0.6272716,0.3521581,0.6433256,0.66075504,0.1656763480217394
0.8103736754043502,0.2,0.20737328,0.20734727,0.8043295,0.79858536,0.79820055,0.2022996,0.7972679,0.7986063,0.2838966265785679
0.071388733965421,0.2,0.45616916,0.4500862,0.566806,0.5645766,0.5587335,0.4367485,0.55398077,0.5865894,0.1392150338292849
0.0850529838259899,0.48,0.8324522,0.8640758,0.23652266,0.19692704,0.22655822,0.79334986,0.14975043,0.30364662,0.1045934940026302
0.1447295036252091,0.24,0.18020771,0.21501665,0.8207316,0.80560625,0.80717117,0.19819292,0.82377243,0.8036947,0.1562960498169891
0.1168432794199665,0.18,0.33171383,0.35988605,0.69122136,0.66901463,0.68768746,0.32792774,0.6596429,0.7131687,0.071572309106178
0.9258226436140546,0.82,0.17270157,0.15583645,0.85684687,0.84131724,0.8519472,0.15160781,0.83223444,0.8960871,1.0
0.0571667596207473,0.0,0.48851097,0.48671177,0.5338942,0.53409076,0.53398067,0.46748292,0.50980985,0.54063994,0.0169225650045158
0.041271611823759,0.12,0.58399075,0.62427187,0.4524693,0.42576256,0.44361493,0.5725931,0.40213376,0.45965755,0.01373770024243
0.0382041271611823,0.16,0.5368177,0.47806275,0.49904868,0.51334655,0.48680907,0.4853185,0.48489052,0.5618627,0.0184120042464863
0.0945343000557724,0.04,0.54944205,0.5394333,0.48765606,0.479965,0.47235066,0.5193381,0.46102685,0.514018,0.0192517944573846
0.1065253764640267,0.48,0.77190584,0.7027757,0.2594698,0.29534787,0.24384081,0.71779066,0.2690322,0.28174162,0.0376162634089144
0.0435025097601784,0.04,0.5856273,0.5820952,0.44902462,0.44243768,0.4415588,0.5561746,0.41729036,0.49162528,0.0060211373611573
0.0064138315672058,0.04,0.7321155,0.73600835,0.2965314,0.299857,0.28494284,0.70502335,0.26925734,0.30349538,0.0102993139072427
0.2208588957055214,0.04,0.5706659,0.44803175,0.46456853,0.512377,0.46799216,0.4890565,0.45359644,0.5394646,0.0421004262331447
0.4461795872838817,0.14,0.24091235,0.20205545,0.774525,0.786129,0.77932006,0.2107902,0.76370955,0.83274686,0.1492132908684698
0.2752370329057446,0.08,0.2629807,0.21886966,0.7496635,0.76738536,0.7522897,0.23126937,0.7447545,0.80661345,0.0985089762481976
0.139431121026213,0.36,0.71299237,0.6454378,0.3228696,0.35012496,0.31125936,0.6527764,0.31018856,0.3702871,0.0517659362076341
0.5593976575571667,0.54,0.10413122,0.12570773,0.89480644,0.8903445,0.89430285,0.11224061,0.89079034,0.87492776,0.2125936841438101
0.0708310094813162,0.44,0.7209517,0.71947646,0.3123413,0.31275916,0.29962805,0.690099,0.28328824,0.3371547,0.0824578916512177
0.3134411600669269,0.36,0.3350932,0.31029058,0.6592167,0.6880608,0.6577319,0.32283625,0.6847744,0.61651754,0.1444597613728193
0.0571667596207473,0.06,0.9924202,0.92941004,0.07894339,0.084802836,0.055117056,0.90837693,0.028220585,0.1872203,0.0081919158308377
0.0499163413273842,0.2,0.4658014,0.5066326,0.56529343,0.53495187,0.5482244,0.46358076,0.5311786,0.5768323,0.0791462661025811
0.0030674846625766,0.04,0.56664705,0.5519265,0.4506232,0.46362448,0.44221815,0.5416905,0.44318113,0.46822378,0.0075581118980843
0.0699944227551589,0.04,0.42460382,0.35770485,0.5796984,0.62574506,0.56804645,0.38397148,0.59477365,0.5752284,0.0744085817052494
0.1042944785276073,0.22,0.64980036,0.6407242,0.3642278,0.3836369,0.35818297,0.6249483,0.35956028,0.35420188,0.1193769707341034
0.2816508644729503,0.1,0.4828274,0.49114883,0.54613423,0.535937,0.54595387,0.46032408,0.50687635,0.60118735,0.1287731140371726
0.0047406581148912,0.1,0.8708522,0.83421654,0.18499704,0.18640237,0.1707806,0.81484973,0.1595067,0.25240192,0.0033750059419118
0.0953708867819297,0.44,0.18237178,0.17180733,0.8372616,0.8269656,0.8281302,0.17037882,0.82876354,0.85999244,0.1654228264486381
0.0404350250976017,0.18,0.58172053,0.62007624,0.4434201,0.42685467,0.42829728,0.57664627,0.40743622,0.44326186,0.0185704552296747
0.4121583937534858,0.48,0.50112677,0.4909821,0.51477915,0.52410936,0.5052974,0.48198214,0.5084904,0.50353193,0.0847395858091299
0.1469604015616285,0.18,0.47294,0.4892069,0.53786683,0.5396775,0.5304471,0.46692145,0.5313374,0.51549673,0.0613680657888482
