Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_4,TeamExp_?,ManagerExp_2,Language_1,Language_3,Effort
253,52,305,34,0,1,0,0,0,1,0,5152
197,124,321,33,1,0,0,0,0,1,0,5635
40,60,100,18,0,0,1,0,0,1,0,805
200,119,319,30,1,0,0,0,0,1,0,3829
140,94,234,24,1,0,0,0,0,1,0,2149
97,89,186,38,1,0,0,0,0,1,0,2821
119,42,161,25,0,0,0,0,0,0,0,2569
186,52,238,25,0,1,0,0,1,1,0,3913
172,88,260,30,0,0,0,0,0,1,0,7854
78,38,116,24,0,0,0,0,0,1,0,2422
167,99,266,24,0,0,1,0,0,1,0,4067
146,112,258,40,0,0,0,0,0,1,0,9051
33,72,105,19,0,1,0,0,0,1,0,2282
162,61,223,32,0,0,0,0,0,1,0,4172
223,121,344,28,0,0,1,0,0,1,0,4977
119,48,167,26,0,0,0,0,1,0,0,1617
57,43,100,43,0,0,1,0,0,1,0,3192
68,316,384,20,0,0,1,0,0,0,0,3437
9,386,395,21,0,0,0,0,0,0,0,4494
58,34,92,29,0,0,1,0,1,1,0,840
318,269,587,34,0,0,1,0,0,0,0,14973
88,170,258,34,0,0,0,0,0,1,0,5180
306,132,438,37,0,0,0,0,0,1,0,5775
304,78,382,39,0,0,1,0,0,1,0,10577
89,200,289,33,0,1,0,0,0,1,0,3983
86,230,316,33,0,0,1,0,0,1,0,3164
71,235,306,37,0,0,0,0,0,1,0,3542
148,324,472,39,0,0,0,0,0,1,0,4277
116,170,286,27,0,0,1,0,0,1,0,7252
175,277,452,37,0,0,1,0,0,1,0,3948
79,128,207,27,0,0,1,0,0,1,0,3927
145,38,183,27,0,1,0,0,0,0,1,710
174,78,252,41,0,0,1,0,0,0,1,2429
194,91,285,35,0,1,0,0,0,1,0,6405
126,49,175,38,0,0,0,0,1,0,1,651
137,119,256,34,0,1,0,0,0,0,0,9135
289,88,377,28,0,0,0,0,0,0,1,1435
260,144,404,24,0,0,0,1,0,1,0,5922
158,59,217,18,0,1,0,0,0,0,1,847
302,145,447,52,0,0,0,0,0,0,0,8050
451,48,499,28,0,1,0,0,0,1,0,4620
661,132,793,23,0,0,0,0,0,0,1,2352
64,54,118,25,0,1,0,0,0,1,0,2174
284,230,514,50,0,0,0,1,0,1,0,19894
182,126,308,35,0,0,0,0,0,1,0,6699
173,332,505,19,0,0,0,0,0,1,0,14987
252,7,259,28,0,0,0,0,1,1,0,4004
131,180,311,51,0,0,1,0,0,1,0,12824
106,39,145,6,0,0,0,0,0,1,0,2331
96,108,204,29,0,0,0,0,0,1,0,5817
116,72,188,18,0,0,0,0,0,1,0,2989
86,49,135,32,0,0,0,0,0,1,0,3136
221,121,342,35,0,0,0,0,0,1,0,14434
61,96,157,18,0,1,0,0,0,1,0,2583
132,89,221,5,0,1,0,0,0,0,0,3647
45,387,432,16,0,0,0,0,0,0,0,8232
55,112,167,12,0,1,0,0,0,0,0,3276
124,52,176,14,0,1,0,0,0,0,0,2723
120,126,246,15,0,0,0,0,0,0,0,3472
47,32,79,14,0,1,0,0,1,0,0,1575
126,107,233,23,0,1,0,0,0,0,0,2926
101,45,146,15,0,0,0,0,1,0,0,1876
78,99,177,14,0,1,0,0,0,1,0,2520
69,74,143,14,0,0,1,0,0,1,0,1603
194,97,291,35,0,1,0,0,0,0,0,3626
224,110,334,28,0,0,0,0,0,0,0,6783
323,184,507,35,0,0,0,0,0,0,0,11361
42,31,73,27,0,1,0,0,0,0,0,1267
74,43,117,25,0,1,0,0,1,0,0,2548
101,57,158,9,0,0,0,0,0,0,0,1155
97,42,139,6,1,0,0,0,0,0,1,546
134,77,211,13,0,0,0,0,0,0,0,2275
482,227,709,26,0,0,1,0,0,0,0,9100
213,73,286,6,1,0,0,0,1,0,1,595
139,143,282,22,1,0,0,0,0,0,0,3941
473,182,655,40,0,0,0,0,0,0,0,13860
229,169,398,39,0,0,1,0,0,0,1,1400
227,73,300,34,0,0,1,0,0,1,0,2800
395,193,588,40,0,0,1,0,0,1,0,9520
469,176,645,43,0,0,1,0,0,0,1,5880
886,241,1127,34,0,0,1,0,0,1,0,23940
