YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-93.43474,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-99.1859,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-15.387077,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-69.30934,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-40.06999,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-49.849228,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-46.99337,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-71.087135,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-135.28194,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-43.44789,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-72.727325,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-153.61705,9051
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-39.85972,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-74.47778,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-89.036674,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-30.982891,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-55.097813,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-58.79117,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-74.52106,4494
