ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_5,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_13,Generated_Var_14,Effort
1,1587,260,340,0,0,0,4.7,4.0,7490,0,0,0,1,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,7490
2,260,4,3,41,138,61,16.0,17.0,4150,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,4150
3,152,33,28,35,0,0,4.4,9.0,668,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,668
4,252,28,8,0,153,4,12.8,4.0,3901,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3238
5,292,0,194,0,307,0,10.3,13.0,3607,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,2994
6,83,0,24,0,87,0,16.1,4.0,1606,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1333
7,79,0,23,0,77,0,20.3,6.0,1936,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1607
8,97,108,7,5,0,0,11.9,7.0,1158,0,1,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1158
9,116,23,58,20,34,0,10.7,6.0,1498,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,1243
10,52,7,0,0,46,0,64.8,7.0,4063,1,0,0,0,1,-0.1390612,0.2829538,0.069688104,-0.19394416,-0.24350002,0.5237483,0.104397945,0.28375438,0.3574208,3372
