stor,acap,lexp,modp,tool,actual
0.560511,0.084046096,0.7892147773528866,0.24356315,0.21724758,0.74842143
0.30097055,0.3454435,0.518273131096388,0.48232406,0.48045808,0.39176202
0.574785,0.17717864,0.529525231771514,0.24560583,0.22305141,0.40020102
0.42478076,0.2871991,0.49118762947125777,0.41120756,0.43761045,0.35086542
0.542449,0.24571261,0.5620262937215776,0.31618476,0.2711156,0.37787366
0.45955962,0.32288566,0.39151998349119904,0.40651602,0.4143703,0.4436347
0.71670413,0.08798976,0.7894137473648248,0.18487555,0.14922805,0.7408892
0.29153728,0.37632912,0.4909612794576768,0.49620795,0.50433344,0.34662414
0.4284025,0.23766732,0.559901983594119,0.38308203,0.393063,0.45584613
0.95867455,0.043345984,0.6992314419538865,0.03372115,0.044542424,0.5208399
0.7686299,0.074254915,0.8763902125834128,0.16357638,0.16373949,0.5698972
0.6598592,0.05071037,0.7827327169639631,0.15917578,0.14164281,0.65917957
0.66543543,0.17519824,0.5986270359176222,0.27621928,0.26390275,0.4234156
0.2121329,0.49167785,0.30667345840040755,0.57749355,0.6109148,0.2714672
0.80406445,0.16350873,0.7698877961932677,0.20481527,0.21424061,0.46777955
0.71377915,0.058330443,0.8169417890165074,0.18173496,0.18430313,0.680103
0.32222408,0.37521404,0.526851531611092,0.51819617,0.5258355,0.45567578
0.53328973,0.2610594,0.5313595318815719,0.35567808,0.41490483,0.31720328
0.66685456,0.106653154,0.8286563097193786,0.24673554,0.26535723,0.64150834
0.5297183,0.15280281,0.6403920384235223,0.3125431,0.3100801,0.6008538
0.5819046,0.17316446,0.6169520370171222,0.28907543,0.33180773,0.51506555
0.55311257,0.13732408,0.6457712387462743,0.2932716,0.30645698,0.626191
0.44280824,0.23373312,0.4960769097646146,0.35898894,0.33778882,0.69435215
0.717157,0.101887435,0.8522692811361569,0.23085509,0.17796469,0.76151645
0.6310828,0.15212636,0.49760342985620576,0.26062736,0.2916584,0.630653
0.65928686,0.057949882,0.7286222437173346,0.19369648,0.1885227,0.5701463
0.62296283,0.15468417,0.5730293343817601,0.271899,0.2818064,0.59129894
0.58290124,0.13156445,0.6665169399910164,0.28510788,0.29862458,0.61032856
0.6510463,0.11072746,0.7401052444063148,0.23377335,0.2654685,0.52540445
0.68884623,0.12295124,0.7231935133916109,0.24332322,0.23099735,0.4473852
0.8400962,0.120757,0.9311219558673173,0.19315723,0.17890859,0.5697378
0.7151145,0.19818862,0.3804611528276692,0.24073465,0.28206933,0.5907644
0.5021088,0.15090439,0.6643551398613083,0.31276226,0.32303306,0.5955517
0.5705777,0.11382501,0.6640023398401405,0.25124875,0.26017076,0.58018696
0.6713362,0.080684096,0.7536040452162428,0.21436106,0.23318839,0.6818597
0.6105479,0.1392113,0.7860488471629309,0.2955621,0.31165898,0.6182593
0.6433008,0.06725508,0.7921746475304788,0.23063219,0.21950139,0.7364307
0.69117075,0.051345352,0.8359782001586921,0.18896355,0.2016877,0.60605097
0.39315185,0.24888065,0.5496185729771144,0.4224556,0.4286592,0.490579
0.6316213,0.08263098,0.6954361417261685,0.2270178,0.23452348,0.60175407
0.66413474,0.09917274,0.6655838399350303,0.21308693,0.24578923,0.594254
0.5686796,0.08918241,0.7494681449680887,0.24153061,0.23269755,0.6422323
0.33741525,0.2999634,0.4849018790941128,0.4255497,0.44300705,0.3863995
0.49217328,0.20437275,0.6623513397410804,0.33839732,0.3014512,0.46900102
0.330992,0.4472114,0.4136345248180715,0.51870483,0.4872827,0.69961673
0.36692166,0.3247923,0.44657912679474765,0.43998766,0.43900973,0.5000771
0.4649595,0.21011487,0.55625433337526,0.34391224,0.34775352,0.53599226
0.51289654,0.16970116,0.6604306396258384,0.31932142,0.33430144,0.49352297
0.3260187,0.41570318,0.38873534332412063,0.5496138,0.5521896,0.39036262
0.4942941,0.218256,0.5312973318778399,0.35052228,0.34001154,0.72685874
0.6277086,0.07588452,0.6505191390311483,0.19389556,0.21321203,0.5182524
0.7045742,0.097646505,0.7926552475593149,0.22228737,0.21928324,0.64180607
0.5628529,0.13111074,0.6977422018645322,0.28207752,0.3091939,0.5580628
0.72057647,0.10497323,0.5993424359605463,0.1830006,0.17685424,0.53696597
0.4928317,0.19637996,0.6468586388115183,0.36023208,0.37447083,0.549609
0.5984504,0.17746535,0.5537602632256158,0.29135817,0.3059386,0.5071355
0.34589344,0.3156005,0.46708037802482266,0.45013052,0.46445346,0.48147762
0.47651368,0.2324667,0.6211469372688162,0.3648416,0.37557387,0.4322
0.49213967,0.19420037,0.6516666791000008,0.3401521,0.32146186,0.48795235
0.17408219,0.553925,0.25926156555569396,0.6234577,0.66712457,0.061825037
0.5487646,0.15240414,0.7421524445291467,0.31376708,0.2954088,0.714561
0.6703458,0.06985681,0.721490783289447,0.19076619,0.19520548,0.6335542
0.6691878,0.09225829,0.693608381616503,0.19519816,0.20558393,0.5120323
0.54636705,0.22997066,0.5948025356881522,0.35437405,0.3706829,0.275667
0.45237103,0.20299515,0.57882433472946,0.33473384,0.3405833,0.5103723
0.599218,0.1546476,0.6450823387049404,0.29518747,0.2919315,0.59247047
0.59162617,0.18976241,0.543064982583899,0.2895919,0.31663972,0.5293276
0.6896614,0.096168935,0.7976630478597829,0.2241916,0.20432253,0.6568061
0.57005954,0.2115739,0.40010492400629544,0.29497778,0.33511865,0.4912023
