size_D,duration_D,t11,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_duration_D_t07,effort_D
0.14214535,0.16522688,0.1918231808176819,0.6054628,0.29136735,0.17101109,0.10559036,0.1842907
0.063187614,0.11694027,0.1304653869534613,0.7126833,0.31240118,0.11717059,0.08731525,0.19256116
0.06430562,0.12582749,0.12528900747109925,0.71995175,0.282316,0.10455126,0.09456815,0.20529461
0.08565166,0.099910274,0.03436649956335004,0.66038847,0.22939822,0.06398045,0.115181476,0.16654491
0.19430616,0.2417282,0.22509293749070625,0.78185576,0.40955025,0.24426179,0.20696086,0.3057849
0.07041908,0.11907569,0.05734467726553227,0.71250904,0.2513064,0.06674209,0.11238841,0.19578993
0.06541933,0.08146193,0.11778912822108717,0.6294569,0.28025764,0.10572991,0.07770985,0.17653891
0.29095078,0.2719032,0.22825968717403128,0.6815229,0.38409206,0.31345826,0.23514082,0.31927103
0.177368,0.17239031,0.20580155941984404,0.62830186,0.34319782,0.22202507,0.1335873,0.2110832
0.12869476,0.13680847,0.11589209841079015,0.70130783,0.28790084,0.12164387,0.13097715,0.21438453
0.23386377,0.20748538,0.2623058737694126,0.650411,0.38821775,0.28850538,0.16016535,0.24970949
0.33324507,0.33042696,0.31436756856324316,0.7889721,0.4676865,0.34404242,0.32904455,0.36993164
0.34784934,0.3993354,0.3341490665850933,0.8935285,0.50525635,0.35622895,0.379891,0.45150822
0.16678748,0.11039431,0.20375508962449101,0.5119206,0.32782194,0.21778312,0.083536595,0.122993454
0.033430055,0.074387975,0.08738510126148986,0.65765667,0.27404094,0.061409794,0.057813227,0.14945829
0.07390886,0.12026964,0.1114508548549145,0.7256994,0.28893426,0.09489699,0.11023854,0.22127253
0.06300363,0.1359694,0.12321077767892223,0.73700535,0.2954313,0.103775665,0.10603841,0.21236667
0.069585666,0.14968476,0.13728183627181637,0.74131143,0.31681162,0.101404354,0.11279462,0.2235156
0.41108465,0.32761246,0.37818686218131375,0.69597405,0.53472954,0.45789063,0.32813844,0.34033558
0.2201097,0.22414272,0.24971311502868848,0.65753156,0.36109453,0.23076607,0.18930833,0.27158266
0.074180044,0.11330495,0.11785321221467877,0.7105277,0.28404996,0.084826484,0.10681383,0.22614287
0.5312056,0.60521996,0.5203484979651501,0.9480255,0.63429993,0.5250091,0.5741009,0.6364313
0.09700251,0.17271341,0.1301210669878933,0.7801701,0.31369302,0.11489866,0.14388917,0.24585842
0.119894266,0.15887052,0.13527409647259034,0.7620437,0.3252388,0.13877657,0.14956248,0.2478344
0.060055032,0.06566119,0.09477144052285594,0.5829127,0.25620246,0.09316852,0.07510919,0.15585248
0.068120755,0.15230341,0.12518178748182127,0.76229346,0.30717522,0.11012052,0.116174266,0.22910222
0.08813964,0.07524301,0.03629321637067836,0.64555496,0.23566595,0.051811635,0.111068785,0.17277512
0.051566266,0.093509525,0.09679183032081697,0.69367534,0.2787904,0.06654087,0.08740078,0.19967982
0.17061275,0.10609881,0.06844889315511067,0.41863778,0.15952471,0.078707464,0.19101964,0.10485127
0.14388283,0.168195,0.1505569349443065,0.733427,0.28901544,0.08887449,0.16070406,0.23909828
0.09006214,0.08286622,0.039631650036835,0.6525377,0.22959153,0.0513972,0.108964995,0.16516408
0.11527836,0.20052527,0.15291559470844052,0.79808855,0.32990465,0.14254999,0.15928876,0.26908186
0.05403681,0.13578674,0.11631963836803615,0.7437289,0.2838208,0.073994264,0.1061421,0.22788048
0.15950193,0.22068472,0.16160391383960862,0.81875396,0.34145993,0.16303751,0.1864874,0.292518
0.12866732,0.1706568,0.10953415904658409,0.7268264,0.30667695,0.14370787,0.1624055,0.25050718
0.1383406,0.17150287,0.15831533416846658,0.75268096,0.33775538,0.15002559,0.15144356,0.24794193
0.15565984,0.17651363,0.13196343680365633,0.77302235,0.33741084,0.14673913,0.17827734,0.27148512
0.37013814,0.39603686,0.3573894442610555,0.8968912,0.5394178,0.404274,0.38166323,0.45627624
0.05965911,0.10064662,0.07248705275129473,0.70404285,0.25633395,0.05147503,0.098683,0.19083084
0.048279695,0.110433,0.10560950943904905,0.7150471,0.28088483,0.076062515,0.08464007,0.19873472
0.07068478,0.15138823,0.13233877676612232,0.7653809,0.31145453,0.10872045,0.11780645,0.23588201
0.07185511,0.13263746,0.12677913732208626,0.72867125,0.28944808,0.10137083,0.100986704,0.22642288
0.45453236,0.5212798,0.4398156260184374,0.9247014,0.5740104,0.4492759,0.49006248,0.557663
0.041175626,0.009094212,0.05327385467261453,0.55064785,0.27277437,0.06931749,0.05453455,0.101928785
0.05699172,0.13030933,0.11053255894674409,0.71998143,0.2816795,0.09018317,0.10469985,0.21515945
0.24953169,0.3075219,0.23963578603642138,0.8234134,0.42507663,0.25747144,0.27087942,0.37626117
0.113108516,0.13985457,0.13371773662822634,0.72438335,0.28613913,0.09325634,0.11842841,0.21625875
0.114144236,0.034773763,0.015689561431043855,0.4316408,0.17340934,0.037754834,0.11903942,0.083236635
0.16778967,0.20581704,0.1625906937409306,0.8063353,0.35315093,0.19215706,0.18462208,0.28849456
0.050291434,0.12539303,0.13182759681724032,0.7283197,0.29807773,0.10169491,0.084758244,0.2018162
