N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_AFP_PDR_AFP,Effort
0.1446411,0.087796286,0.08500459149954084,0.13042739,0.13670045,0.13730559
0.24161461,0.16374728,0.15734331426566855,0.22316706,0.23628995,0.23748249
0.15798742,0.091905564,0.08608720139127986,0.1656388,0.1514051,0.1496473
0.11455283,0.02997912,0.09189469081053091,0.2076866,0.067040086,0.07649697
0.09683147,0.07904725,0.07394639260536073,0.12691982,0.10000539,0.09864226
0.30283427,0.32833794,0.16680818331918165,0.35712442,0.319813,0.3221843
0.24305296,0.190478,0.2100610089938991,0.11095647,0.2421925,0.24066472
0.14765477,0.10129754,0.0899992610000739,0.14526033,0.13275121,0.13044885
0.16964447,0.14921702,0.0604946339505366,0.26126093,0.15624765,0.15656826
0.16381826,0.13195908,0.08130573186942681,0.17998847,0.1466803,0.15400526
0.10461606,0.061147086,0.04352027164797283,0.14903206,0.09608198,0.103908196
0.1726422,0.09186146,0.11794073820592617,0.15416935,0.16981423,0.17111248
0.10609535,0.114330694,0.06368547763145223,0.09495681,0.091334425,0.09160965
0.057141807,0.15858608,0.021362711863728814,0.25205243,0.06475643,0.074281916
0.09109658,0.07776123,0.04857446514255349,0.15218884,0.08491698,0.085803375
0.06380318,0.059399847,0.04260934873906513,0.15047786,0.059487555,0.056204047
0.13364553,0.12504746,0.08459717154028283,0.10800027,0.12311685,0.12406989
0.105086565,0.117051244,0.09036466096353389,0.12881747,0.093299784,0.098771155
0.04187503,0.0523084,0.04188080781191922,0.21173915,0.046801783,0.035639636
0.105880275,0.057806514,0.06646349335365065,0.12124506,0.09571764,0.095452175
0.15269303,0.100786105,0.10458574954142504,0.09166521,0.13147916,0.1309146
0.1172086,0.088904336,0.07173683282631671,0.0874281,0.107729875,0.10602811
0.106321886,0.11250865,0.06941912305808769,0.10232276,0.09498131,0.09342082
0.091444045,0.07170829,0.02613707138629286,0.21049204,0.09687587,0.10046403
0.26329058,0.15513995,0.19305007069499291,0.20062613,0.26409847,0.2608498
0.11492031,0.08291649,0.023126925687307433,0.25856552,0.09247616,0.09664583
0.10778937,0.0571386,0.0806322019367798,0.18306097,0.09020677,0.08671806
0.08069356,0.16271289,0.04669340933065907,0.07067249,0.081940114,0.07996678
0.09153207,0.03739343,0.0697150430284957,0.118516475,0.08263412,0.07912633
0.117844924,0.07410011,0.09702051029794896,0.09948675,0.11371774,0.12067118
0.2547096,0.106425,0.2234007076599292,0.16502133,0.23910871,0.25095892
0.07106985,0.057679523,0.042882815711718425,0.1592076,0.07859503,0.07647741
0.07679587,0.09989206,0.04971430702856929,0.089054435,0.07246174,0.075714834
0.1401627,0.054933924,0.10580705941929405,0.15306897,0.13406771,0.13582313
0.45733154,0.5054055,0.19763512023648794,0.69701564,0.44711077,0.457985
0.14342839,0.13519496,0.07893725210627478,0.14185303,0.1503736,0.1447075
0.40311208,0.39574355,0.16530729346927064,0.59761775,0.40397018,0.41647595
