size_D,duration_D,app,t03,t04,t13,t14,Generated_Var_11,Generated_Var_16,Generated_Var_18,effort_D
0.3226867827581787,0.2307612975829678,0.1238283055532924,0.2221123645164653,0.2428502041872088,0.322009655940063,0.3204148669631586,0.1953339978136489,0.2784048366069797,0.2645487967355414,0.477275277430892
0.1491803981080672,0.1530861780755709,0.0203863137150827,0.1293201346083398,0.5189779711919636,0.3577826234050809,0.6589994469935523,0.3952202752368901,0.4688281740906082,0.2373605993219086,0.3039244109648419
0.4479702497996181,0.3422404067268337,0.1850641980706296,0.3147942826871502,0.1820825417276144,0.341456108746625,0.2093743079590758,0.1135547200671568,0.1979300324787414,0.3343710208088044,0.5874313786538734
0.2186404427844452,0.2137717549143529,0.2100502468784257,0.2143047847924919,0.4063214951955228,0.1287808063625811,0.3964055857687319,0.4878463655937703,0.5440873967900056,0.124139775612699,0.3536571344667755
0.1688213461925095,0.1097270633947643,0.0775014217390147,0.097823027992351,0.5260006155493326,0.1243290639122776,0.5372745521771165,0.4818689310933052,0.5525902729766732,0.1008675800807184,0.2891212596219828
0.3294030462048228,0.238762704175641,0.056347086624844,0.189014721075766,0.2685045425412528,0.3505846020748874,0.3706432936802374,0.2006273491421457,0.2908825324618878,0.2723395644422885,0.4641719441326531
0.5406042074012987,0.4886129370490127,0.4162559823954427,0.4716198896957165,0.2725061759570686,0.4145753385765024,0.113215824198204,0.1126088315228195,0.1604435556331486,0.4697457181961674,0.706721176906346
0.7641724266991898,0.9872177914958524,0.853560558822082,0.9706685104584,0.3281664262859208,0.9979574561640217,0.1075003955470458,0.0540270585232299,0.0809265935451254,0.954164597967626,0.978845686020852
0.2702716128613248,0.2372070075880221,0.1763808614972101,0.2283623556198142,0.3233778085461493,0.3150303303491238,0.3578649653608376,0.2463890440702244,0.3366274549885226,0.2637443321110871,0.4602137806280986
0.2011442145303086,0.2191829688198697,0.1109764301887827,0.2054612778971304,0.6125609512529129,0.5137877978379354,0.6978121018679884,0.3530268121911091,0.3938897860715037,0.398152241679308,0.3447091631996583
0.2084628600320556,0.1282101861151448,0.0975489864714978,0.1162062675378812,0.4404213525223197,0.0943649285434372,0.4617664954675757,0.4807670721740491,0.5515781841503307,0.0671154328331096,0.3039849273018818
0.3055559063884228,0.2338637661448287,0.0953505302582362,0.2229011387924399,0.2491347316344062,0.3174313570586013,0.3415425585052157,0.1913325802554607,0.2954145800287262,0.2534374645062761,0.4645571164182884
0.4048571508243093,0.4725104350121844,0.4118800915398259,0.4750375508276058,0.1290921138471587,0.3816535443890478,0.0532747334930867,0.1425221134773456,0.2497526576254535,0.35789598206993,0.6779231620497083
