YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_7,Generated_Var_9,Generated_Var_13,Effort
0.4,0.2782212086659065,0.1184210526315789,0.2201138519924098,0.6170212765957447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03564037,-0.30375445,0.09093529,0.049447745,-0.029748619,0.03001035,0.1968880909634949
0.6,0.2143671607753705,0.3078947368421053,0.2352941176470588,0.5957446808510638,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.027179576,-0.35150754,0.086730815,0.06336175,-0.030410238,0.033392858,0.2175344105326152
0.4,0.0353477765108323,0.1394736842105263,0.0256166982922201,0.2765957446808511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05127743,-0.2864108,0.10123122,0.03736752,-0.03206509,0.03244987,0.0110712148414123
0.6,0.217787913340935,0.2947368421052631,0.2333965844402277,0.5319148936170213,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.029096633,-0.34316057,0.08708585,0.06131819,-0.030350978,0.032571092,0.1403351286654697
0.6,0.1493728620296465,0.2289473684210526,0.1527514231499051,0.4042553191489361,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.034854043,-0.31291997,0.09029284,0.052672982,-0.029800918,0.031013336,0.06852184320766
0.6,0.1003420752565564,0.2157894736842105,0.1072106261859582,0.7021276595744681,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.032995306,-0.33219618,0.08711108,0.05910512,-0.030424882,0.031027284,0.0972471573907839
0.4,0.1254275940706955,0.0921052631578947,0.0834914611005692,0.425531914893617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.05060592,-0.34174162,0.08332543,0.06997764,-0.04083227,0.022357196,0.0864751645721125
0.0,0.201824401368301,0.1184210526315789,0.1565464895635673,0.425531914893617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.06414478,-0.20892064,0.09054668,0.026739974,-0.03228531,0.014048636,0.1439257929383602
0.4,0.185860889395667,0.2131578947368421,0.1774193548387097,0.5319148936170213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.058717575,-0.26406306,0.082975715,0.04617017,-0.03206573,0.019507494,0.3123877917414722
0.0,0.0786773090079817,0.081578947368421,0.040796963946869,0.4042553191489361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.049823917,-0.20181076,0.10866849,0.018057723,-0.026954053,0.030829567,0.0801915020945541
0.2,0.1801596351197263,0.2421052631578947,0.183111954459203,0.4042553191489361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.046887133,-0.32770163,0.09482938,0.053462878,-0.03887983,0.032152772,0.1505086774386594
0.2,0.1562143671607753,0.2763157894736842,0.1755218216318785,0.7446808510638298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.049923323,-0.32208598,0.06509605,0.0716719,-0.036259208,0.014293194,0.3635547576301616
0.2,0.0273660205245153,0.1710526315789473,0.0303605313092979,0.2978723404255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.059172362,-0.23702084,0.09276501,0.03273466,-0.031495787,0.022074677,0.0742070616397366
0.4,0.1744583808437856,0.1421052631578947,0.1423149905123339,0.574468085106383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.040597327,-0.26420528,0.10110683,0.03525225,-0.02857032,0.033415772,0.1549970077797726
0.4,0.2440136830102622,0.3,0.2571157495256167,0.4893617021276595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.035720143,-0.34931076,0.08867219,0.060135856,-0.032747775,0.034867335,0.189407540394973
0.4,0.1254275940706955,0.1078947368421052,0.0891840607210626,0.4468085106382978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.06046904,-0.23550956,0.08412191,0.04014236,-0.031196438,0.01655228,0.0457809694793536
0.4,0.0547320410490307,0.0947368421052631,0.0256166982922201,0.8085106382978723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03666483,-0.296359,0.109408274,0.035464875,-0.028890336,0.041759834,0.1131059245960502
0.6,0.0672748004561003,0.8131578947368421,0.295066413662239,0.3191489361702128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.027122453,-0.41735762,0.08853949,0.07300821,-0.034244027,0.044350754,0.1235786953919808
0.8,0.0,0.9973684210526316,0.3055028462998102,0.3404255319148936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03064967,-0.3702293,0.11380058,0.045708485,-0.031380877,0.058102038,0.1687612208258528
0.6,0.0558722919042189,0.0710526315789473,0.0180265654648956,0.5106382978723404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.058770996,-0.28434652,0.09585811,0.044608645,-0.036313146,0.030166633,0.0125673249551166
0.6,0.3523375142531357,0.6894736842105263,0.4876660341555977,0.6170212765957447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.008948885,-0.48444378,0.07893819,0.096870646,-0.033735823,0.04452889,0.6166965888689407
0.4,0.0900798175598631,0.4289473684210526,0.1755218216318785,0.6170212765957447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05636317,-0.28328437,0.070792444,0.060339637,-0.034177102,0.013131261,0.1980849790544584
0.6,0.338654503990878,0.3289473684210526,0.3462998102466793,0.6808510638297872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05168573,-0.32709277,0.06154888,0.075926,-0.036199283,0.012358092,0.2235188509874326
0.8,0.3363740022805017,0.1868421052631579,0.2931688804554079,0.723404255319149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.043828383,-0.39709842,0.053089105,0.0970445,-0.040142857,0.015136164,0.4287851585876721
0.6,0.0912200684150513,0.5078947368421053,0.2049335863377609,0.5957446808510638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.039430387,-0.3191026,0.08978326,0.053277574,-0.031724803,0.03178487,0.146918013165769
0.4,0.0877993158494868,0.5868421052631579,0.230550284629981,0.5957446808510638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.048247814,-0.35726535,0.056923706,0.085544586,-0.03777201,0.012988418,0.1119090365050867
0.6,0.0706955530216647,0.6,0.2210626185958254,0.6808510638297872,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.056771897,-0.3140648,0.07252429,0.066975705,-0.03492963,0.017029505,0.1280670257330939
