size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,dba_Sequential,ifc_GUI,ifc_TextUI,source_Inhouse,source_Outsrced,telonuse_No,telonuse_Yes,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_app_InfServ,MI_size_D_t02,MI_size_D_t08,MI_duration_D_t07,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,7868,2248,1124,1686,562,562,1686,2248,56,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,10352,2588,2588,2588,1941,0,1941,3235,64,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,650,260,520,520,390,0,390,260,10,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2032,508,1016,1016,508,254,762,762,16,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,16896,3168,5280,4224,3168,0,2112,5280,48,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,4596,1532,1149,1532,766,0,1149,1149,48,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,4140,690,1380,1380,1380,0,1035,690,24,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,5643,627,627,1045,418,0,627,1045,81,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,8784,1464,1098,1464,366,0,1098,1830,96,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,63774,4724,2362,3543,2362,0,3543,5905,216,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2353,362,362,543,362,181,543,905,26,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,15519,2217,1478,2217,739,0,2217,2217,63,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,756,108,432,432,216,0,216,432,7,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,480,96,240,192,144,0,144,192,20,583
