ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_AFP_PDR_AFP,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4.0,7490,0,0,0,1,1,11886630,35203.0,37450.0,11249980,7458.900000000001,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,17.0,4150,0,1,0,0,1,1079000,66400.0,68890.0,211650,4160.0,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,9.0,668,1,0,0,0,1,101536,2939.2000000000003,2738.7999999999997,108884,668.8000000000001,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,4.0,3901,1,0,0,0,1,983052,49932.8,67487.3,269169,3225.6000000000004,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,13.0,3607,1,0,0,0,1,1053244,37152.100000000006,42201.899999999994,0,3007.6000000000004,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,4.0,1606,1,0,0,0,1,133298,25856.600000000002,29711.0,0,1336.3000000000002,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,6.0,1936,1,0,0,0,1,152944,39300.8,48593.600000000006,0,1603.7,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,7.0,1158,0,1,0,0,1,112326,13780.2,11232.599999999999,138960,1154.3,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,6.0,1498,1,0,0,0,1,173768,16028.599999999999,19474.0,121338,1241.1999999999998,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,7.0,4063,1,0,0,0,1,211276,263282.39999999997,358762.89999999997,0,3369.6,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,9.0,10200,1,0,0,0,1,4743000,223380.0,226440.0,4692000,10183.5,10200
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,7.0,2053,1,0,0,0,1,137551,52146.2,70212.6,51325,1701.8,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,7.0,3034,0,1,0,0,1,603766,40352.200000000004,43082.799999999996,649276,2646.7000000000003,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,26.0,3348,1,0,0,0,1,589248,63612.0,66625.2,562464,3344.0,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,7.0,814,1,0,0,0,1,318274,1383.8,1953.6,30932,664.6999999999999,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,3.0,911,1,0,0,0,1,239593,3188.5,3188.5,160336,920.5,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,6.4,2496,1,0,0,0,1,104832,148262.4,119808.0,129792,2494.7999999999997,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,10.0,1171,1,0,0,0,1,222490,7260.2,6791.8,187360,1178.0,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,13.0,3532,1,0,0,0,1,865340,50860.8,59690.799999999996,67108,3528.0,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1.0,525,1,0,0,0,1,40425,2992.5,3937.5,0,438.90000000000003,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,4.0,1095,1,0,0,0,1,388725,2847.0,3394.5,0,923.0,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,6.0,10957,1,0,0,0,1,34580292,31775.3,44923.7,306796,9152.4,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,6.0,344,1,0,0,0,1,15824,2580.0,2236.0,9632,345.0,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,3.0,296,0,0,0,1,1,16576,1568.8,1657.6,15688,296.8,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,13.0,4220,1,0,0,0,1,447320,139260.0,187368.0,147700,3498.0,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1.0,296,1,0,0,0,1,21016,1036.0,1154.3999999999999,9176,248.5,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,24.0,2082,0,1,0,0,1,637092,14157.6,14157.6,637092,2080.7999999999997,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,7.0,191,0,0,0,1,1,46604,152.8,152.8,46604,195.20000000000002,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,15.0,3583,1,0,0,0,1,351134,108564.90000000001,112506.2,408462,2969.4,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,2.0,395,1,0,0,0,1,130745,395.0,513.5,123240,331.0,328
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,8.0,406,1,0,0,0,1,41006,1624.0,1461.6000000000001,45472,404.0,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,8.0,2151,1,0,0,0,1,412992,20004.300000000003,23445.9,425898,1785.6000000000001,1785
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,8.0,471,0,1,0,0,1,28260,3720.9,3297.0,18369,474.0,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,5.0,700,0,1,0,0,1,126000,2730.0,2660.0,107100,702.0,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,2.0,698,1,0,0,0,1,82364,3420.2000000000003,4048.4,26524,578.2,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,3.0,1459,1,0,0,0,1,106507,24219.4,29617.7,8754,1211.8000000000002,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,4.0,1372,1,0,0,0,1,196196,10976.0,13994.4,19208,1144.0,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,19.0,16690,0,1,0,0,1,36551100,110154.0,151879.0,30459250,14454.0,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,2.0,239,1,0,0,0,1,2151,6357.400000000001,5712.099999999999,1195,239.4,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,5.0,1520,1,0,0,0,1,308560,9424.0,11552.0,305520,1258.6000000000001,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,8.0,1754,1,0,0,0,1,284148,18943.2,19644.8,275378,1749.6000000000001,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,6.0,1824,1,0,0,0,1,333792,15139.2,18422.399999999998,330144,1518.9,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,8.0,804,1,0,0,0,1,47436,9085.2,11336.4,4824,666.7,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,20.0,5864,1,0,0,0,1,2415968,83268.8,83268.8,2415968,5850.4,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,3.0,1172,1,0,0,0,1,407856,3281.6,4219.2,11720,974.4,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,13.0,5333,0,1,0,0,1,13487157,11199.300000000001,13865.800000000001,10964648,5310.900000000001,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,8.0,1775,0,1,0,0,1,443750,12602.5,15265.0,291100,1775.0,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,5.0,246,1,0,0,0,1,50676,246.0,295.2,24600,206.0,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,7.0,3793,1,0,0,0,1,2340281,19344.3,25792.399999999998,1429961,3146.7,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,12.0,10501,1,0,0,0,1,1816673,529250.4,622709.2999999999,1858677,8719.199999999999,8716
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,6.0,1464,1,0,0,0,1,418704,7466.4,8052.0,387960,1458.6,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,2.0,1636,1,0,0,0,1,85072,42699.600000000006,52515.600000000006,32720,1357.2,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,7.0,281,0,1,0,0,1,12645,1742.2,1348.8,16579,279.0,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,5.0,2796,1,0,0,0,1,290784,62350.8,78288.0,0,2319.2000000000003,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,13.0,4884,1,0,0,0,1,2271060,42490.799999999996,47863.200000000004,2105004,4045.4999999999995,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,84.0,2400,0,0,0,1,1,5148000,2640.0,2640.0,5361600,2359.5,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,13.0,5650,1,0,0,0,1,1598950,113000.0,109045.0,1649800,5660.0,5650
58,109,0,84,0,17,5,47,59,0,14.0,14.4,16.9,17.3,2.0,1837,1,0,0,0,1,200233,25718.0,31780.100000000002,86339,1526.0,1525
59,160,0,21,72,25,40,74,68,16,3.0,3.0,3.6,3.6,2.0,575,1,0,0,0,1,92000,1725.0,2070.0,42550,480.0,477
60,65,0,64,0,0,0,54,10,0,7.7,7.9,9.3,9.5,2.0,606,1,0,0,0,1,39390,4666.2,5757.0,32724,500.5,503
61,366,160,27,96,72,0,260,84,11,23.1,23.9,27.9,28.7,10.0,10205,1,0,0,0,1,3735030,235735.5,292883.5,2653300,8454.6,8470
62,63,18,10,3,28,0,16,43,0,12.3,13.2,14.9,15.9,3.0,937,1,0,0,0,1,59031,11525.1,14898.300000000001,14992,774.9000000000001,778
63,309,126,13,59,153,30,381,0,0,8.4,6.8,8.4,6.8,7.5,2597,0,0,0,1,1,802473,21814.8,17659.6,989457,2595.6,2597
