rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_aexp_data,actual
0.88,1.16,0.7,1.0,1.06,1.15,1.07,1.19,1.13,1.17,1.1,1.0,1.24,1.1,1.04,113.0,127.68999999999998,131.07999999999998,119.78,1.3107999999999997,2040.0
0.88,1.16,0.85,1.0,1.06,1.0,1.07,1.0,0.91,1.0,0.9,0.95,1.1,1.0,1.0,293.0,266.63,339.88,310.58000000000004,1.0555999999999999,1600.0
1.0,1.16,0.85,1.0,1.0,0.87,0.94,0.86,0.82,0.86,0.9,0.95,0.91,0.91,1.0,132.0,108.24,153.11999999999998,132.0,0.9511999999999998,243.0
0.75,1.16,0.7,1.0,1.0,0.87,1.0,1.19,0.91,1.42,1.0,0.95,1.24,1.0,1.04,60.0,54.6,69.6,60.0,1.0555999999999999,240.0
0.88,0.94,1.0,1.0,1.0,0.87,1.0,1.0,1.0,0.86,0.9,0.95,1.24,1.0,1.0,16.0,16.0,15.04,16.0,0.94,33.0
0.75,1.0,0.85,1.0,1.21,1.0,1.0,1.46,1.0,1.42,0.9,0.95,1.24,1.1,1.0,4.0,4.0,4.0,4.84,1.0,43.0
0.75,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.9,0.95,0.91,0.91,1.0,6.9,6.9,6.9,6.9,1.0,8.0
1.15,0.94,1.3,1.66,1.56,1.3,1.0,0.71,0.91,1.0,1.21,1.14,1.1,1.1,1.08,22.0,20.02,20.68,34.32,0.8553999999999999,1075.0
1.15,0.94,1.3,1.3,1.21,1.15,1.0,0.86,1.0,0.86,1.1,1.07,0.91,1.0,1.0,30.0,30.0,28.2,36.3,0.94,423.0
1.4,0.94,1.3,1.11,1.56,1.0,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,29.0,23.779999999999998,27.259999999999998,45.24,0.7707999999999999,321.0
1.4,0.94,1.3,1.11,1.56,1.0,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,32.0,26.24,30.08,49.92,0.7707999999999999,218.0
1.15,0.94,1.3,1.11,1.06,1.0,1.0,0.86,0.82,0.86,1.0,0.95,0.91,1.0,1.08,37.0,30.34,34.78,39.22,0.7707999999999999,201.0
1.15,0.94,1.3,1.11,1.06,1.15,1.0,0.71,1.0,0.7,1.1,1.0,0.82,1.0,1.0,25.0,25.0,23.5,26.5,0.94,79.0
1.15,0.94,1.65,1.3,1.56,1.15,1.0,0.86,1.0,0.7,1.1,1.07,1.1,1.24,1.23,3.0,3.0,2.82,4.68,0.94,60.0
1.4,0.94,1.3,1.3,1.06,1.15,0.87,0.86,1.13,0.86,1.21,1.14,0.91,1.0,1.23,3.9,4.406999999999999,3.666,4.134,1.0621999999999998,61.0
1.4,1.0,1.3,1.3,1.56,1.0,0.87,0.86,1.0,0.86,1.0,1.0,1.0,1.0,1.0,6.1,6.1,6.1,9.516,1.0,40.0
1.4,1.0,1.3,1.3,1.56,1.0,0.87,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,3.6,2.952,3.6,5.6160000000000005,0.82,9.0
1.15,1.16,1.15,1.3,1.21,1.0,1.07,0.86,1.0,1.0,1.0,1.0,1.24,1.1,1.08,320.0,320.0,371.2,387.2,1.16,11400.0
1.15,1.08,1.0,1.11,1.21,0.87,0.94,0.71,0.91,1.0,1.0,1.0,0.91,0.91,1.0,1150.0,1046.5,1242.0,1391.5,0.9828000000000001,6600.0
1.4,1.08,1.3,1.11,1.21,1.15,1.07,0.71,0.82,1.08,1.1,1.07,1.24,1.0,1.08,299.0,245.17999999999998,322.92,361.78999999999996,0.8856,6400.0
1.0,1.16,1.15,1.06,1.14,0.87,0.87,0.86,1.0,1.0,1.0,1.0,0.91,0.91,1.0,252.0,252.0,292.32,287.28,1.16,2455.0
