size_D,duration_D,app,har,dba,ifc,nlan,t01,t02,t06,t09,t12,t14,t15,MI_size_D_t11,effort_D
0.0227530066532668,0.0735846212654408,0.2016812844636717,0.1880563261842201,0.0636968286484334,0.1728312410706904,0.3439067868117046,0.1361036237159932,0.2882847781662591,0.227981148022451,0.4312349583157497,0.4583437486645447,0.4363642090336063,0.1665704431157632,0.3364554850088204,0.0128289056994882
0.0407051916493799,0.0813305287406184,0.0631036894681079,0.0996224295413977,0.1163113524266142,0.141502466457856,0.3071638301016421,0.1040637900008788,0.2425744625703237,0.2006477465103818,0.2566806973229048,0.106369967785161,0.253967928811396,0.0556427351746168,0.2559259031871292,0.0342616349174757
0.0411836529157692,0.1247010743212229,0.1557101690898696,0.1081726246878623,0.0721832230884257,0.0483711895317384,0.2257250695108272,0.220461651414391,0.2217633437858456,0.1147223857655306,0.2815447398289395,0.3554163137162155,0.3134810448029544,0.1252816206859023,0.3109070394585772,0.0644502773713228
0.1003141510791402,0.1589946231321006,0.159394575085546,0.1734005598809851,0.076071873147257,0.0918234271916798,0.312029796247076,0.1888197871612433,0.1711268157805763,0.0996987143204762,0.2896948651873132,0.2186107870243803,0.2246018303248076,0.0994837496219095,0.3671403284460247,0.0987867189803328
0.0257392604926805,0.0866429859190703,0.1296150565695523,0.1549686275891242,0.067099717066114,0.1328856666364083,0.3285411997070193,0.1326504784456016,0.2699942168662835,0.174166147913462,0.3693815285132205,0.3750146790312015,0.3815044541196506,0.1484785475763571,0.3186189706955142,0.0155435868631207
0.0314987722239317,0.0465283359071539,0.2006939305061581,0.177756101585674,0.0654252635864518,0.2515380184834173,0.4263916081619707,0.0364602146275835,0.2575505568563281,0.2393300323252387,0.3850540440831962,0.2700779291179878,0.3435141606370285,0.1084690531124501,0.3332379674087465,0.0273082936751091
0.0819779909343692,0.0203495165035293,0.3355113834622868,0.302951459683389,0.2192422536304827,0.4877925843999779,0.6296083085411717,0.0332710676415847,0.3383552150980883,0.5225820408619928,0.5951269215524828,0.1010009255253571,0.3744561991583899,0.1886507773291784,0.3183753547930847,0.084975678677281
0.0689269649555233,0.106042489236416,0.1257375833491907,0.068531026975696,0.1890392235204094,0.1536854502509327,0.2419701909380227,0.2004866267653404,0.3174769600501226,0.2074981550499823,0.1686627104015823,0.1582924232782799,0.2540528748569369,0.1161049150468249,0.2182379553417053,0.0751095349398004
0.0373335601781149,0.12339175048329,0.1359549327299792,0.1164168392853845,0.1145235307359987,0.2213303948015403,0.2896133383898797,0.1439507659739258,0.2615978003145535,0.1830575517842567,0.2022294285734705,0.208179879160693,0.2905237317418199,0.1082417803998891,0.2880243033741272,0.0555071729569609
0.0397783152565452,0.0757756412463612,0.1821157198070651,0.1962748764389722,0.0717705181505161,0.2073798551460398,0.3887294345865372,0.0710889570607029,0.2751643569798165,0.1877098789568668,0.3801134513146039,0.3213852263673452,0.3651006568882473,0.1296419610029542,0.3203957424417794,0.0240357844771744
