size_D,duration_D,nlan,t07,t11,t14,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,effort_D
0.143335192414947,0.2,0.0,0.75,0.0,1.0,0.5071853,0.5004952,0.51408875,0.5232813,0.497409,0.50058174,0.51938283,0.49954286,0.49672654,0.4874677,0.5472875,0.5098489,0.0075898020947219
0.1670384829894032,0.24,0.6666666666666666,0.75,0.6666666666666666,0.75,0.13187605,0.11546588,0.09106418,0.10664112,0.08139252,0.119299635,0.10636116,0.124484874,0.8768115,0.9084966,0.08307379,0.13107282,0.1154790765476699
0.0228667038482989,0.02,0.6666666666666666,0.25,0.6666666666666666,0.75,0.4748391,0.4796645,0.47072822,0.4667757,0.4936596,0.48035595,0.45410067,0.48130238,0.5205669,0.54406714,0.446438,0.47663355,0.0041514157595347
0.0574456218627997,0.08,0.3333333333333333,0.25,0.6666666666666666,0.5,0.61992645,0.5927734,0.6072006,0.6145017,0.5837415,0.6138843,0.61024135,0.58962756,0.3853197,0.39116096,0.62992287,0.6062607,0.0276813867630048
0.2810931399888455,0.24,0.6666666666666666,0.5,1.0,0.25,0.5030869,0.49622554,0.48047698,0.49264708,0.48548338,0.49467763,0.48411435,0.5037371,0.50393474,0.5248993,0.47191536,0.50498897,0.3278192391183787
0.0934188510875627,0.16,0.3333333333333333,0.75,0.3333333333333333,0.75,0.34134188,0.33494237,0.32142362,0.32352537,0.32610372,0.33992982,0.31767908,0.33679667,0.65914506,0.6874596,0.3066428,0.33963725,0.0576920029788784
0.0828220858895705,0.16,1.0,0.25,0.6666666666666666,1.0,0.33964506,0.34011096,0.3419038,0.3351447,0.35891023,0.34799102,0.324248,0.33984324,0.6528939,0.6690075,0.32454854,0.33751923,0.035540555529147
0.0448968209704406,0.46,0.3333333333333333,0.5,0.3333333333333333,0.25,0.31450203,0.30207956,0.282714,0.289084,0.26945233,0.3055912,0.29117814,0.30073392,0.6927888,0.7228386,0.27988696,0.31081602,0.1067484273739918
0.0886781929726715,0.4,0.0,0.75,0.3333333333333333,0.25,0.7076143,0.6828427,0.69074196,0.7057926,0.686721,0.7010379,0.69108087,0.69187635,0.29692906,0.30846715,0.6975648,0.6998196,0.1353488298394891
0.3159509202453988,1.0,0.3333333333333333,0.75,0.0,0.75,0.68009484,0.6731415,0.66534257,0.66750336,0.631684,0.6662903,0.67842305,0.6556937,0.33589253,0.34083244,0.69519967,0.6740959,0.1793189776742564
