data,modp,loc,Generated_Var_1,Generated_Var_2,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,actual
1.0,1.0,0.0967056323060573,-0.22992586,-0.19037005,-0.1767742,0.020055141,0.0075309873,0.11136311,-0.25424144,0.14571509,0.022880426,-0.11473396,-0.186894,0.1785222176389534
1.0,0.666666666666667,0.2534973258305604,-0.19751205,-0.18749456,-0.1630024,0.010760337,-0.0072200745,0.09238383,-0.24358189,0.123431355,0.020616554,-0.09595096,-0.17515706,0.1399057406903572
1.0,0.2142857142857144,0.1132558666225327,-0.18525502,-0.2019946,-0.15927908,-0.006630514,-0.032162458,0.08105719,-0.25379646,0.10933708,0.03899054,-0.083238564,-0.17729767,0.020809015192073
1.0,1.0,0.0505391892127314,-0.19456299,-0.17658551,-0.1686164,0.012607586,-0.008142516,0.09056057,-0.23894137,0.12093662,0.021971144,-0.09978154,-0.1760726,0.0205457210310599
0.0,1.0,0.0122123307956307,-0.17776892,-0.18892413,-0.1599433,-0.019559588,-0.03090471,0.0727123,-0.2596426,0.08863868,0.046090808,-0.07464321,-0.19066274,0.0023784239211521
0.272727272727273,1.0,0.0017595512273305,-0.17191832,-0.17411809,-0.17562355,0.001841303,-0.027728409,0.0745503,-0.23676825,0.10364884,0.034665685,-0.089989446,-0.18218067,0.0032560711245293
0.272727272727273,0.2142857142857144,0.004285639623003,-0.16024251,-0.18758035,-0.16330272,-0.015306534,-0.045708135,0.06525314,-0.24411008,0.08740528,0.040020034,-0.07505921,-0.17819095,0.0001843059127092
0.0,0.666666666666667,0.0174387205797808,-0.22072847,-0.2232839,-0.16594684,0.011553504,-0.00035318732,0.10455704,-0.26136312,0.13496098,0.024118254,-0.10184938,-0.18450825,0.093829262513055
0.0,0.2142857142857144,0.0244072402919809,-0.20073934,-0.21735322,-0.16140279,0.0057443827,-0.013072856,0.09322561,-0.25697666,0.11632334,0.030907713,-0.09350917,-0.17933121,0.0366066648528624
0.0,0.4285714285714286,0.0235361753279559,-0.19851139,-0.23094344,-0.16198488,-0.013955118,-0.028203718,0.08685146,-0.27638656,0.10361284,0.053140152,-0.08118853,-0.19395757,0.0276546633784151
0.0,0.4285714285714286,0.026149370220031,-0.1981506,-0.23090513,-0.16189677,-0.0141569935,-0.028440833,0.08666107,-0.27639854,0.10327822,0.05328649,-0.080993794,-0.19393969,0.0186148971836301
0.0,0.2142857142857144,0.0305046950401561,-0.17804277,-0.20992136,-0.15516973,-0.011579171,-0.03343849,0.07846506,-0.258132,0.095430925,0.041822772,-0.079733536,-0.17792991,0.0171228969378889
0.0,0.0,0.0200519154718558,-0.17967427,-0.21943659,-0.15456033,-0.0042980425,-0.025800072,0.08236067,-0.2559042,0.09813589,0.03621795,-0.08285012,-0.17607668,0.0064156010566872
0.0,0.666666666666667,0.0008884862633055,-0.19546017,-0.20334804,-0.16038251,0.006382603,-0.013501845,0.08969736,-0.24927652,0.11629075,0.026690654,-0.0916782,-0.17649442,0.0047480713702705
0.0,0.2142857142857144,0.001672444730928,-0.26587728,-0.23960602,-0.1835009,0.018445779,0.023683056,0.13161978,-0.2858759,0.16307135,0.027192557,-0.11990406,-0.20613283,0.0048358360906082
0.272727272727273,0.4285714285714286,0.003588787651783,-0.18728471,-0.21487927,-0.16470772,-0.0009923279,-0.021368198,0.087387815,-0.25848806,0.10182406,0.03955155,-0.09167241,-0.1817981,0.0029927769635162
0.272727272727273,0.4285714285714286,0.0014111252417205,-0.17914933,-0.21570203,-0.15958259,-0.0045347326,-0.026313849,0.08229388,-0.2568186,0.09552589,0.040134437,-0.08565921,-0.17905185,0.0002720706330469
