rely,data,cplx,time,pcap,vexp,lexp,tool,loc,MI_loc_aexp,MI_loc_stor,MI_loc_time,MI_loc_pcap,MI_loc_acap,actual
0.54171944,-0.11274457,0.6122208,0.3209586,0.49249077,0.8678637,0.47218925,0.53688496,-0.18101305,0.30287975,0.18417606,0.12690672,0.09810907,0.27108952,0.23163266
0.3603768,-0.07787852,0.41918433,0.18896657,0.3396821,0.5550598,0.30048114,0.44899088,-0.09624289,0.19984531,0.13016903,0.053095594,0.08782999,0.18962632,0.13201644
0.46239984,-0.11335017,0.44707108,0.22475287,0.43386048,0.58972734,0.3393283,0.45922208,-0.18246037,0.29931787,0.13875277,0.046809465,0.09941274,0.20474009,0.16894871
0.7577097,-0.29458898,0.5827411,0.4512418,0.5222919,0.9478267,0.71794486,0.72864586,-0.2254624,0.58633864,0.2866978,0.14952281,0.25303042,0.51266265,0.3230477
0.7825277,-0.36924654,0.71566206,0.505636,0.6483718,1.1676295,0.8304392,0.72670454,-0.3117921,0.6644116,0.31533882,0.16935349,0.32380736,0.518809,0.38828805
0.75259745,-0.44726658,0.69338435,0.54056644,0.6210203,1.1766464,0.84715986,0.7667343,-0.27441043,0.6979903,0.35316616,0.16693267,0.30063015,0.5389175,0.38516963
0.60863996,-0.22712563,0.6626184,0.33986133,0.561321,0.98727906,0.58253217,0.60713494,-0.25134498,0.43911275,0.21190749,0.12923872,0.17378566,0.3141007,0.28145403
0.7237735,-0.009624038,0.76290494,0.51900494,0.71253407,0.92816526,0.830104,0.9350284,-0.0075958073,0.56080735,0.2735323,0.22462565,0.31751627,0.76173127,0.28934222
0.42442024,-0.13314837,0.4243254,0.24614272,0.3473072,0.5208182,0.31734696,0.46942964,-0.10628222,0.24635105,0.1606112,0.06539764,0.061935794,0.22544952,0.14196084
0.38110492,-0.08465344,0.4675861,0.24946758,0.38753352,0.6066785,0.4363505,0.4756609,-0.07917012,0.2542468,0.15446226,0.06826676,0.0818014,0.21464065,0.17934555
0.33786714,-0.02275123,0.40159726,0.15320213,0.3828426,0.48056298,0.27149695,0.41971093,-0.055297155,0.16222897,0.11363836,0.029749952,0.06255221,0.14786868,0.10081725
0.41997856,-0.095611304,0.44433293,0.20969725,0.40047202,0.6170061,0.31842908,0.44666427,-0.14222336,0.2400366,0.14332591,0.057201467,0.07206182,0.17894141,0.15133715
0.45812163,-0.1500335,0.53198516,0.22792113,0.4536515,0.72967994,0.41131568,0.50186753,-0.15263903,0.28605112,0.16054516,0.07991881,0.11411825,0.23459806,0.17574936
