AFP,File,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_Input,MI_N_effort_NPDR_AFP,MI_N_effort_Enquiry,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Output,MI_AFP_PDR_AFP,Effort
0.0025375523,-0.0063938447,0.0054496536,0.0011538349,0.004931164,0.00027308738,0.0014470888,0.0047341534,0.00057030685,0.0018301213,-0.00043820852,9.835651e-05,-0.00058073807,-0.00040318276,0.0063084406,0.0067674154
0.022463508,0.024524916,0.020975487,0.0015062359,0.004539216,0.0007840626,0.0014310356,0.0044583464,0.0007505258,0.0010688931,0.0023952243,0.0033139735,0.0003534936,0.00031047256,0.02006161,0.01924611
0.0033937632,0.0039813044,0.008584576,0.0005382784,0.004221998,4.6213856e-05,0.001527807,0.005699133,0.00027962137,0.00263488,-0.0006657322,0.0010034256,-7.136946e-05,-0.0007030997,0.0096443845,0.010375125
0.0106084645,0.005249398,0.007887213,0.00032648141,0.0014002651,0.00041662218,-0.0007972971,0.0022809543,0.0003889671,-0.0013458503,-0.0008535584,0.00455107,-0.00014598935,0.00049092347,0.008686673,0.008745946
0.004797175,0.0005734316,0.0044635474,0.001178206,0.0030960443,-0.0001619758,0.00085272244,0.0033183638,0.00032127326,0.0005374078,-0.0013697061,0.00062791933,-0.0006168664,-0.0012156845,0.005986106,0.006393081
0.0066221245,0.0043755737,0.0056212763,0.00073936325,0.002157668,8.915944e-05,-0.00015873229,0.0019873865,0.00044932414,2.9158313e-05,-0.0006350514,-0.00015777606,-0.00036062486,-0.0011615951,0.006223533,0.0063991323
0.004489172,0.0027175264,0.006775419,0.0007979777,0.0023589993,0.00011854796,0.0006609375,0.002784025,0.0003024805,0.0005451881,-0.00061124295,5.3823227e-05,-6.777549e-05,-0.00047762488,0.0074263443,0.0078071468
0.017877476,0.020686777,0.01841421,0.0016200531,0.004452138,0.00066425744,0.0007769165,0.0041106893,0.0006609014,0.0004293772,0.003394815,0.00027454086,0.0006376335,-0.00048632774,0.018820481,0.018798117
0.022361755,0.03105903,0.06480816,0.0026312745,0.017005714,0.0016806214,0.011170543,0.01913787,0.002248103,0.015331518,0.0058320626,0.018073551,0.0017856888,0.0003705772,0.0661476,0.062119402
0.010304034,0.015919857,0.02591765,0.00070548826,0.005906635,0.00063676835,0.0031497234,0.0067882505,0.0006263468,0.004015146,0.00084824173,0.0022656405,0.0009880245,-0.000166026,0.025586871,0.023355076
0.006684773,0.00021236856,0.00876279,0.0008569476,0.0039012402,0.00010584059,0.0003972852,0.0037924708,0.00058579963,0.0012219953,-0.0012454797,0.0015102415,-0.00024491572,-0.0011798723,0.00967403,0.009664137
0.01913365,-0.0040718657,0.026911244,0.00059962505,0.00582817,0.000539269,0.0025913592,0.0075161685,0.00035282763,0.0014284502,0.0072381278,0.0027739056,0.00038483366,-0.0007828152,0.02750659,0.024495004
0.0099330265,0.011476383,0.015911005,0.00053995126,0.00383586,0.00031611725,0.0007402387,0.0037111458,0.0006465239,0.0018137807,0.0011137155,0.0012183918,0.0003190264,-0.0005614234,0.016444692,0.015990224
0.0020256464,-0.0012593204,0.0014010306,-5.007512e-05,0.0023639656,7.2672265e-06,-0.00076881424,0.0023286147,0.00046410502,7.5625256e-05,-0.0011813113,1.4077872e-05,-0.00023206568,-0.0013916618,0.0017397365,0.0022553755
0.0011146545,-0.002454442,0.0003869757,-0.00038388942,0.003278481,4.134979e-05,-0.001091826,0.0028762752,0.0006167949,0.00056543224,-0.0009375127,0.00027753017,-0.00032681297,-0.0017646833,0.0006947011,0.0013952785
0.006883543,0.0076530846,0.008862601,-2.0085601e-05,0.0018828234,0.00038393837,-0.00055515394,0.0026175044,0.00062272133,0.00034069084,-0.0008664273,0.0019022981,0.00023514673,-0.0009930162,0.008285813,0.007885865
0.012989016,0.008740689,0.03500686,0.0008881842,0.0068298243,0.00049159443,0.0047186743,0.008024694,0.0009503302,0.0060288487,0.002406782,0.003979475,0.00083247427,0.0004230921,0.032198936,0.028223822
0.0037750448,-0.0042817653,0.005845489,0.0009530708,0.004392552,0.00018635052,0.0007571548,0.004155728,0.0006098032,0.0018847499,-0.0006646529,0.00021038204,-0.0005568431,-0.0009565802,0.006700324,0.006873921
0.016177716,0.026257869,0.041753862,0.0013533232,0.010063854,0.0013764144,0.005771487,0.012087133,0.0014683487,0.008618448,0.0031280413,0.012321478,0.0017231726,6.9639704e-05,0.043818247,0.04209878
0.007767228,0.0071147103,0.009216384,0.00088874414,0.0026402606,7.472426e-05,0.0003133826,0.0028807027,0.00044846057,0.001409787,-0.0003323983,0.00045492966,-0.00024197949,-0.0012924441,0.010232998,0.0101598855
0.010619037,0.010774489,0.011742554,0.0009887388,0.0032490322,0.00022237308,0.0003654922,0.0031156698,0.00047989353,0.001314135,0.00073115854,0.0003384538,-0.0002664741,-0.0009383859,0.013147193,0.013017152
0.008043682,0.0026355314,0.01074066,0.0007148916,0.0025856865,-7.039955e-05,0.00059865066,0.0027295537,0.00043701968,0.0014841233,-0.0007474029,-1.691049e-06,-0.00023800379,-0.000621185,0.010475293,0.009886552
