app,t03,t11,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t10,MI_size_D_app,effort_D
0.6137378,0.25304016,0.3734604924076295,0.28345832,0.102938384,0.1671062400263744,0.09794234,0.22705604362336262,0.21067919,0.28013888
0.5147574,0.32003048,0.3030640381838423,0.12935889,0.10686709,0.04895732893743974,0.043812,0.21427553285653198,0.16200446,0.28711313
0.6031779,0.2742826,0.4086846245210775,0.29486704,0.026811987,0.12344084740645084,0.090626806,0.1711588302695298,0.17752223,0.28273854
0.43455148,0.32397684,0.29974481798468905,0.08380516,0.11847669,0.026546433592786016,0.082025275,0.23102033386122003,0.17270659,0.34055012
0.45605057,0.31275636,0.3597769615866177,0.14682963,0.1545072,0.09185045051102704,0.14716226,0.28735549724132986,0.21768191,0.37064654
0.45313963,0.27929407,0.3773295526397732,0.17264886,0.21868277,0.13471748808304929,0.18608686,0.32034806922088416,0.27059174,0.40275794
0.42396796,0.3571268,0.283710417022625,0.046090852,0.13210708,0.01122266467335988,0.07175577,0.24085952445157147,0.16798937,0.34265265
0.48218757,0.3302645,0.29324905759494346,0.09109141,0.11595539,0.0330669449840167,0.06202425,0.22782367366942044,0.16622366,0.31741932
0.4298879,0.35166776,0.28947727736863665,0.04736386,0.13279252,0.008513395510803731,0.07608153,0.24535831472149888,0.17322868,0.3441726
0.27605632,0.46269053,0.21123230267393817,0.015599791,0.1366165,0.028358984701539084,0.09228566,0.1921302815278169,0.13458939,0.27164325
0.4854082,0.31145012,0.32586325955179557,0.14589089,0.0985206,0.06718883403133005,0.0946387,0.2205184632311078,0.17768396,0.32236642
0.4971181,0.3023897,0.33136214988172896,0.12648611,0.09893504,0.0568741134124468,0.0787116,0.218513133110788,0.17931396,0.32029447
0.17672342,0.6457846,0.12351255741075345,0.017747518,0.14975944,0.06749999904999994,0.1163352,0.1422277585336655,0.08401529,0.19122288
0.46372592,0.3336293,0.30844347850660875,0.10270834,0.09219965,0.026888157613289457,0.07589682,0.221880033312802,0.16419005,0.32431883
0.4311462,0.35051155,0.28901974734118485,0.04966783,0.13260475,0.010728570643714238,0.08262183,0.24110014446600866,0.17618746,0.3423998
0.36050475,0.4254207,0.2487442649246559,0.10131106,0.08306021,0.04761988985719339,0.0924608,0.1951406817084409,0.1040904,0.26489282
0.45813733,0.34904465,0.2794985367699122,0.087510526,0.12981975,0.029661919779715187,0.05540384,0.22545696352741781,0.16465996,0.32166478
0.52437836,0.2521991,0.3583853415031205,0.17354985,0.094236284,0.0795913347754801,0.09429479,0.20900307254018435,0.19438215,0.29968
0.4030764,0.4216551,0.22800001368000083,0.066926196,0.13931884,0.020083438205006292,0.054441165,0.2177234130634048,0.14668822,0.27950788
0.4128449,0.3722246,0.2771241866274512,0.036242556,0.13013405,0.007848691470921489,0.07662733,0.2469628148177689,0.16659151,0.33190006
0.5139307,0.41112253,0.2755885865353152,0.094426885,0.13839476,0.04020852241251134,0.049955767,0.26459551587573094,0.16531385,0.3165766
0.410586,0.36163312,0.269549916172995,0.061255712,0.13768962,0.023312244398734666,0.0744341,0.23653501419210085,0.17193687,0.31988427
0.4204933,0.33758324,0.3015637180938231,0.05891403,0.1541856,0.03075755384545323,0.09940599,0.25886799553207973,0.18719009,0.38286
0.46573412,0.30083773,0.3172493190349592,0.1067301,0.1051635,0.035623722137423326,0.08755622,0.2153726029223562,0.17466274,0.32306424
0.48293853,0.2832396,0.3307615698456942,0.1280873,0.08468819,0.05359598521575912,0.09524511,0.20595671235740273,0.17155205,0.33364835
