Dataset                      Metric                   metric valor    d     l
---------------------------  ---------------------  --------------  ---  ----
../datasets_2/albrecht.arff  MAE                        8.5592        1  0.05
../datasets_2/albrecht.arff  Median Absolute Error      6.7679        1  0.05
../datasets_2/albrecht.arff  RMSE                       9.51858       1  0.05
../datasets_2/albrecht.arff  R2 Score                   0.307047      1  0.05
../datasets_2/albrecht.arff  MAE                       10.2693        1  0.1
../datasets_2/albrecht.arff  Median Absolute Error      9.67165       1  0.1
../datasets_2/albrecht.arff  RMSE                      11.3782        1  0.1
../datasets_2/albrecht.arff  R2 Score                   0.00983075    1  0.1
../datasets_2/albrecht.arff  MAE                       11.7367        1  0.15
../datasets_2/albrecht.arff  Median Absolute Error     10.488         1  0.15
../datasets_2/albrecht.arff  RMSE                      13.7687        1  0.15
../datasets_2/albrecht.arff  R2 Score                  -0.449934      1  0.15
../datasets_2/albrecht.arff  MAE                       10.8872        1  0.2
../datasets_2/albrecht.arff  Median Absolute Error     10.9891        1  0.2
../datasets_2/albrecht.arff  RMSE                      12.6043        1  0.2
../datasets_2/albrecht.arff  R2 Score                  -0.215055      1  0.2
../datasets_2/albrecht.arff  MAE                        7.58376       1  0.25
../datasets_2/albrecht.arff  Median Absolute Error      4.9263        1  0.25
../datasets_2/albrecht.arff  RMSE                       9.2874        1  0.25
../datasets_2/albrecht.arff  R2 Score                   0.340298      1  0.25
../datasets_2/albrecht.arff  MAE                       10.8896        2  0.05
../datasets_2/albrecht.arff  Median Absolute Error      8.59898       2  0.05
../datasets_2/albrecht.arff  RMSE                      12.0437        2  0.05
../datasets_2/albrecht.arff  R2 Score                  -0.109385      2  0.05
../datasets_2/albrecht.arff  MAE                        8.93772       2  0.1
../datasets_2/albrecht.arff  Median Absolute Error      8.82815       2  0.1
../datasets_2/albrecht.arff  RMSE                       9.65431       2  0.1
../datasets_2/albrecht.arff  R2 Score                   0.287144      2  0.1
../datasets_2/albrecht.arff  MAE                        9.37684       2  0.15
../datasets_2/albrecht.arff  Median Absolute Error      8.34659       2  0.15
../datasets_2/albrecht.arff  RMSE                      10.3626        2  0.15
../datasets_2/albrecht.arff  R2 Score                   0.178711      2  0.15
../datasets_2/albrecht.arff  MAE                       10.6667        2  0.2
../datasets_2/albrecht.arff  Median Absolute Error      8.6872        2  0.2
../datasets_2/albrecht.arff  RMSE                      12.1782        2  0.2
