size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_18,effort_D
-0.26692563,0.32321307,0.6583009,0.6714078,1.2904767,1.1689538,1.2524729,0.3245795,-0.39156613,0.36602673,1.0573272,0.5462142,0.32567915,0.9050941,0.50244904,0.16929863,0.8580094,0.5337534,0.5770875,0.20503305,0.65038776,1.0204055,0.7341147,0.9110605,0.8135889,0.6019259,0.27604902,1.3915727,0.048482332,0.3214437,-0.111713484,0.39939606,0.8412997,0.7563457,0.81383,1.1617299,0.30017313,0.9924581,1.4406828,1.5019689,0.9716679,1.4577137,-0.27231863
-0.13223018,0.1220932,0.45478877,0.38995862,0.63909847,0.7738049,0.83773506,0.22699039,-0.08497073,0.24835391,0.58595824,0.21405317,0.28454733,0.49422595,0.41017383,0.232557,0.51679426,0.42027318,0.41945875,0.24381839,0.44001657,0.5524024,0.42092067,0.45720702,0.48709393,0.3297243,0.26644182,0.63082707,0.1514898,0.2179245,0.02755623,0.25723118,0.4876615,0.4389853,0.46120185,0.47947946,0.29531932,0.51852244,0.70757854,0.70004946,0.4392159,0.72759855,-0.059991077
-0.11952792,0.13502392,0.38499716,0.3784843,0.6600923,0.72568595,0.7921095,0.294721,-0.011415929,0.25816208,0.5627862,0.21541208,0.2935968,0.5138514,0.42890126,0.2035793,0.49067736,0.4257858,0.41952226,0.26115352,0.4401874,0.5500321,0.43101007,0.44396627,0.43231094,0.36041117,0.27870423,0.6361506,0.13633657,0.25155303,0.07612588,0.30210453,0.44929442,0.40547574,0.47278455,0.47237486,0.29396313,0.49034485,0.6983334,0.6818675,0.40259624,0.73689497,-0.06792484
-0.14159417,0.14371045,0.6830101,0.6161618,0.83266306,1.0364428,1.1849496,0.27863216,0.1996088,0.20905001,0.6991259,0.11494875,0.51808846,0.52479845,0.53789455,0.26501566,0.6077752,0.5108302,0.4259256,0.39956963,0.4470686,0.6265211,0.44013393,0.53944325,0.53344774,0.20730457,0.40734848,0.64654267,0.35235435,0.31674486,-0.05450458,0.22660308,0.3947164,0.36131215,0.69005656,0.5593393,0.4851566,0.47797725,0.7917491,0.7257489,0.38682377,0.77992857,-0.06408356
0.06805168,0.32142553,0.78287876,0.6630584,0.67034894,0.9443221,0.8443674,0.34708694,0.28352448,0.38321733,0.53481835,0.28117228,0.6193669,0.41393095,0.49385238,0.32916555,0.48612505,0.59956574,0.45639366,0.5279847,0.42122105,0.48590842,0.2980324,0.50402814,0.25527593,0.15638472,0.57310736,0.36235762,0.582559,0.54920614,0.11804263,0.2539956,0.123436555,0.053948097,0.82980716,0.2759197,0.6274569,0.19127738,0.42280003,0.3627658,0.22506303,0.53838766,0.098602265
-0.02321851,0.071349934,0.29475343,0.39160067,0.56260943,0.6398872,0.6873002,0.47242057,0.29850402,0.33591557,0.39389673,0.21157493,0.39146104,0.5266237,0.55969584,0.29754567,0.38068652,0.5111861,0.5054734,0.49005753,0.5054041,0.4590791,0.4203562,0.3535508,0.20244434,0.3120998,0.43096262,0.3740088,0.32899082,0.34858096,0.33154806,0.38276592,0.26017162,0.20024902,0.56933904,0.17541458,0.4516201,0.25974444,0.3921356,0.32190567,0.19610071,0.5210539,0.0057596266
-0.12665455,0.13486284,0.5823289,0.5118426,0.7334234,0.8786831,1.014718,0.23663768,0.023870522,0.22053672,0.6330468,0.17643794,0.4198168,0.49151817,0.45082563,0.24959363,0.5587674,0.4525592,0.4179981,0.32691914,0.471737,0.5937416,0.4209857,0.4902166,0.54136556,0.22766058,0.33508348,0.6208003,0.25101417,0.26762062,-0.031745866,0.20851731,0.43863946,0.42460936,0.58207715,0.509554,0.3640327,0.46969157,0.74016595,0.7043463,0.44034773,0.72552896,-0.072135314
-0.0011388869,0.08070168,0.34509766,0.4622025,0.60542846,0.69462216,0.78313255,0.49481153,0.4340272,0.33211577,0.37441313,0.16549405,0.48726946,0.5311484,0.6033101,0.31442422,0.38283944,0.519634,0.46168214,0.57652545,0.5050803,0.45198005,0.42148018,0.33731097,0.18729705,0.27192867,0.4522559,0.34896564,0.4099646,0.37530583,0.3210329,0.37763718,0.22191682,0.1990108,0.60965085,0.18666339,0.5036555,0.22779503,0.3813416,0.30861813,0.1690662,0.5070752,0.014788393
-0.11285566,0.10631179,0.50695443,0.47014797,0.69901615,0.85894656,0.9634063,0.32372072,0.16267762,0.24644496,0.58564085,0.115237996,0.41938823,0.4969914,0.5030999,0.25547683,0.5093826,0.49516597,0.43117929,0.38047796,0.44943538,0.53678524,0.433856,0.40510964,0.4695873,0.28059104,0.3760644,0.55204684,0.2743912,0.27040112,0.068658024,0.29214635,0.4195506,0.38442147,0.5432358,0.45012328,0.38252786,0.4356846,0.6556697,0.61506677,0.35555112,0.69081974,-0.029265799
-0.13595404,0.16979581,0.7116717,0.5682924,0.7665451,1.0282779,1.1409013,0.23433647,0.020387776,0.26073617,0.7086818,0.2058101,0.4468073,0.5101647,0.4889865,0.2985824,0.60851157,0.49942052,0.44300857,0.35609448,0.48114645,0.6446077,0.44373214,0.55797,0.6014186,0.2151679,0.37389338,0.6460902,0.30871958,0.31088895,-0.060779117,0.19653344,0.44998994,0.43104935,0.6423565,0.5617543,0.4335016,0.50592214,0.7910032,0.75355595,0.46850425,0.7604116,-0.061094884
