size_D,duration_D,app,har,dba,source,nlan,telonuse,t02,t03,t05,t07,t08,t13,Generated_Var_1,Generated_Var_2,Generated_Var_4,effort_D
-0.26692563,0.32321307,0.6583009,0.6714078,1.2904767,1.2524729,0.3245795,-0.39156613,1.0573272,0.5462142,0.9050941,0.16929863,0.8580094,1.0204055,0.8135889,0.6019259,1.3915727,-0.27231863
-0.13223018,0.1220932,0.45478877,0.38995862,0.63909847,0.83773506,0.22699039,-0.08497073,0.58595824,0.21405317,0.49422595,0.232557,0.51679426,0.5524024,0.48709393,0.3297243,0.63082707,-0.059991077
-0.11952792,0.13502392,0.38499716,0.3784843,0.6600923,0.7921095,0.294721,-0.011415929,0.5627862,0.21541208,0.5138514,0.2035793,0.49067736,0.5500321,0.43231094,0.36041117,0.6361506,-0.06792484
-0.14159417,0.14371045,0.6830101,0.6161618,0.83266306,1.1849496,0.27863216,0.1996088,0.6991259,0.11494875,0.52479845,0.26501566,0.6077752,0.6265211,0.53344774,0.20730457,0.64654267,-0.06408356
0.06805168,0.32142553,0.78287876,0.6630584,0.67034894,0.8443674,0.34708694,0.28352448,0.53481835,0.28117228,0.41393095,0.32916555,0.48612505,0.48590842,0.25527593,0.15638472,0.36235762,0.098602265
-0.02321851,0.071349934,0.29475343,0.39160067,0.56260943,0.6873002,0.47242057,0.29850402,0.39389673,0.21157493,0.5266237,0.29754567,0.38068652,0.4590791,0.20244434,0.3120998,0.3740088,0.0057596266
-0.12665455,0.13486284,0.5823289,0.5118426,0.7334234,1.014718,0.23663768,0.023870522,0.6330468,0.17643794,0.49151817,0.24959363,0.5587674,0.5937416,0.54136556,0.22766058,0.6208003,-0.072135314
-0.0011388869,0.08070168,0.34509766,0.4622025,0.60542846,0.78313255,0.49481153,0.4340272,0.37441313,0.16549405,0.5311484,0.31442422,0.38283944,0.45198005,0.18729705,0.27192867,0.34896564,0.014788393
-0.11285566,0.10631179,0.50695443,0.47014797,0.69901615,0.9634063,0.32372072,0.16267762,0.58564085,0.115237996,0.4969914,0.25547683,0.5093826,0.53678524,0.4695873,0.28059104,0.55204684,-0.029265799
-0.13595404,0.16979581,0.7116717,0.5682924,0.7665451,1.1409013,0.23433647,0.020387776,0.7086818,0.2058101,0.5101647,0.2985824,0.60851157,0.6446077,0.6014186,0.2151679,0.6460902,-0.061094884
-0.0676734,0.20054948,0.75030994,0.6328584,0.7507169,1.1418872,0.3390866,0.25229862,0.66845894,0.15603137,0.48955148,0.3365768,0.5852487,0.59546477,0.49224263,0.17933607,0.50104207,0.013100389
-0.22755997,0.26353595,0.9183712,0.8945075,1.31506,1.6444927,0.3544456,0.1361792,1.0508665,0.20896211,0.76168436,0.19354875,0.85034055,0.9337892,0.8202001,0.27507752,1.1166267,-0.19719921
-0.09247839,0.080080494,0.61449647,0.49210584,0.6568093,1.0400323,0.29230493,0.22194946,0.5806938,0.09921789,0.48115295,0.33291194,0.5442812,0.51834667,0.5005554,0.23583066,0.456527,0.008980844
-0.105882436,0.086055614,0.578285,0.50373894,0.67629206,1.0397239,0.28246418,0.24890448,0.57077247,0.073080055,0.4771638,0.3002064,0.53025484,0.5139851,0.46360472,0.2095069,0.47174615,-0.010037374
1.1099924,2.094607,3.1508234,2.481441,2.4730732,1.5745542,1.4460175,0.8557547,1.4192873,1.7432153,0.87261736,0.98946834,1.6207753,1.3732826,-0.103016146,0.6941554,1.234778,0.6886743
-0.11879258,0.15559253,0.08109866,0.21756552,0.6951121,0.34596825,0.39845645,-0.38153338,0.508831,0.5999097,0.6830801,0.14006288,0.45168406,0.66506916,0.2773762,0.6585334,0.825003,-0.12705538
-0.14826934,0.14123043,0.4613371,0.43453437,0.7055535,0.8930385,0.22947243,-0.063074574,0.6127132,0.22007434,0.5234277,0.19962966,0.5290082,0.5950797,0.48026937,0.31608802,0.69534606,-0.09160955
-0.049409896,0.09564146,0.35670543,0.44528478,0.60740304,0.7951466,0.4223958,0.29239795,0.44293803,0.19758366,0.5186445,0.27927756,0.4128986,0.47486594,0.25873485,0.27303582,0.40729538,0.002408594
0.11214431,0.11736032,0.27896455,0.5604951,0.7558403,0.75816035,0.88708615,0.70176995,0.34596497,0.377689,0.7443871,0.44161752,0.43970108,0.5552949,0.002841875,0.4461226,0.43657565,0.03043307
-0.16081968,0.15880646,0.36270994,0.36816627,0.71339226,0.7389654,0.2275876,-0.22832261,0.6139137,0.33664554,0.5686406,0.17413524,0.53228325,0.6229718,0.46951988,0.41406256,0.79792774,-0.12383734
-0.1339243,0.1944735,0.13758878,0.26473576,0.81278026,0.43092173,0.39975673,-0.5059375,0.5956096,0.6888852,0.7575417,0.15141836,0.5184586,0.77578133,0.36487857,0.7145411,0.9776563,-0.15591528
-0.22069971,0.2763307,1.1160493,0.8801187,1.0996435,1.5717397,0.11602962,-0.11980209,1.0286216,0.38043702,0.63044095,0.34551215,0.9060417,0.9247445,0.82247007,0.10196445,1.0274289,-0.22764573
-0.0019525071,0.17993945,0.6082761,0.5847593,0.7200878,0.9644456,0.44105893,0.39261225,0.5279262,0.1513878,0.49532953,0.3213423,0.5009127,0.51428753,0.2961863,0.22071,0.41764778,0.041747104
-0.11266802,0.12624805,0.6207485,0.5454107,0.70845973,1.0682757,0.30843538,0.2321202,0.63768506,0.10309699,0.49747753,0.30748552,0.5514707,0.57001233,0.5143341,0.23408416,0.508874,0.0058435053
-0.103854686,0.14440075,0.3133466,0.33445382,0.68318707,0.6368214,0.30384845,-0.23596665,0.5507134,0.39896482,0.56925553,0.1849463,0.46540302,0.61310375,0.416849,0.433182,0.7480608,-0.112707056
-0.13455908,0.16469146,0.69686246,0.6001152,0.7334623,1.1365799,0.27591047,0.1870111,0.65700656,0.16731372,0.48188785,0.28562087,0.58497584,0.6033504,0.5011367,0.15791033,0.5658012,-0.038241077
-0.15003796,0.15620846,0.41446152,0.41320568,0.73470193,0.8178617,0.23335244,-0.19226375,0.6261837,0.3099355,0.55267787,0.18255123,0.5483469,0.62401146,0.5021444,0.37681156,0.7832387,-0.11879878
0.10398787,0.20535882,0.43943897,0.6168021,0.7895622,0.8223301,0.78546727,0.6735771,0.4028852,0.32822996,0.67649716,0.4096698,0.48007244,0.55631363,0.03527481,0.39565867,0.43979052,0.055752773
0.18444741,0.53940004,0.89210093,0.8865928,1.0234894,0.83950067,0.6220293,0.53119385,0.5952703,0.44779027,0.5617819,0.32536146,0.6182293,0.562159,-0.023629695,0.2655148,0.5192855,0.14541554
0.19162731,0.18007982,0.2877329,0.66896576,0.87405074,0.7015326,1.1538237,0.76882267,0.36370057,0.56207335,0.8896385,0.5450585,0.50300777,0.65577304,-0.1203506,0.58403325,0.5134388,0.06755252
0.26812664,0.15902108,0.082969874,0.7513596,1.1330492,0.5986906,1.7052296,0.98816776,0.44743213,0.98398167,1.2525028,0.725605,0.6230532,0.9776569,-0.31190118,1.0303389,0.81516707,0.05143966
-0.14730857,0.14877442,0.499546,0.45196235,0.75559163,0.9316158,0.25618738,-0.06093135,0.65345144,0.21448474,0.53337765,0.21532524,0.5592317,0.62656325,0.52639157,0.33503574,0.71966517,-0.09138021
-0.09730364,0.11491817,0.5100504,0.5167789,0.70950603,0.986735,0.31447226,0.26269633,0.55304915,0.09356145,0.49658924,0.26649538,0.48437548,0.5238277,0.39226237,0.2148927,0.5050446,-0.028289832
-0.09140787,0.10469411,0.59934425,0.5314825,0.66979104,1.0473545,0.36845088,0.3213488,0.5970858,0.118665114,0.5048225,0.32925728,0.5236384,0.5448843,0.46808758,0.22983696,0.45730647,0.0292246
-0.19998561,0.2611911,0.73564756,0.6216011,1.0423474,1.1517051,0.18645349,-0.3722141,0.89497006,0.5066317,0.68628615,0.26268572,0.79092234,0.9019386,0.7520046,0.39340955,1.0924432,-0.20703857
0.096414216,0.19903669,0.39847532,0.55376554,0.7181827,0.7375883,0.7385818,0.5511811,0.36988908,0.34130007,0.6641603,0.40160504,0.4415154,0.5172239,0.036014557,0.36497337,0.37136552,0.05870011
0.11044241,0.1436685,0.3188437,0.4964441,0.59757185,0.6143231,0.7045007,0.48349956,0.3146823,0.35491538,0.6060581,0.40922958,0.39256424,0.47920835,0.024415292,0.36320645,0.32042372,0.061577912
-0.15016864,0.18421301,0.86670375,0.6699678,0.79854727,1.2431612,0.15793511,0.06934498,0.7475997,0.2217729,0.4849562,0.31844977,0.6750313,0.6521373,0.59544873,0.123776294,0.6639798,-0.08168548
-0.12363544,0.13196778,0.38247755,0.45566547,0.7224556,0.85999703,0.28883934,0.038004316,0.56020063,0.21027249,0.5360818,0.17858854,0.50719076,0.55321157,0.4196562,0.29702055,0.67568743,-0.09617278
0.04265809,0.15891083,0.30540362,0.43870074,0.59820247,0.57170093,0.5193526,0.30564597,0.36884654,0.30291796,0.51378983,0.31335625,0.35751927,0.45640615,0.070265934,0.29275143,0.3458453,0.0220395
-0.055977724,0.120555006,0.4799801,0.5442598,0.7544668,1.0050104,0.4647031,0.4091364,0.52305514,0.10298438,0.5441882,0.2987095,0.48499638,0.53580207,0.34583813,0.2590317,0.45921913,0.0054292157
-0.18238802,0.20673431,0.9117751,0.75253487,0.96430737,1.3968954,0.21597576,0.08500071,0.8567564,0.23576759,0.5686249,0.2734021,0.7351264,0.7557392,0.7004843,0.15106317,0.81299955,-0.13268204
-0.051590554,0.21808788,0.7190045,0.63016045,0.7054456,1.0213424,0.31914726,0.23639774,0.5984953,0.20990553,0.46815675,0.34094808,0.5369342,0.5630758,0.38338706,0.15387428,0.42667973,0.03389636
-0.06687028,0.09736203,0.55733,0.50482094,0.67138135,1.0133886,0.36781293,0.3214543,0.54866713,0.09204767,0.50221527,0.32070163,0.50970227,0.5050912,0.4079594,0.24409562,0.43829352,0.015999746
0.059383843,0.14512198,-0.06574947,0.43056875,0.8343279,0.29233146,1.1455395,0.3565818,0.40812394,0.8363753,0.9888545,0.4479372,0.4867832,0.8187911,-0.21063265,0.8711645,0.7052296,-0.056211434
-0.10332236,0.10929378,0.28806925,0.33435392,0.5878952,0.6772435,0.35661706,0.0543101,0.5002958,0.24747661,0.5314788,0.1955669,0.42719793,0.5225857,0.3387635,0.38315302,0.5496719,-0.038283102
0.07280065,0.33464482,0.75413656,0.7139601,0.8401005,1.0191877,0.52027166,0.42288443,0.6115798,0.23976539,0.5024065,0.33708903,0.53408927,0.5756024,0.28794026,0.24875024,0.47344872,0.07487512
-0.06801381,0.118355334,0.5813159,0.522064,0.6634396,0.98724914,0.3485973,0.29872963,0.5507854,0.11924902,0.4899584,0.33445567,0.49721026,0.5085048,0.40462792,0.22205642,0.41212344,0.036210958
-0.06976887,0.15472575,0.69729733,0.5802024,0.69780576,1.091052,0.33651707,0.29043093,0.62111825,0.12919307,0.47843835,0.35114613,0.5643517,0.553426,0.46707278,0.20260811,0.4485539,0.025818612
-0.20132639,0.25501803,0.5191488,0.4913162,1.022106,0.90879655,0.27757406,-0.48247752,0.8474048,0.5887859,0.7569868,0.20819275,0.71737665,0.8843792,0.68593717,0.58484477,1.1670202,-0.18667735
0.0031321184,0.082257845,0.3058434,0.41051227,0.55389893,0.67094445,0.48827362,0.34142804,0.36021188,0.21142516,0.51082855,0.31401974,0.36718142,0.44319215,0.15841235,0.27907538,0.34317082,0.020094614
-0.12766546,0.15324795,0.672459,0.6082395,0.80992085,1.1822792,0.33070695,0.23961468,0.6880464,0.11285053,0.51647955,0.2878453,0.59852546,0.61288697,0.5387456,0.21863483,0.5954372,-0.03528935
-0.038034808,0.21771057,0.7182667,0.58681303,0.6961601,0.9592906,0.2936644,0.23629284,0.5714169,0.22074336,0.44923174,0.30774355,0.5197911,0.522353,0.3406848,0.12088343,0.4235519,0.018568475
-0.111841455,0.09832955,0.49182957,0.4519512,0.67096424,0.9428234,0.3048215,0.15583038,0.5675256,0.13270167,0.5011299,0.25933224,0.50884867,0.5290783,0.46845135,0.27639782,0.5318175,-0.0178979
-0.03508519,0.06874107,0.3994346,0.43398017,0.59367573,0.81831324,0.41417247,0.3055286,0.44346637,0.14188485,0.5061638,0.31249452,0.4111336,0.46524635,0.27858442,0.23925282,0.38103214,0.015214492
-0.22665419,0.24432135,0.9229394,0.78941196,1.098831,1.46206,0.18094084,-0.08914335,0.96466494,0.30438423,0.67379224,0.23766471,0.82240736,0.8583578,0.7940513,0.20355569,1.0570012,-0.23131937
-0.095101394,0.0852468,0.62170017,0.5109541,0.66878676,1.0588415,0.29980385,0.24844289,0.5934231,0.09216468,0.4879334,0.3348772,0.54806644,0.52421695,0.50633097,0.23674329,0.45615092,0.01626921
0.046560332,0.11344343,0.33976412,0.4884845,0.6069121,0.7215296,0.600307,0.4859345,0.36116487,0.24148428,0.5686318,0.35435095,0.38142794,0.46416003,0.10399472,0.29671812,0.3375123,0.04355887
0.02682048,0.06598356,0.30226487,0.4439839,0.5742077,0.73439705,0.563986,0.4574803,0.35129723,0.21401443,0.555931,0.3385761,0.39047164,0.4499274,0.17141934,0.31239855,0.33874124,0.022910926
-0.15688436,0.23334278,-0.15750785,0.18638285,0.9722639,0.13368288,0.73551154,-0.4830044,0.58314884,0.9787731,1.0151199,0.13090383,0.5348078,0.938648,0.14261098,1.1073678,1.1560205,-0.17372951
-0.07606748,0.08861085,0.54112756,0.47577482,0.6332183,0.99166656,0.33342996,0.26609382,0.5665518,0.13111612,0.50158966,0.31132454,0.49733424,0.52598214,0.4664814,0.21096492,0.46377662,-0.005478576
-0.040458344,0.10638466,0.43713182,0.5275364,0.71802825,0.98658097,0.4787689,0.46009633,0.48605782,0.108114414,0.561427,0.29928607,0.47246253,0.5217804,0.31373358,0.25381726,0.4222289,0.014375266
-0.08356223,0.24487673,0.78690076,0.7393082,0.9791399,1.3022575,0.42652795,0.33594227,0.7748203,0.18400903,0.5792011,0.30181062,0.63782316,0.6742097,0.5424333,0.2403976,0.6289108,-0.020637041
-0.08698027,0.20162643,0.74852383,0.64594,0.76098055,1.1467826,0.29597908,0.22903377,0.7027332,0.1859989,0.5063116,0.2960263,0.56963503,0.62893695,0.5125218,0.14135294,0.5657078,-0.025621213
-0.16906145,0.22635762,0.5513052,0.59144765,0.99331826,1.1185714,0.37818423,0.0023267847,0.7925499,0.2565676,0.6465132,0.17892215,0.6363314,0.7456815,0.6291973,0.42770433,0.8984365,-0.12763678
-0.07384001,0.1148512,0.20903246,0.27325708,0.5636302,0.507661,0.34582007,-0.117687136,0.44633815,0.35719395,0.5378659,0.18018621,0.3986445,0.5167518,0.28049174,0.43629473,0.59032696,-0.07460914
-0.16320765,0.16022095,0.7760459,0.618528,0.7604501,1.1594146,0.15055633,0.047263294,0.70372653,0.19222213,0.4760465,0.29121923,0.64799213,0.6299042,0.56733835,0.14746657,0.6755171,-0.09087157
0.02170211,0.07322831,-0.069925226,0.3468625,0.70164645,0.29288954,0.928046,0.38478258,0.33817494,0.6318008,0.8234416,0.33306718,0.38422072,0.6373295,-0.1330888,0.7449725,0.61603284,-0.056789998
0.2168443,0.23197988,0.31919613,0.6880388,0.9106614,0.6397882,1.1843133,0.7728037,0.3509902,0.609359,0.8914426,0.55264366,0.5166946,0.6806944,-0.18406166,0.61321914,0.5469027,0.07566202
-0.15112843,0.1358655,0.6334963,0.5167464,0.70382786,1.0079366,0.15378562,-0.024483562,0.6456928,0.20853327,0.4809583,0.25493437,0.57552046,0.5897797,0.5237942,0.20002577,0.6549373,-0.094779596
-0.15170446,0.15631929,0.72416437,0.5629089,0.7364479,1.0875531,0.15033029,-0.033850674,0.69056255,0.22321749,0.4834225,0.2879312,0.62188596,0.6229519,0.5747523,0.18490656,0.67321396,-0.094355255
-0.21877103,0.25578094,0.58641756,0.5427645,1.0235869,1.0135772,0.220737,-0.4349051,0.8909592,0.5167328,0.7315606,0.21037674,0.74381924,0.8919965,0.71312654,0.5165036,1.1724734,-0.18978763
0.06698253,0.21687809,0.51760507,0.55664164,0.6105144,0.7353864,0.4659323,0.37983748,0.41021773,0.24151851,0.47823802,0.35619137,0.42222762,0.4392283,0.16101477,0.23219217,0.3228159,0.08315006
0.032216176,0.4174984,1.1106421,0.83090276,0.8769603,1.1885525,0.25593972,0.17959243,0.7541433,0.40982348,0.45808977,0.3710331,0.6859038,0.6469849,0.42653447,0.06644164,0.5356355,0.039583933
-0.03008272,0.07324926,0.11026233,0.33454335,0.62211823,0.49086112,0.61259055,0.28518665,0.35112864,0.35121697,0.6339594,0.2595174,0.3448444,0.51272595,0.055764534,0.48263818,0.4818521,-0.050619084
-0.12529728,0.16675211,0.7874595,0.6387704,0.8437239,1.2558732,0.26937836,0.12512566,0.76558083,0.1646901,0.519119,0.31743157,0.64895225,0.66388583,0.62862384,0.19512078,0.6489454,-0.05330218
-0.08271638,0.108434394,0.13456282,0.25872627,0.5664729,0.4543751,0.38674125,-0.049421463,0.41336313,0.35394108,0.56147695,0.16317676,0.375144,0.50986344,0.22886601,0.4739079,0.5811395,-0.08023138
-0.075069785,0.12904114,0.6612631,0.5567389,0.729083,1.1140472,0.36680913,0.30451056,0.6171326,0.09533382,0.49858692,0.33281282,0.5661612,0.54774004,0.46639407,0.23355778,0.4778078,0.0063598044
-0.078572065,0.12915862,0.66927683,0.56129974,0.6693743,1.0542346,0.31419036,0.29157358,0.6011293,0.11872445,0.47587162,0.35418743,0.53986144,0.5401739,0.47157148,0.20173685,0.43645325,0.031804424
-0.04144674,0.08935614,0.23098053,0.30441514,0.5485069,0.5436841,0.4076005,0.058032434,0.41686144,0.3034004,0.52726,0.21693388,0.38134414,0.47755724,0.22030373,0.39171982,0.4879223,-0.04717564
0.17955416,0.20944935,0.20821936,0.7212299,1.0056204,0.65014315,1.3106658,0.7423793,0.38304442,0.68250805,0.982618,0.59180117,0.5412407,0.76226765,-0.18142371,0.69358605,0.6122593,0.045418065
-0.12045364,0.10435844,0.20191927,0.33276427,0.6541099,0.6161587,0.40473887,0.049323358,0.48179302,0.2683452,0.57717746,0.15495677,0.4164086,0.5216056,0.30745858,0.4560957,0.63292617,-0.08363336
-0.13433954,0.09839858,0.5865048,0.5152823,0.7125603,1.052825,0.27342463,0.19802065,0.60309744,0.08898434,0.4957813,0.26173085,0.540175,0.55406463,0.48875597,0.2078788,0.55529225,-0.038918387
-0.0817271,0.2820392,0.82834864,0.79228157,1.0823781,1.4031346,0.48458326,0.38505808,0.83174676,0.1869309,0.6196115,0.29514897,0.7072406,0.745772,0.5512707,0.28572172,0.7291328,-0.046653073
-0.20331657,0.21980031,0.5607346,0.56143355,0.9684047,1.0888633,0.2541094,-0.17448626,0.8223866,0.32005996,0.6699182,0.15778586,0.67811346,0.77130336,0.6554639,0.40372974,1.010463,-0.18008237
0.36496446,0.6849881,1.0917997,0.9915893,1.0233597,0.8399081,0.7583002,0.5174745,0.6095975,0.58554614,0.5492931,0.46408588,0.6621271,0.61308354,-0.007826249,0.35719824,0.51327974,0.254927
-0.13565443,0.14890188,0.29754797,0.30374786,0.64407504,0.6321691,0.26623884,-0.23060541,0.5634242,0.35729396,0.5575347,0.17498629,0.49240917,0.58459514,0.42074916,0.47256094,0.73625565,-0.09763764
-0.08449743,0.12537712,0.088010445,0.21848215,0.6344226,0.34216815,0.39164293,-0.32784328,0.4625915,0.5479321,0.63247526,0.14222866,0.40992004,0.61277294,0.2511456,0.5891605,0.7406616,-0.122182876
0.014620684,0.31415448,0.8641366,0.687776,0.735859,1.0348352,0.31978825,0.23498115,0.6276303,0.27428567,0.44292015,0.35294327,0.5812874,0.56503093,0.35169694,0.12011872,0.4355769,0.052628588
