ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Effort
0.4075922,0.0059380457,-0.006131625,0.05214601,0.07441003,-0.0522361,0.012680492,-0.006716893,0.032217987,-0.005045914,0.3856186,0.010302439,-0.00047874916,0.07435087,0.13409081,0.5833041,0.5871032,0.28607073,0.54253113,0.1157469
0.7012692,0.00812776,-0.0028493144,0.023389507,0.022674043,0.032438405,-0.008662921,0.0072779926,-0.009253368,-0.0035554762,0.30533075,-0.057793662,-0.0007683933,-0.007712622,0.0300707,0.53401935,0.6017451,0.3463837,0.46274737,0.027072852
0.32409644,0.014811221,0.017687855,-0.0021793558,0.054189313,0.035443794,-6.1302795e-05,0.012634254,0.020996734,0.0072857505,0.11790019,0.0459384,-0.0012486689,0.1313029,0.04707422,0.56580937,0.6115285,0.2987546,0.51950955,0.040938117
0.40566888,0.03370482,0.016469235,0.06810082,0.13932623,0.034550518,0.021791425,0.037626714,0.012318216,0.012481007,0.042114764,-0.001992017,-0.0011235811,0.12984648,0.065684006,0.5663272,0.55153465,0.37941375,0.46056846,0.06368826
0.4513962,0.04498817,0.03655251,0.06170923,0.097649015,0.054382086,0.008334884,0.05008322,0.014764544,0.0016200757,0.09961718,0.007984024,-0.0005629808,0.1007073,0.1414029,0.48381627,0.6015725,0.36357763,0.4111899,0.12608562
0.26972625,0.026330221,0.019768434,0.05543646,0.063396715,0.021567505,0.023997683,0.017006759,0.0505054,0.013817125,0.080628514,0.033754203,0.00011366792,0.09841792,0.10273695,0.53166205,0.6255442,0.2771303,0.49655145,0.08583574
0.44538936,0.012196947,0.007059913,0.041648015,-0.011177201,0.0035594571,0.01091327,0.012056753,0.0009786934,-0.0051993392,0.13602714,0.028751604,-0.00027875789,0.09182826,0.036755566,0.55392545,0.5841248,0.28404593,0.5185605,0.026369495
0.5412935,0.0076115634,0.0028738584,0.025288403,0.029467037,0.013387952,-0.00065301766,0.010047443,0.004701581,0.0021277275,0.15153852,-0.009165371,-0.0008591339,0.09650684,0.04889424,0.5300641,0.59886634,0.333529,0.45638657,0.0472196
0.7696177,0.022796277,0.024685962,0.06708091,-0.02108163,0.0023397822,0.023475863,0.011124312,0.049193874,0.01910761,0.1826203,0.011086332,-0.00159413,0.1143221,0.11513593,0.4557599,0.55742145,0.43107328,0.35270745,0.1144708
0.51474947,0.008294504,-0.0041604172,0.055569585,-0.020377927,0.0018504914,0.0066827605,-0.001153233,0.029362045,0.009634166,0.2601596,-0.0030205594,-0.0008197287,0.09359439,0.11019619,0.5012008,0.6011949,0.29310852,0.45017695,0.11137451
