size_D,duration_D,app,har,dba,ifc,t02,t03,t06,t14,MI_size_D_t02,effort_D
0.16771087,-0.12267261,0.6340462,0.62417924,0.77112895,1.1702201,0.65444523,0.2181595,0.9317887,0.6713947,-0.13737902,0.13772604
0.060371675,-0.08032554,0.65924156,0.3159216,0.6325073,0.7774807,0.5231531,0.4250734,0.6874012,0.50529206,-0.10118793,0.086972624
0.6704007,0.16177571,0.49278554,0.8037481,0.9124808,0.9738448,0.40237033,0.8136303,0.5145605,0.47795594,-0.12721126,0.3425722
0.17765956,-0.0810902,0.59602785,0.5690277,0.72373116,1.051318,0.5647502,0.2850538,0.82154727,0.5951367,-0.102378026,0.12610824
0.044618476,-0.061296377,0.7386071,0.19456714,0.623405,0.63806385,0.53807205,0.61199963,0.61487025,0.44809848,-0.11949576,0.08002825
0.11343623,-0.109328,0.5944346,0.56723404,0.71277165,1.0826021,0.6013162,0.14392664,0.8687013,0.6383063,-0.11102923,0.11519666
0.048857287,-0.10022908,0.6422929,0.5009784,0.69257337,1.0400091,0.5891722,0.11071531,0.8602399,0.6501288,-0.08613626,0.080234796
0.07145567,-0.11665073,0.7034792,0.33447832,0.6697426,0.86026883,0.5799339,0.437329,0.76239717,0.5309204,-0.12052922,0.114519626
0.4506964,0.040877316,0.46857476,0.6826816,0.78751814,0.9619336,0.4632342,0.6185693,0.60467523,0.50928,-0.13123566,0.27479154
1.2691134,0.38321236,0.7020229,1.3931515,1.4808868,1.4596338,0.5272236,1.57141,0.6930161,0.6258218,-0.22633892,0.67269737
0.016695332,-0.11159624,0.63987434,0.36080593,0.6326325,0.8584897,0.5332149,0.2638939,0.74007446,0.5544163,-0.10325637,0.068509996
0.025305431,-0.053937096,0.8097283,0.47643232,0.78325695,1.0220726,0.6299101,0.31801012,0.8581926,0.5503634,-0.12671262,0.12349364
0.13737027,-0.085547,0.5793426,0.54107356,0.67643905,0.99870515,0.56022394,0.20060143,0.8007184,0.5806166,-0.10412668,0.10835458
0.14741373,-0.083256826,0.5779629,0.5815568,0.7069076,1.0590267,0.5815372,0.16242772,0.8236664,0.6126711,-0.10347427,0.09260638
0.45687506,0.04980117,0.43304574,0.6473864,0.7501829,0.9075895,0.40513456,0.59491706,0.5396004,0.504668,-0.11976394,0.2811376
0.045719005,-0.06912332,0.7293721,0.25651464,0.683298,0.77751833,0.58463144,0.51682466,0.6936672,0.5280994,-0.12407988,0.12565549
-0.038425032,-0.035349697,0.943799,0.11912997,0.7350766,0.64185464,0.6461771,0.7959181,0.6895745,0.4753042,-0.16966203,0.098608956
0.03363165,-0.10976183,0.6518924,0.49744952,0.70057625,1.0429939,0.59344035,0.114300415,0.85967195,0.6571619,-0.09097693,0.07675946
0.49241748,0.12444213,0.46499127,0.65300643,0.76287687,0.8446235,0.38475174,0.6027544,0.49615902,0.43432108,-0.09353921,0.22828767
0.00055956934,-0.1155751,0.6480745,0.34824073,0.63635975,0.85491645,0.53181726,0.26507723,0.71974033,0.5443616,-0.11103449,0.071171016
0.0452619,-0.101648636,0.6469841,0.50103086,0.69697773,1.042988,0.5930822,0.11013855,0.86341465,0.65549767,-0.085391164,0.07968479
0.4243347,0.08361401,0.50072527,0.62120944,0.7546851,0.81964654,0.3818962,0.5952574,0.48528612,0.42298543,-0.11715533,0.25725594
-0.030734789,-0.052470516,0.8171807,0.124729864,0.63947105,0.60437834,0.5553717,0.6288156,0.6130758,0.44095567,-0.13686675,0.07856242
0.49512592,0.0747244,0.52986276,0.69399524,0.830603,0.9232787,0.47409642,0.67606723,0.57253057,0.4797934,-0.14542565,0.27849442
0.1267967,-0.026208263,0.7286714,0.5119207,0.73898214,1.0019745,0.5728155,0.3722465,0.8057339,0.5280005,-0.12019931,0.13990381
0.14326172,-0.109757446,0.590135,0.5645287,0.7241941,1.0743673,0.59419787,0.22322676,0.8322313,0.62270606,-0.12523377,0.09250523
0.4175749,0.043505188,0.48242483,0.69656223,0.7820645,0.97995234,0.4824087,0.47029042,0.64025503,0.5193356,-0.13206443,0.22463447
-0.0063421666,-0.08636648,0.64643675,0.47506922,0.6593491,0.950869,0.6041211,0.19548737,0.80301845,0.5907732,-0.115507744,0.06257739
0.47875258,0.04680102,0.4951738,0.7717967,0.85207266,1.0348315,0.5205486,0.6058259,0.65191823,0.52342623,-0.15097094,0.24738556
0.16053924,-0.13964774,0.6453604,0.6327102,0.79145026,1.1886123,0.67036724,0.20551896,0.9529221,0.6890425,-0.1360916,0.15024911
0.07880138,-0.11313113,0.6207011,0.5324539,0.6994874,1.0654442,0.5980392,0.12600887,0.8788581,0.6451318,-0.0984002,0.094310954
0.052368,-0.10078925,0.6384577,0.49285144,0.6797662,1.0120796,0.57474774,0.12390888,0.8399607,0.6408176,-0.07959039,0.078873284
0.04096819,-0.103595376,0.6488283,0.49630058,0.69600064,1.0367553,0.5927632,0.11108779,0.8603552,0.6534283,-0.08751514,0.07632173
0.19741455,-0.06622789,0.48997703,0.51575184,0.64878625,0.9280395,0.47867882,0.2819903,0.6750173,0.54502875,-0.113756254,0.13566245
0.30258304,0.01598785,0.5388962,0.55509067,0.71995765,0.86023146,0.45473868,0.5205518,0.56994426,0.45615274,-0.14534554,0.22197261
0.16789283,-0.06245124,0.5608125,0.5482802,0.6761142,0.9817327,0.5315651,0.20668446,0.76051724,0.56911874,-0.08826274,0.11225164
-0.08552426,0.07800697,1.823405,-0.15699224,1.1656011,0.5899152,0.95848995,1.6541139,0.8706109,0.56345975,-0.19657731,0.23930094
1.0650579,0.36753997,0.6688867,1.1704075,1.252109,1.2337486,0.44611174,1.2923458,0.5834355,0.5579793,-0.16398033,0.54433256
0.020400483,-0.041150697,1.0838093,0.111211956,0.8091001,0.67479736,0.67525256,0.91051215,0.76330584,0.5127179,-0.15986913,0.13804005
0.57321995,0.11347734,0.4767873,0.7140311,0.8219583,0.8890506,0.3861036,0.7370329,0.49683365,0.4511903,-0.12042095,0.30104464
0.08441195,-0.0953193,0.6188055,0.5297572,0.69868404,1.0551151,0.5858305,0.12496514,0.8590464,0.64148,-0.08831579,0.08956979
0.07724342,-0.12301439,0.66093856,0.5236861,0.7056808,1.0588863,0.6057807,0.1490563,0.90038747,0.6563068,-0.09777131,0.09756853
0.105738945,-0.082166485,0.58485484,0.52080506,0.6715574,1.0043333,0.5587085,0.14275716,0.81513983,0.599892,-0.0820274,0.09393592
0.029277809,-0.113301404,0.6519326,0.39237672,0.648762,0.8998448,0.5557568,0.24355313,0.7791224,0.56731653,-0.11109608,0.06472404
0.100994,-0.093117684,0.5837072,0.51310223,0.6515681,0.98964316,0.54935455,0.1654059,0.8023715,0.5880441,-0.09426321,0.09453596
0.09118214,-0.086950235,0.6107854,0.5220477,0.69340366,1.0422187,0.589461,0.13381922,0.8484071,0.6276348,-0.0924705,0.082166776
0.27428108,-0.016008284,0.46692482,0.54946846,0.6480361,0.86395866,0.45784515,0.40729928,0.60723597,0.5042665,-0.12630624,0.1714313
1.1391073,0.3752269,0.6940547,1.2237903,1.3363049,1.2495646,0.4430471,1.3999661,0.58461183,0.53423303,-0.1627804,0.5933889
0.052100018,-0.10137701,0.6414396,0.5047715,0.6984721,1.0479246,0.59212273,0.11153029,0.8646231,0.6538829,-0.08650952,0.08247493
0.039872702,-0.09156158,0.66764337,0.31814456,0.6183153,0.78668797,0.5237072,0.34875882,0.703209,0.52400637,-0.09209811,0.072338276
-0.009682732,-0.051846106,0.82919437,0.15230116,0.66599,0.6372491,0.565617,0.6572454,0.641161,0.45476228,-0.13390216,0.10016854
0.12820521,-0.1137321,0.5881324,0.44460028,0.6684875,0.89737207,0.54838914,0.36469215,0.733425,0.5710123,-0.11259131,0.11780208
0.22316244,-0.10411784,0.56185246,0.6514969,0.7542466,1.1130499,0.6227894,0.24500729,0.85672194,0.6259852,-0.14264026,0.15026636
0.1286232,-0.06571635,0.58279145,0.5759398,0.71458167,1.0325682,0.5750734,0.1360578,0.81166327,0.60871005,-0.09101013,0.1045357
-0.06217978,-0.092892714,0.7024148,0.23870192,0.6116336,0.71684283,0.51953703,0.35944957,0.6306741,0.4679793,-0.12561941,0.063803956
0.62126046,0.1664842,0.51530945,0.78045714,0.87018454,0.90458196,0.39322305,0.7910419,0.5262222,0.44865128,-0.07562127,0.29678792
0.051748812,-0.08981808,0.62238145,0.4642564,0.6607606,0.95702505,0.56282914,0.16001783,0.79191893,0.5810496,-0.10301263,0.06471705
0.068174355,-0.113145106,0.61219335,0.4926678,0.6866004,1.022711,0.56655306,0.18114975,0.807503,0.61629915,-0.10373664,0.1098896
0.042584747,-0.115197994,0.6330705,0.48492098,0.68771446,1.0294391,0.572256,0.13568144,0.8445817,0.63467586,-0.09806361,0.08032925
0.33093137,-0.030730408,0.5300385,0.6538969,0.7611424,0.9685837,0.54601836,0.45906526,0.73519,0.51226646,-0.12842916,0.19994742
-0.012419711,-0.032017406,0.8310797,0.11452969,0.6360535,0.5609664,0.54086757,0.6561869,0.59934634,0.42910075,-0.12189051,0.08027547
0.053525947,-0.100864775,0.6344276,0.50517124,0.6967374,1.0434166,0.5920169,0.11539706,0.8569356,0.65000355,-0.08665344,0.08254224
-0.05372892,-0.03720702,1.133987,0.082562946,0.83706784,0.70061225,0.6775204,0.91442615,0.76419574,0.47910467,-0.17690367,0.14018984
0.026134763,-0.10424557,0.6635596,0.5019964,0.72444,1.067986,0.6020333,0.11259279,0.84339994,0.6456965,-0.09673198,0.1074359
0.121292,-0.11873053,0.6092876,0.5714383,0.7230178,1.0977801,0.61248296,0.15771785,0.8909179,0.6490742,-0.11263058,0.116516426
0.106783666,-0.089377634,0.5962927,0.5165784,0.67716306,1.003203,0.5480031,0.17337641,0.7981303,0.59224063,-0.09302352,0.09117596
0.6529169,0.13056563,0.48388636,0.80566967,0.89538807,1.003508,0.43772697,0.8022221,0.565812,0.49548402,-0.15291142,0.33122492
0.4768073,0.07310124,0.44477448,0.6554473,0.738872,0.8858772,0.40975243,0.5864956,0.5393907,0.48506665,-0.10874346,0.26343066
0.0014047893,-0.108044975,0.68112326,0.460909,0.7019859,1.0099102,0.5963332,0.12307808,0.8314029,0.6331374,-0.10488468,0.06531867
-0.055043567,-0.013841529,1.0851948,0.035390098,0.7776635,0.5520553,0.64940006,0.92911655,0.65655714,0.47156468,-0.15785202,0.122907
0.3991064,0.05675224,0.47833472,0.67959166,0.77350193,0.9848537,0.47439694,0.44964433,0.62110263,0.51370376,-0.12011824,0.19875069
0.34826523,-0.08654667,0.5423428,0.7684218,0.87994117,1.216247,0.6589387,0.4425388,0.83649343,0.6471608,-0.1665903,0.30867553
0.49054214,0.10937903,0.5230768,0.6561203,0.7834671,0.82745874,0.37408867,0.6580074,0.49768874,0.42365494,-0.11115012,0.28203386
0.0038871067,0.023126334,1.1517534,0.031807642,0.804138,0.52093333,0.6559316,0.9921988,0.6448244,0.4675638,-0.116569124,0.1459741
0.12562089,-0.13186467,0.60198075,0.59164965,0.7242786,1.1053753,0.5986109,0.15481585,0.8835687,0.65871817,-0.09750229,0.115051284
-0.020358142,-0.04800602,0.8759573,0.0987959,0.663153,0.56190234,0.5754363,0.6952175,0.6286044,0.46295032,-0.1361287,0.076161265
-0.025975991,-0.06444077,0.86314815,0.15485784,0.70689297,0.69595706,0.6194105,0.6742791,0.6816339,0.4837862,-0.16569588,0.10369143
0.8345824,0.26736298,0.5635419,0.9591414,1.0502752,1.0809917,0.41222674,1.0103933,0.53610164,0.49784234,-0.14248864,0.43670627
0.15248106,-0.059768293,0.6902493,0.5476573,0.7580746,0.99715465,0.57943875,0.4310845,0.8195223,0.57745504,-0.1421698,0.15733728
0.6361482,0.16751271,0.493379,0.76984763,0.8716002,0.9338853,0.37243587,0.7997506,0.4860004,0.4803863,-0.12830932,0.35587808
0.18098259,-0.07745153,0.57861006,0.5810871,0.7318044,1.0476743,0.5640933,0.24669905,0.77985996,0.58164614,-0.12166333,0.15723446
0.07242967,-0.09151279,0.6303678,0.49668384,0.6817776,1.0258584,0.5745142,0.118434586,0.8413579,0.6374171,-0.07442065,0.08484345
0.29195786,-0.0022576232,0.499608,0.5802011,0.6968636,0.91097957,0.47621065,0.34188098,0.63688785,0.496921,-0.09732071,0.14243513
0.030640524,-0.12391098,0.64047027,0.4346063,0.6750088,0.9772519,0.5604953,0.19835365,0.81051356,0.6053126,-0.10632875,0.07332286
0.07688877,-0.086305775,0.6173619,0.54262424,0.6970686,1.0391972,0.6006973,0.1167794,0.8681736,0.63233453,-0.08309677,0.07865815
0.061851174,-0.07785823,0.6691784,0.26408243,0.60023105,0.6855932,0.4871896,0.41406006,0.6567448,0.5108983,-0.062718004,0.10685302
0.27296114,-0.041165937,0.48235008,0.55144435,0.6770955,0.8751659,0.46519727,0.41058052,0.6114919,0.502949,-0.1302383,0.17773904
0.49013868,0.086610116,0.47654176,0.6938787,0.76975113,0.9049472,0.43138355,0.6119495,0.57529104,0.49262023,-0.11826805,0.27387685
0.23686545,-0.08124904,0.5424604,0.6015546,0.73146266,1.0212872,0.5499269,0.2805975,0.77455544,0.5758276,-0.114451915,0.16616106
0.07893924,-0.09031646,0.6156082,0.50893307,0.6802673,1.0300931,0.5791931,0.1282266,0.84209394,0.6242093,-0.08894446,0.08346989
-0.06879273,-0.07403618,1.0312531,0.18215355,0.82054687,0.83736116,0.7036578,0.7331364,0.83561695,0.53163743,-0.1802853,0.12002985
-0.041980676,-0.012242498,1.0551429,0.06355839,0.76645356,0.6063609,0.6585882,0.90424156,0.675645,0.4574075,-0.1768575,0.10714018
0.037536193,-0.103882074,0.648592,0.3268847,0.6222012,0.8033578,0.52930474,0.34336758,0.7200418,0.518893,-0.10650926,0.07834287
0.03840461,-0.11597199,0.6751797,0.5064411,0.7129272,1.0726192,0.6100892,0.1500434,0.91882974,0.66374916,-0.096391775,0.08571302
0.26967946,-0.016265582,0.5116838,0.5747503,0.69640625,0.93423086,0.49275732,0.32064557,0.66193134,0.5143642,-0.09650413,0.13471445
0.019980911,-0.07621776,0.66095954,0.26768237,0.64420545,0.7419173,0.5206822,0.42590797,0.60622585,0.45265594,-0.13353032,0.09802629
0.1853763,-0.0323385,0.58563465,0.6347332,0.7440759,1.066122,0.6049206,0.19748718,0.84655726,0.6020109,-0.09343081,0.109526694
0.21277058,0.03379672,0.79821867,0.57781005,0.8834214,0.9924861,0.56570095,0.6321243,0.7561572,0.48977628,-0.16335663,0.23241112
0.22303358,-0.14391458,0.6832626,0.71066886,0.88136333,1.2923127,0.71752596,0.26805562,0.9729051,0.7243928,-0.15540949,0.19521362
0.17008756,-0.050239313,0.5791957,0.54971534,0.6723533,0.9762855,0.53012174,0.19733241,0.76147294,0.55747175,-0.07524888,0.10692635
0.042653874,-0.09755913,0.6176368,0.49222285,0.68578213,1.0339559,0.5853157,0.10763762,0.82897556,0.63894874,-0.08960087,0.09468773
0.039916016,-0.09675644,0.6999894,0.47186917,0.7079988,0.9672301,0.6138113,0.1917122,0.8479558,0.6179046,-0.114096336,0.10714558
0.10718748,-0.08128932,0.59384346,0.51477367,0.67462844,1.0059028,0.55732894,0.16254497,0.800564,0.5988756,-0.09221593,0.093124524
