rely,data,cplx,turn,vexp,tool,MI_aexp_data,actual
0.3729316,-0.19862401,0.11426596,0.41434854,0.35398,0.14605482,-0.2422908,0.041558925
0.63569546,-0.22711411,0.03881731,0.56095886,0.67799294,0.13610011,-0.3727905,0.12839717
0.4305154,-0.21477205,0.19954905,0.370651,0.41398728,0.17303269,-0.28913376,0.0799707
0.4307501,-0.26979238,0.16815443,0.34906268,0.1779342,0.17179787,-0.28262386,0.042754617
0.30459824,-0.13303837,0.17245007,0.34252572,0.30220032,0.21025437,-0.2029358,0.03875265
0.36768305,-0.27555615,0.12019922,0.35989332,0.34354478,0.16737056,-0.29915375,0.052839894
0.4424686,-0.25408083,0.035763696,0.4736868,0.5161129,0.15856248,-0.32403144,0.06212971
0.19214912,-0.18126628,0.06280625,0.26804665,0.22530517,0.22057866,-0.16478385,0.0414653
0.44589743,-0.24817887,0.21514815,0.3735354,0.23633501,0.17740265,-0.27008852,0.037976477
0.29702154,-0.18053713,0.107919216,0.36284047,0.33021462,0.17679837,-0.23748524,0.044897508
0.14653683,0.10132121,-0.22828902,0.34905803,0.18779792,0.17081603,-0.13704123,0.1302464
0.09036323,0.16642773,-0.35096246,0.36785102,0.19748363,0.16817135,-0.10545106,0.1517131
0.16542035,-0.12859096,-0.013523683,0.29559767,0.16143148,0.19733906,-0.16508861,0.07077931
0.46464247,-0.14737606,0.11937219,0.45367897,0.5277642,0.14755428,-0.26643592,0.07860358
0.30865446,-0.25361282,0.12637815,0.3320629,0.24343607,0.19639167,-0.24487685,0.04238223
0.3942501,-0.16007188,0.096364796,0.45285594,0.3966769,0.12987292,-0.2567532,0.05667342
0.38683707,-0.22018015,0.18813285,0.3696761,0.24275312,0.19559306,-0.2542272,0.040539954
0.25868416,-0.13653083,0.058357738,0.31262273,0.22332892,0.18234482,-0.21006465,0.053698745
0.27567726,-0.18532112,0.20803022,0.2908563,0.25276104,0.23033173,-0.19368124,0.044450033
-0.05986768,0.043507744,-0.6011965,0.34683692,0.11265329,0.24103767,-0.15762083,0.22970155
0.19920366,-0.07596062,-0.0037639737,0.3111631,0.23567596,0.18929559,-0.16186368,0.08052234
0.29595447,-0.30298603,0.04832299,0.37626863,0.32775027,0.1431613,-0.3127594,0.04772417
0.30289963,-0.10522033,0.23148525,0.32418698,0.272806,0.23772746,-0.17281523,0.033351723
0.4383837,-0.24648577,0.1580976,0.4011786,0.39171362,0.1655995,-0.28766236,0.0677156
0.1738652,-0.16917288,-0.028838083,0.2904142,0.15005472,0.18995477,-0.1962259,0.06675857
0.32665777,-0.22112352,0.22321498,0.3104651,0.23241675,0.21249563,-0.2323285,0.045064997
-0.19725868,0.7980811,-1.3141677,0.62796724,0.16080005,0.23081581,-0.020218726,0.48775226
0.37434912,-0.27517623,0.121755674,0.34865272,0.37625474,0.12495838,-0.31784862,0.060301203
0.294643,-0.18375874,0.16800503,0.30226335,0.27441567,0.2203018,-0.18857543,0.04293431
0.28971338,-0.18377379,0.07026588,0.31728438,0.25183946,0.19054757,-0.21534841,0.043466423
0.08058937,-0.22298393,-0.09639692,0.27145174,0.1705491,0.22436666,-0.20735863,0.085043
0.17530896,0.056286663,-0.088471696,0.35812074,0.23607789,0.16267304,-0.13015895,0.09986691
0.39136177,-0.25133237,0.20598288,0.34171334,0.2653503,0.19843322,-0.27149123,0.04608823
0.289318,-0.24157956,0.061912462,0.35429263,0.018726833,0.18906358,-0.27153334,0.08357324
0.33655512,-0.11393909,0.19040976,0.36372632,0.38251612,0.23253213,-0.18935803,0.03598417
0.28936842,-0.18578464,0.17857337,0.29567188,0.21980458,0.21357387,-0.20096849,0.056359228
0.35822392,-0.20672375,0.226217,0.33519602,0.24658704,0.22984004,-0.22804448,0.03810801
0.38133022,-0.16919062,0.13667497,0.40019965,0.44658512,0.18172683,-0.24592616,0.04689328
0.31942767,-0.24648985,0.094019085,0.36175275,0.30166483,0.1582536,-0.28316107,0.06116992
0.29237807,-0.22607544,0.18645637,0.31972635,0.27976206,0.20173575,-0.23536453,0.034893926
0.20257212,-0.20692009,0.06913696,0.2877254,0.19791238,0.21470276,-0.1662094,0.041245107
0.13509732,-0.30445907,-0.034935355,0.30622685,0.22286254,0.19385667,-0.27047172,0.07107851
0.42454076,-0.22915632,0.17291765,0.33408827,0.16354616,0.15782931,-0.27424768,0.0437742
