size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,dba_Sequential,ifc_GUI,ifc_TextUI,source_Inhouse,source_Outsrced,telonuse_No,telonuse_Yes,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_18,Generated_Var_19,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,33.023773,-5.391523,-24.471659,7.434598,51.27648,55.58578,61.4389,62.30448,72.04179,48.489857,14.896432,-51.97318,14.961677,43.24629,3.7184355,-30.077261,1.5803405,11.960235,-34.94409,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,200.46631,-10.15033,-122.641556,40.534893,314.15704,314.8501,357.8439,356.591,413.16245,271.6429,65.38104,-299.14215,88.35694,226.33273,2.0435164,-192.07187,-1.8184958,108.59382,-212.73424,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,21.572542,-1.289412,-13.03847,3.7859943,32.689957,33.359173,37.787567,37.50884,43.325184,28.324308,7.540504,-31.891375,9.264038,23.843412,-0.21497715,-20.005943,-0.3052565,10.88829,-22.531622,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,59.750603,-2.9372787,-36.051186,11.281939,91.95194,92.80514,105.45879,104.97214,121.47248,79.55035,20.008463,-88.73313,25.984486,66.79372,0.030988902,-56.57092,-0.7939868,31.608593,-62.8718,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,536.83325,-26.610575,-332.55856,114.89727,856.3039,852.16644,968.8604,966.37146,1122.1436,740.27313,169.19736,-804.24335,240.45724,611.59033,11.290303,-520.5011,-3.873313,296.96237,-575.29736,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,107.74399,-5.3744597,-65.556274,21.257757,167.77756,168.53212,191.55646,190.76517,220.95331,145.04039,35.470177,-160.4667,47.23795,121.16947,0.7107514,-102.78177,-1.1621609,57.891228,-113.964134,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,72.4323,-3.735839,-43.81782,13.531822,111.31601,112.6474,127.82688,127.25518,147.07053,96.32783,24.555819,-107.65849,31.47943,80.891266,-0.2529232,-68.45258,-0.85184,38.26094,-76.11862,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,182.9671,-8.227889,-113.88731,39.606285,293.8963,291.5733,331.98953,331.24365,384.93402,254.13666,56.71993,-274.12158,82.841034,208.98729,4.570175,-178.23386,-1.7092333,101.97481,-196.99043,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,229.34007,-10.857309,-142.2269,49.240555,366.72064,364.51767,414.7562,413.6452,480.4515,317.02765,71.796135,-343.3907,103.10756,261.37433,5.146167,-222.66878,-1.9579802,127.24047,-246.18175,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,304.50043,-15.553855,-185.60226,60.16029,474.4751,476.99173,541.78235,539.9592,624.49,409.89853,100.964516,-454.04422,133.47478,342.71942,1.3606648,-290.71893,-2.8295393,164.15077,-322.01965,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,108.21391,-5.140252,-66.78086,22.998592,172.24908,171.47952,195.13336,194.40454,225.73822,148.88425,34.020683,-161.61037,48.322674,122.876236,2.2602816,-104.63069,-1.0434008,59.74523,-115.899635,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,107.20362,-6.6236997,-65.20229,19.271734,163.63988,166.86752,188.82797,187.7577,216.61472,142.03008,38.06144,-159.58426,46.737514,119.297264,-1.5400563,-100.21171,-0.900177,55.52105,-111.982956,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,22.849379,-1.1127067,-13.626899,4.0180645,34.68629,35.293503,40.065655,39.730495,45.9198,30.00313,7.7751274,-33.666904,9.815351,25.159704,-0.22488019,-21.315912,-0.45786846,11.872393,-23.895554,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,14.6277485,-0.5407142,-8.556624,2.4774337,22.03591,22.368458,25.491596,25.19473,29.176668,18.976542,4.878609,-21.286068,6.1900697,15.887966,-0.11870783,-13.508771,-0.46296668,7.522336,-15.277331,583
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,65.421165,-3.0832667,-39.48472,12.484417,101.08956,101.89862,115.84767,115.241035,133.24033,87.2935,21.79358,-97.02653,28.461145,73.064156,0.031901702,-62.037136,-0.9136801,34.9821,-68.94503,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,103.30019,-5.182954,-62.831432,20.364687,160.77806,161.53381,183.59473,182.84097,211.7974,139.03369,34.03373,-153.85661,45.280956,116.17379,0.6920239,-98.50744,-1.1170568,55.43992,-109.24531,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,38.87092,-1.9782522,-23.317432,6.820006,59.005062,60.148617,68.18105,67.663284,78.19512,51.168446,13.4535885,-57.47935,16.761547,42.917362,-0.4972891,-36.28357,-0.60749483,20.241856,-40.5904,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,658.7542,-33.66153,-405.05984,136.69331,1039.7059,1039.1152,1181.1769,1177.4167,1365.0021,898.84564,212.32513,-984.6734,291.8809,746.50757,9.363739,-634.07104,-5.070529,360.16336,-701.4622,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,946.88965,-48.3893,-583.0968,198.15941,1497.8917,1495.5303,1700.2301,1694.8296,1965.5281,1294.9879,303.77246,-1415.8896,420.25464,1074.2277,15.00459,-912.65155,-7.0176497,519.06476,-1009.46204,37286
434,40,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,376.4277,-16.941124,-234.98167,81.91848,606.1258,600.9409,684.05475,683.0278,793.8034,524.24,116.34673,-564.9238,171.14162,430.9018,9.649482,-367.65665,-3.2362776,210.47517,-405.8428,15052
292,29,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,275.81232,-12.308828,-172.19952,60.06648,444.28412,440.3455,501.33908,500.55508,581.88605,384.3091,85.10012,-413.87866,125.482925,315.77002,7.240691,-269.42538,-2.4506216,154.1855,-297.4611,11039
2954,14,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,478.11115,-27.813581,-290.83725,88.06598,733.49164,744.85175,843.6709,839.9747,970.31964,636.40137,166.50719,-713.07526,209.35345,534.3934,-4.5832734,-450.32523,-3.930335,250.86145,-500.95898,18500
304,14,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,234.7311,-10.7652645,-146.11087,50.78548,376.86362,373.95435,425.59387,424.73126,493.7431,325.9563,72.80585,-351.99017,106.281136,268.25772,5.842354,-228.73029,-2.0455484,130.71227,-252.64726,9369
353,28,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,181.3275,-8.907747,-111.836876,38.4968,288.21234,287.13428,326.66437,325.42535,377.6259,249.00317,57.46947,-270.8124,80.66989,205.80086,3.5303094,-175.06929,-1.5418386,99.94953,-193.89502,7184
567,16,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,264.2117,-13.179472,-162.93967,55.927094,419.42603,418.062,475.44037,473.78635,549.8959,362.5757,83.87211,-394.935,117.564,299.99802,4.9884048,-255.1116,-2.091323,145.42458,-282.34143,10447
467,13,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,130.20566,-6.605722,-79.35509,25.839392,203.01245,203.90045,231.69392,230.84035,267.3182,175.55373,42.844982,-194.097,57.166393,146.62267,0.92821157,-124.34601,-1.3053589,70.076225,-137.82607,5100
3368,45,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1609.8922,-80.80183,-996.6384,344.0108,2565.3564,2554.203,2903.5183,2895.8748,3361.6973,2217.4326,509.11627,-2411.5435,719.7601,1833.2041,32.55996,-1559.6661,-11.010997,889.8752,-1723.8661,63694
253,4,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,42.382244,-2.3843384,-25.57324,7.5276217,64.43845,65.65473,74.40593,73.90563,85.455055,55.98927,14.768355,-62.86448,18.422283,47.01069,-0.4675345,-39.577866,-0.55446076,21.879715,-44.284603,1651
196,10,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,37.099922,-1.940616,-22.35098,6.660954,56.54069,57.545727,65.23586,64.83777,74.85384,49.012516,12.751081,-54.94216,16.048136,41.13101,-0.3551349,-34.76409,-0.5329354,19.372211,-38.862446,1450
185,12,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,44.52569,-2.0772727,-26.750788,8.239659,68.263626,69.03781,78.473434,78.01799,90.17225,59.001793,14.982144,-65.88736,19.275894,49.515568,-0.13982603,-41.988617,-0.6991544,23.526665,-46.776466,1745
387,6,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,46.647583,-3.4212093,-28.84583,8.549486,71.16499,72.71341,82.32241,81.958176,94.281555,61.907578,17.035912,-69.52184,20.361717,52.30973,-0.5574701,-43.414627,0.09971307,23.31337,-48.62345,1798
430,28,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,75.87997,-4.05563,-45.851326,13.66826,115.90296,118.0014,133.66144,132.9054,153.2786,100.39514,26.353483,-112.59931,32.87637,84.21529,-0.960332,-71.19688,-0.90347147,39.916153,-79.42918,2957
204,6,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,24.907707,-1.8587245,-15.312166,4.509288,37.82177,38.6492,43.824684,43.51055,50.018116,32.82866,9.035126,-36.901554,10.696155,27.767794,-0.3005882,-22.97236,0.036532626,12.1572,-25.920761,963
71,6,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,31.078287,-1.4064928,-18.76062,6.134687,48.40188,48.519737,55.282646,54.871357,63.700672,41.82456,10.008762,-45.98665,13.5836115,34.754097,0.35714364,-29.540146,-0.532773,16.669413,-32.916428,1233
840,6,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,85.479294,-6.9928994,-54.00729,16.360603,130.61522,133.42178,151.96037,151.49011,173.68227,114.61145,32.437977,-127.7608,37.84067,97.7471,-0.52815425,-79.414215,1.9752688,40.987507,-88.71161,3240
1648,11,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,258.28232,-15.214035,-157.04315,47.11448,395.41483,402.0647,455.3312,453.13022,523.4039,343.29492,90.47894,-384.96774,113.072075,288.26926,-2.873979,-242.6657,-2.194337,134.91234,-270.32806,10000
1035,8,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,175.3256,-9.986449,-106.499214,32.27777,268.81335,272.87274,309.18753,307.7874,355.70346,233.2457,60.763515,-261.27017,76.671234,195.87428,-1.4602618,-165.12321,-1.6020575,91.90103,-183.75946,6800
548,22,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,98.92737,-5.4418263,-59.954384,18.205025,151.68552,154.00049,174.49677,173.66653,200.53683,131.40508,34.10761,-147.17958,43.020615,110.310425,-0.825969,-93.1817,-1.0237656,52.070763,-103.73109,3850
2054,31,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,361.00357,-20.256407,-219.48973,67.201324,554.99286,562.71,637.5908,635.07666,733.5478,480.94736,124.47159,-538.297,157.73904,403.85522,-2.64718,-340.96973,-3.0976667,190.5125,-378.85217,14000
302,26,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,146.1924,-7.144858,-89.92217,30.767323,231.70285,231.10056,262.96472,261.85672,303.68396,200.16357,46.522434,-218.04921,64.838615,165.5655,2.5576575,-140.84584,-1.3516779,80.4313,-156.07289,5787
1172,22,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,249.60028,-13.0580845,-151.51225,47.70514,385.62436,389.20404,441.64185,440.23016,508.94962,333.5455,84.09217,-372.18826,108.9791,280.0979,-0.23981714,-237.21008,-2.4002504,133.00674,-262.8166,9700
253,7,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,28.522854,-2.2733886,-17.590002,5.24238,43.334484,44.309174,50.30875,49.90105,57.285076,37.710766,10.486201,-42.30106,12.279122,31.926954,-0.37344822,-26.27893,0.22973238,13.807887,-29.606684,1100
227,14,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,140.31117,-6.6496005,-86.76178,29.951078,223.73375,222.54808,253.25558,252.40651,293.23096,193.44223,44.02171,-209.77875,62.835476,159.5917,3.0907297,-135.88008,-1.2843056,77.54397,-150.40712,5578
59,6,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,26.684439,-1.1923839,-16.077,5.2259927,41.429,41.55835,47.367805,47.00032,54.6025,35.849453,8.596449,-39.433083,11.647016,29.806715,0.33094653,-25.300346,-0.48614216,14.209792,-28.246508,1060
299,6,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,133.54771,-6.6140223,-82.10239,27.950783,211.24248,210.79143,239.80649,238.85971,277.21146,182.6833,42.532097,-199.3426,59.26556,151.31175,2.3393722,-128.61378,-1.2188959,73.15037,-142.46687,5279
422,15,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,205.06493,-10.2293005,-126.47257,43.508366,325.806,324.63577,369.16812,367.85278,427.04922,281.587,64.96938,-306.54483,91.27624,232.87976,4.0070066,-198.0741,-1.6516619,112.940575,-219.24382,8117
1058,9,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,224.14638,-11.702432,-136.03244,42.717007,346.03732,349.28848,396.35303,395.04718,456.918,299.44763,75.50975,-334.23013,97.88759,251.49779,-0.19138318,-212.9302,-2.1785307,119.22895,-235.94662,8710
65,9,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,20.055517,-0.79173785,-11.841962,3.54414,30.419743,30.773855,35.076996,34.731518,40.284317,26.279608,6.6666813,-29.39925,8.588242,22.03955,-0.049951978,-18.710321,-0.50704765,10.404228,-20.989264,796
390,26,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,276.46124,-12.843304,-171.90721,59.68208,443.21536,440.1051,500.8484,499.74594,580.64655,383.29288,86.11582,-414.32123,124.83775,315.6517,6.6049247,-269.0214,-2.3436403,153.77481,-297.27295,11023
193,13,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,44.93201,-2.1863532,-27.017534,8.357013,68.91836,69.69309,79.19819,78.74665,91.067276,59.608856,15.144273,-66.55781,19.455296,50.03025,-0.08531725,-42.363544,-0.6711786,23.678875,-47.201286,1755
1526,28,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,156.45636,-12.455173,-98.64708,29.749329,239.21335,244.57628,278.20514,277.434,317.82828,209.61295,59.359592,-233.83421,69.1944,178.42952,-1.435869,-145.52724,3.2725115,76.07372,-162.47481,5931
575,13,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,114.54008,-6.090921,-69.43107,21.475464,176.23969,178.36723,202.26083,201.46234,232.88838,152.61105,38.891563,-170.60472,49.909733,128.13837,-0.44577983,-108.41498,-1.1862144,60.64572,-120.37802,4456
