Transactions,Entities,PointsAdjust,Effort
0.14816234,0.38401866,0.2831037,0.17395438
0.3037216,0.14515778,0.32478258,0.23110843
0.108214736,0.1402558,0.15188795,0.06593841
0.13846038,0.21449625,0.20225942,0.073529005
0.13191052,0.36486843,0.27102214,0.1904863
0.068718605,0.0391117,0.082137264,0.06698592
0.2955983,0.8336093,0.58321977,0.5682361
0.40505284,0.36616623,0.45157874,0.5945338
0.15986343,0.34687522,0.28772783,0.18714204
0.07124293,0.14165679,0.13002303,0.046439257
0.14879389,0.20519456,0.20857267,0.09962635
0.1635187,0.20754424,0.20217691,0.10188934
0.119439304,0.26713952,0.20555374,0.07719539
0.14058505,0.20931652,0.20703298,0.08517401
0.13742946,0.29857963,0.22166185,0.18816392
0.16452691,0.32200342,0.25166547,0.27255058
0.16047232,0.3389292,0.26218238,0.25344825
0.29295093,0.2135586,0.32289723,0.16207613
0.130506,0.30541927,0.23917829,0.15570317
0.38606712,-0.06215018,0.31665832,0.19938819
0.17650892,0.30331862,0.2844621,0.13572887
0.15950422,0.3862354,0.28854644,0.23927337
0.07119276,0.28405604,0.18972124,0.033217665
0.008370977,0.4388261,0.1978051,-0.04704717
0.10488834,0.34210154,0.22043346,0.08597925
0.1541341,0.21721861,0.21221562,-0.025239311
0.16611071,0.3486261,0.25727883,0.014259897
0.31644896,0.29448256,0.39359367,0.17432687
0.079514176,0.1236058,0.1254899,0.07889965
0.06973804,0.3356949,0.20773236,0.025147106
0.17106533,0.2000787,0.24501756,0.114703745
0.1641243,0.24279492,0.26245904,0.12508835
0.02470825,0.013564758,0.05915048,0.061408695
0.13029309,0.36817682,0.24642098,0.21369028
0.12415074,0.025913656,0.15130869,0.07844071
0.3209953,0.542265,0.4783579,0.593074
0.1699257,0.3537962,0.26459518,0.26690757
0.1296686,0.2578679,0.2152311,0.08823407
0.025827685,-0.00243254,0.054421034,0.0042183027
0.023991583,-0.067858174,0.033112414,0.015181348
0.11472641,0.2401747,0.1909239,0.07047157
0.32536831,0.33701685,0.39489362,0.09203945
0.1418903,0.38161698,0.254087,0.27668136
0.06628846,0.47437137,0.24905394,0.036552344
0.38456535,0.31623745,0.42580128,0.58064723
0.20607683,0.11981039,0.22834367,0.08722964
0.30711997,0.5040206,0.44896552,0.261148
0.117955,0.4362218,0.27501997,0.2070325
0.15658951,0.24677089,0.22506411,0.24170884
0.2078581,0.6881157,0.41840497,0.3711335
0.10789156,0.35611317,0.21732819,0.18193065
0.15969269,0.33136794,0.27586398,0.25660586
0.20846072,0.40564367,0.32922637,0.35442957
0.22473097,0.35426864,0.3335898,0.35206464
0.142567,0.23860873,0.23066887,0.074494526
0.2683127,0.5342196,0.42278808,0.41069284
0.13926163,0.33109134,0.25708523,0.19519526
0.13639295,0.3161332,0.22993757,0.16793928
0.255418,0.8660642,0.5650109,0.4674519
0.12371041,0.11618453,0.1555823,0.07890023
0.16226928,0.35667068,0.2798878,0.31374127
0.14064594,0.31800807,0.23831894,0.13857557
0.2128629,0.4512346,0.34636194,0.24773848
0.21520619,0.16226174,0.27077863,0.0062331557
0.24154395,0.23473626,0.31851244,0.021537397
0.23616335,0.4940143,0.37028232,0.38137123
0.19403379,0.29046655,0.29497188,0.13664016
0.29829407,0.4161182,0.38937145,0.49999854
0.105145745,0.30172688,0.216546,-0.004869759
0.14151527,0.26525038,0.20906694,0.09681626
0.21306969,0.30129123,0.28349227,0.35756153
0.4197801,0.3732294,0.49830177,0.5688296
