size_D,t04,t07,Generated_Var_3,Generated_Var_5,Generated_Var_6,Generated_Var_9,Generated_Var_10,Generated_Var_13,Generated_Var_14,effort_D
-0.26692563,0.32567915,0.16929863,0.27604902,0.048482332,0.3214437,0.8412997,0.7563457,0.30017313,0.9924581,-0.27231863
-0.13223018,0.28454733,0.232557,0.26644182,0.1514898,0.2179245,0.4876615,0.4389853,0.29531932,0.51852244,-0.059991077
-0.11952792,0.2935968,0.2035793,0.27870423,0.13633657,0.25155303,0.44929442,0.40547574,0.29396313,0.49034485,-0.06792484
-0.14159417,0.51808846,0.26501566,0.40734848,0.35235435,0.31674486,0.3947164,0.36131215,0.4851566,0.47797725,-0.06408356
0.06805168,0.6193669,0.32916555,0.57310736,0.582559,0.54920614,0.123436555,0.053948097,0.6274569,0.19127738,0.098602265
-0.02321851,0.39146104,0.29754567,0.43096262,0.32899082,0.34858096,0.26017162,0.20024902,0.4516201,0.25974444,0.0057596266
-0.12665455,0.4198168,0.24959363,0.33508348,0.25101417,0.26762062,0.43863946,0.42460936,0.3640327,0.46969157,-0.072135314
-0.0011388869,0.48726946,0.31442422,0.4522559,0.4099646,0.37530583,0.22191682,0.1990108,0.5036555,0.22779503,0.014788393
-0.11285566,0.41938823,0.25547683,0.3760644,0.2743912,0.27040112,0.4195506,0.38442147,0.38252786,0.4356846,-0.029265799
-0.13595404,0.4468073,0.2985824,0.37389338,0.30871958,0.31088895,0.44998994,0.43104935,0.4335016,0.50592214,-0.061094884
-0.0676734,0.5522971,0.3365768,0.4724269,0.44426227,0.40441778,0.30800694,0.29647642,0.5482097,0.3611132,0.013100389
-0.22755997,0.71495575,0.19354875,0.49176186,0.38608855,0.3531395,0.6115609,0.59062403,0.5380889,0.75374985,-0.19719921
-0.09247839,0.45389262,0.33291194,0.4325485,0.37524408,0.28061548,0.41862175,0.3918872,0.43393996,0.40389848,0.008980844
-0.105882436,0.47341046,0.3002064,0.41220367,0.3636801,0.27581352,0.39048544,0.356686,0.43667057,0.37922713,-0.010037374
1.1099924,2.0654972,0.98946834,2.2747636,2.6418548,2.8529801,-0.4434523,-0.859114,2.4907098,0.18974023,0.6886743
-0.11879258,0.06416309,0.14006288,0.13805135,-0.09784777,0.257918,0.5400147,0.4466781,0.15247974,0.63535905,-0.12705538
-0.14826934,0.31287736,0.19962966,0.25007975,0.1300874,0.22063339,0.46659222,0.4257583,0.31132254,0.5173503,-0.09160955
-0.049409896,0.4443859,0.27927756,0.43231815,0.32113394,0.32730347,0.27070728,0.2214328,0.4536377,0.27033022,0.002408594
0.11214431,0.5974044,0.44161752,0.6777625,0.6234077,0.61933523,0.16105033,0.13043159,0.70565176,0.20837682,0.03043307
-0.16081968,0.20592228,0.17413524,0.18679923,0.02567983,0.21455374,0.5294863,0.4645058,0.22484657,0.5929368,-0.12383734
-0.1339243,0.050830994,0.15141836,0.1237738,-0.13071388,0.26195258,0.6218304,0.53668576,0.13527782,0.739906,-0.15591528
-0.22069971,0.61176634,0.34551215,0.39912757,0.39454502,0.3876479,0.53208995,0.48437268,0.55842185,0.6525103,-0.22764573
-0.0019525071,0.57381594,0.3213423,0.51639193,0.47284278,0.45080808,0.2233557,0.18230635,0.58139694,0.27361253,0.041747104
-0.11266802,0.482925,0.30748552,0.4149785,0.3651835,0.28394964,0.4046291,0.37125415,0.44897372,0.40997818,0.0058435053
-0.103854686,0.19413078,0.1849463,0.20551844,0.03577153,0.24533895,0.49566317,0.44149828,0.19837825,0.5353633,-0.112707056
-0.13455908,0.5301584,0.28562087,0.39210936,0.368401,0.3179418,0.352562,0.32713038,0.47062784,0.37678355,-0.038241077
-0.15003796,0.2468426,0.18255123,0.21915364,0.05812916,0.2247912,0.5154189,0.45834702,0.24797508,0.56588864,-0.11879878
0.10398787,0.6248348,0.4096698,0.64912325,0.6124161,0.6576789,0.11905846,0.069712475,0.7289622,0.2020069,0.055752773
0.18444741,0.8368661,0.32536146,0.8673142,0.8476467,0.88990736,-0.03202683,-0.16616733,0.9012534,0.13385607,0.14541554
0.19162731,0.69644356,0.5450585,0.83509016,0.7743643,0.85264504,0.087829545,0.02461201,0.916358,0.21209183,0.06755252
0.26812664,0.69204503,0.725605,1.0696094,0.9951512,1.216297,0.17831567,0.055390675,1.1991047,0.36979872,0.05143966
-0.14730857,0.33056957,0.21532524,0.28724203,0.15359488,0.2453239,0.49837852,0.46842498,0.32221597,0.570056,-0.09138021
-0.09730364,0.49429673,0.26649538,0.41274077,0.35463586,0.29379344,0.33772808,0.29241973,0.44836956,0.36322373,-0.028289832
-0.09140787,0.4918286,0.32925728,0.44994813,0.41020823,0.32856756,0.3723786,0.3417551,0.47749972,0.3460223,0.0292246
-0.19998561,0.34577906,0.26268572,0.26979086,0.10228342,0.33115822,0.633542,0.58744824,0.34689328,0.7770464,-0.20703857
0.096414216,0.60279465,0.40160504,0.59580046,0.5594368,0.5902577,0.079007834,0.08618263,0.6776041,0.14646009,0.05870011
0.11044241,0.49208212,0.40922958,0.56278723,0.5310117,0.5943436,0.11355722,0.06674499,0.6408907,0.16570143,0.061577912
-0.15016864,0.5444939,0.31844977,0.4014173,0.39938167,0.33992958,0.39574796,0.34889138,0.5178678,0.46557257,-0.08168548
-0.12363544,0.37538993,0.17858854,0.30957738,0.17096058,0.2236999,0.41969976,0.3604545,0.3259657,0.4465334,-0.09617278
0.04265809,0.46407643,0.31335625,0.52181625,0.41854748,0.49245858,0.13442993,0.04835178,0.53243357,0.19966462,0.0220395
-0.055977724,0.5476555,0.2987095,0.48022518,0.40109658,0.36192772,0.3010629,0.28119642,0.49597925,0.31749618,0.0054292157
-0.18238802,0.606557,0.2734021,0.41717362,0.38188717,0.34799388,0.47091392,0.44504744,0.5221877,0.5642349,-0.13268204
-0.051590554,0.5812937,0.34094808,0.47777665,0.45574898,0.40836203,0.24398479,0.19708657,0.55477816,0.26344472,0.03389636
-0.06687028,0.47656643,0.32070163,0.4419126,0.38894463,0.31926805,0.34152165,0.321517,0.46933895,0.34494475,0.015999746
0.059383843,0.43073544,0.4479372,0.6254963,0.4566107,0.7172925,0.19671404,0.12169073,0.71040183,0.38076565,-0.056211434
-0.10332236,0.27626407,0.1955669,0.28683585,0.16103652,0.24764058,0.4211245,0.35367906,0.29725158,0.41697124,-0.038283102
0.07280065,0.6686377,0.33708903,0.5778071,0.60683304,0.60766166,0.14039706,0.10323178,0.6756399,0.25072533,0.07487512
-0.06801381,0.4993682,0.33445567,0.44604477,0.40900996,0.32690662,0.32534403,0.31527427,0.47007805,0.31024128,0.036210958
