AFP,Input,Output,Enquiry,Added,PDR_UFP,Dev.Type,N_effort,Effort
0.0059380457,-0.006131625,0.05214601,0.07441003,-0.006716893,0.33489594,-0.00047874916,0.13409081,0.1157469
0.00812776,-0.0028493144,0.023389507,0.022674043,0.0072779926,0.27803552,-0.0007683933,0.0300707,0.027072852
0.014811221,0.017687855,-0.0021793558,0.054189313,0.012634254,0.10266478,-0.0012486689,0.04707422,0.040938117
0.03370482,0.016469235,0.06810082,0.13932623,0.037626714,0.050084494,-0.0011235811,0.065684006,0.06368826
0.04498817,0.03655251,0.06170923,0.097649015,0.05008322,0.10040627,-0.0005629808,0.1414029,0.12608562
0.026330221,0.019768434,0.05543646,0.063396715,0.017006759,0.070139974,0.00011366792,0.10273695,0.08583574
0.012196947,0.007059913,0.041648015,-0.011177201,0.012056753,0.11012639,-0.00027875789,0.036755566,0.026369495
0.0076115634,0.0028738584,0.025288403,0.029467037,0.010047443,0.14363077,-0.0008591339,0.04889424,0.0472196
0.022796277,0.024685962,0.06708091,-0.02108163,0.011124312,0.14980507,-0.00159413,0.11513593,0.1144708
0.008294504,-0.0041604172,0.055569585,-0.020377927,-0.001153233,0.23989022,-0.0008197287,0.11019619,0.11137451
0.016672743,0.002089657,0.075863175,0.004593778,0.030555394,0.13062611,-0.001394608,0.04252892,0.04758222
0.023715675,0.0033487026,0.068490595,0.04046673,0.038594827,0.16225363,-0.0015469212,0.055711314,0.06099285
0.012008926,0.009763844,-0.00928628,0.048316795,0.011944426,0.029607788,-0.0012466926,0.0038027763,0.0013612867
0.008518908,0.0047785677,0.002810468,0.05752295,0.009390307,0.06638113,-0.0011093635,0.03495823,0.02224672
0.009050604,0.0017121565,0.022300918,0.023167942,0.0059577716,0.072603285,-0.00070479326,0.01593183,0.008477818
0.0133488225,0.0157102,-0.0063662003,0.014018666,0.009634519,0.104507655,-0.0014845431,0.047283582,0.03978494
0.016107287,0.014072904,0.014225167,0.028300395,0.022614941,0.06549015,-0.0012089172,0.030136183,0.026728818
0.010987374,0.013539417,-0.03648181,0.047168545,0.005235569,0.17062855,-0.0011656601,0.0668599,0.058023274
0.00471198,0.00233992,0.008517244,-0.0065455637,0.004993162,0.06050944,-0.0018144818,0.011378795,0.007102272
0.0077394787,0.0040760674,0.01420422,-0.016634084,0.0049538133,0.03984552,-0.0025760913,0.005310964,0.0022946675
0.0056464933,0.0031937584,0.01583691,-0.0039239456,0.0054151886,0.09444395,-0.0014887275,0.023832353,0.013853466
0.01710691,0.019245138,0.0042791124,0.0345458,0.0020262923,0.10830997,-0.0009403173,0.036339227,0.0386398
0.011457287,0.0028598886,0.059699286,0.055735525,-0.0025069504,0.10917324,-0.0013594674,0.08160415,0.070498936
0.0062949955,2.4605542e-06,0.007810927,0.049416434,0.0060457727,0.037141614,-0.0007155379,0.014484517,0.009971175
