turn,aexp,modp,loc,Generated_Var_5,Generated_Var_7,Generated_Var_9,actual
0.23059435,0.29411033,0.29278606,0.12452229,0.50471157,0.20313397,0.33337814,0.09838134
0.19825594,0.029711422,0.1931395,0.084900886,0.28753483,-0.15986848,0.11539306,-0.039045017
0.14542802,0.11048767,0.13145839,0.060992263,0.30752146,-0.074082814,0.11668094,-0.030294314
0.25430623,0.359884,0.40741655,0.14508975,0.55553937,0.27896667,0.4254238,0.14311719
0.67664486,0.7698815,0.9356439,0.42184675,0.8483664,0.43644574,0.6708082,0.40725994
0.7736252,0.8440721,1.0743791,0.5026269,0.87134963,0.3982571,0.7104515,0.45198926
0.14890671,0.14094552,0.18838038,0.049947433,0.3571015,0.021810332,0.19605352,-0.0028532688
0.031487525,-0.09454603,0.2252359,0.028323319,0.20582807,-0.27049485,0.010175131,-0.08765282
0.3638659,0.34407833,0.37784088,0.1827486,0.42325813,0.09863679,0.3046626,0.11860062
0.17099836,0.09104273,0.18494415,0.06300835,0.31096768,-0.021091115,0.15991834,-0.028467543
0.13771251,0.27367875,0.48506784,0.14136931,0.58227825,0.25937414,0.46713808,0.1241124
0.13317776,0.09348397,0.15140292,0.05019703,0.2896116,-0.050771765,0.13029511,-0.027452748
0.77350795,0.7518684,0.9816433,0.43528402,0.7525527,0.37790164,0.61835885,0.34544253
0.16293025,0.12688734,0.18025836,0.062553965,0.30776638,-0.040079847,0.15757987,-0.011568261
0.18355855,0.25825804,0.318154,0.1072439,0.548604,0.22494176,0.38397068,0.107853875
0.71802217,0.6601069,0.8666613,0.3582791,0.67238444,0.2911121,0.5274241,0.28021595
0.4749471,0.45093384,0.4623731,0.21732476,0.512008,0.23389472,0.36259136,0.14541142
0.08830717,-0.021368913,0.15276468,0.036590267,0.2479466,-0.18071732,0.081076436,-0.058272544
0.13855496,0.07557583,0.1331874,0.07345432,0.3570481,-0.07070237,0.16006124,-0.0032095509
0.58283985,0.4560316,0.45736173,0.3034029,0.70563495,0.09696344,0.48148134,0.13163875
0.14566876,0.21894991,0.19488849,0.08040227,0.48160785,0.095122896,0.25308958,0.050417036
1.1997395,1.138437,1.2774645,0.63526064,1.1812661,0.603819,0.92731965,0.4591077
0.654726,0.65802896,0.79812825,0.37269568,0.70081794,0.3438534,0.54632044,0.3240956
0.14869422,0.08489793,0.17088577,0.049238816,0.3097157,-0.01012059,0.15445063,-0.032071617
0.20561862,0.41020077,0.57521653,0.1744115,0.80695486,0.4069976,0.6215526,0.24084228
