size_D,duration_D,app,har,dba,t02,t05,t08,t09,t10,t15,Generated_Var_2,effort_D
0.3658048676667517,0.1166530062173866,0.2481245012902196,0.258565364653102,0.2284056929258275,0.2660742085358756,0.1111589231269434,0.1286096706715881,0.2179548468050741,0.1905026001578983,0.7458794296658958,0.6667952268348258,0.1895150390783037
0.3191329823500654,0.0496009989286914,0.1700282148660406,0.1971957564714224,0.1448528540941585,0.1454738594243199,0.0406476158993162,0.1338758966785719,0.1390170019111369,0.2326094755230138,0.6545475074726643,0.6113800926109234,0.1587782559354785
0.7223500708081788,0.2468657417824453,0.3835768247225233,0.3971128104035607,0.2343036572951849,0.2249939457708473,0.2197857285418503,0.217819410342104,0.4792383087090133,0.5234144443099562,0.8605635701847831,0.3554367847107655,0.4125798807707973
0.3647658765747982,0.1267696376319484,0.1519253679232692,0.2103446311034741,0.0691099440454825,0.1052552720952507,0.0849011537380877,0.056760096751892,0.1242695763951591,0.2220388087711307,0.5372867817554927,0.3645162439573337,0.2073191378901728
0.1561521723569697,0.1528320382722582,0.0649932586811767,0.371948440057408,0.2846562038772939,0.3411896877729777,0.2823612573055314,0.0767628269656638,0.2580616472368975,0.3682327659512064,0.3641257930047146,0.6408532625890438,0.0556450969003922
0.3360042345409091,0.1885537667734294,0.293576572337734,0.079035566806534,0.1358396443214818,0.1075587357027141,0.0541117851351522,0.1908931516950825,0.0892889200142927,0.1270623808074005,0.6653095150235433,0.585042009084862,0.2299603398954509
0.2639920183927067,0.0359741041095806,0.0993320963828757,0.1960725041077092,0.09177892862574,0.1349331423109126,0.07874478738292,0.0251505440715568,0.0367599527488203,0.1817250015923354,0.5123690413318397,0.5934284235753008,0.0393082904446522
0.269101161837799,0.0829655818137248,0.0903104917619918,0.1871671889240174,0.0687731003165541,0.0970457202820672,0.0850294049160239,0.0148386978199116,0.0406096391141622,0.1617405681759234,0.4798906579439179,0.4657002696660546,0.0914744950537836
0.3859424737226007,0.2905536730502217,0.3982297045871332,0.1054168776833205,0.2141077727931671,0.1289884577418981,0.108248480526504,0.2709163346613546,0.2102167430016619,0.2471770793000552,0.7537785517555584,0.544014983046119,0.3498994286683819
0.4454183187478753,0.0866566213545467,0.2421115469889621,0.2444680084190441,0.1302192818050644,0.1329212629823333,0.0801224240487867,0.1090003942862677,0.1590097355973653,0.3230349541155687,0.7000121884120529,0.5158900590060169,0.1602898652361947
