rely,data,turn,pcap,modp,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,actual
0.2,1.0,0.7142857142857147,0.6527777777777778,1.0,0.0967056323060573,0.1572503,0.8209467,0.16397917,0.20322548,0.1785222176389534
0.2,1.0,0.7142857142857147,0.4166666666666667,0.666666666666667,0.2534973258305604,0.4161402,0.5391144,0.37629455,0.42582503,0.1399057406903572
0.3846153846153847,1.0,0.2499999999999999,0.2222222222222222,0.2142857142857144,0.1132558666225327,0.7450005,0.20423335,0.6986282,0.7479314,0.020809015192073
0.0,1.0,0.4642857142857144,1.0,1.0,0.0505391892127314,0.3213651,0.7683329,0.46125618,0.4968551,0.0205457210310599
0.2,0.0,0.4642857142857144,0.2222222222222222,1.0,0.0122123307956307,0.65463835,0.27455428,0.60734814,0.60018164,0.0023784239211521
0.0,0.272727272727273,0.4642857142857144,1.0,1.0,0.0017595512273305,0.43724918,0.5807993,0.55474645,0.4970449,0.0032560711245293
0.0,0.272727272727273,0.0,0.4166666666666667,0.2142857142857144,0.004285639623003,0.92303765,0.08394918,0.95841557,0.9317258,0.0001843059127092
0.6153846153846153,0.0,0.4642857142857144,0.4166666666666667,0.666666666666667,0.0174387205797808,0.2399674,0.6362746,0.14832075,0.17981231,0.093829262513055
0.6153846153846153,0.0,0.4642857142857144,0.2222222222222222,0.2142857142857144,0.0244072402919809,0.5715304,0.32878694,0.4929401,0.47851843,0.0366066648528624
1.0,0.0,0.7142857142857147,0.2222222222222222,0.4285714285714286,0.0235361753279559,0.5101773,0.39656267,0.4465173,0.4262929,0.0276546633784151
1.0,0.0,0.7142857142857147,0.2222222222222222,0.4285714285714286,0.026149370220031,0.51058084,0.3960966,0.44654465,0.42662662,0.0186148971836301
0.6153846153846153,0.0,0.4642857142857144,0.2222222222222222,0.2142857142857144,0.0305046950401561,0.64456975,0.29723588,0.6245318,0.5915611,0.0171228969378889
0.6153846153846153,0.0,0.4642857142857144,0.0,0.0,0.0200519154718558,0.6894358,0.20920286,0.60207045,0.5978649,0.0064156010566872
0.6153846153846153,0.0,0.4642857142857144,0.0,0.666666666666667,0.0008884862633055,0.18279478,0.71548027,0.13219468,0.13612999,0.0047480713702705
