AFP,Input,Output,Enquiry,File,Added,PDR_AFP,PDR_UFP,NPDU_UFP,Duration,N_effort,Generated_Var_1,Generated_Var_3,Effort
0.15551133,0.29846066,0.16540034,0.08875704532542272,0.19819877,0.1957185,0.27891308,0.24708944482536668,0.1642116,0.522725131363508,0.07790504,0.4305987569401243,0.31609404,0.08899617
0.3640724,0.38005656,0.27984938,0.37685396261123777,0.35294497,0.29783428,0.31928977,0.3184201591052096,0.28843683,0.2187458431247506,0.45648822,0.5727987927201207,0.21483517,0.49473307
0.8322303,0.8935926,0.9251493,0.7770799466247968,0.3612828,0.78810847,0.15584639,0.1607511696450702,0.09567143,0.4718187283091237,0.40937322,0.4697015530298447,0.19303417,0.4528557
0.16101333,0.25047645,0.1724142,0.1852125511127531,0.23502597,0.19872425,0.2242505,0.2194203731652224,0.175891,0.3563466013807961,0.13125908,0.35706676429332357,0.28836954,0.15081787
0.17533948,0.27862924,0.15688424,0.37755870265352215,0.15736552,0.13913572,0.39675844,0.36664756199885373,0.3976736,0.4426130265567816,0.33768216,0.46757555324244465,0.19882405,0.36225915
0.051021203,0.18760028,0.10838782,0.12846155770769346,0.122973636,0.12685737,0.14379002,0.1594951395697084,0.14880818,0.1623576397414584,0.07235695,0.20806577919342206,0.4824642,0.074644774
0.39588463,0.5037948,0.38062695,0.39904142394248543,0.33241534,0.34747657,0.12452752,0.14904743894284636,0.106360376,0.20035047202102835,0.1669322,0.29693087030691295,0.3176669,0.17750159
0.092318654,0.18007149,0.14082447,0.2972076378324583,0.07097095,0.09968926,0.10045642,0.1364661581879695,0.09464447,0.17577824054669444,0.056757227,0.20003407999659198,0.32964194,0.09902507
0.18143879,0.34490657,0.10790797,0.11377059682623582,0.24517813,0.168253,0.19331948,0.17815347068920825,0.13284455,0.28348757700925464,0.0949551,0.40498639950136,0.31499732,0.13419408
0.09665336,0.20096584,0.060131308,0.3242810594568636,0.16354722,0.1557782,0.16662252,0.17958958077537485,0.17261067,0.14112478846748733,0.08987366,0.12239140776085922,0.57548296,0.098346926
0.1597459,0.27081394,0.15736923,0.19627816177668972,0.16783023,0.13492441,0.38239288,0.36430069185804154,0.35170346,0.2717012963020778,0.24868228,0.4425051357494864,0.21905637,0.27044794
0.13169155,0.2073126,0.101316765,0.2869510872170652,0.09757168,0.13279253,0.35551515,0.32985033979102035,0.29645535,0.44107800646468037,0.11223611,0.31574633842536615,0.28951204,0.15356518
