Transactions,Entities,PointsAdjust,Generated_Var_1,Generated_Var_3,Generated_Var_4,Effort
0.18616779,0.5188875,0.348559,0.4632836877970213,0.44178152,0.5079447,0.3403963
0.17552812,0.5170787,0.33497825,0.4711506682690401,0.47265193,0.5644537,0.34256467
0.17995638,0.3701924,0.28936946,0.6058234363494062,0.39518496,0.42627686,0.30044255
0.1530816,0.17589983,0.21107271,0.654141699248502,0.19550289,0.041751474,0.25579715
0.17421317,0.39129344,0.2683711,0.572232034333922,0.36462128,0.36510485,0.21186224
0.13313152,0.25328782,0.1752826,0.7031801421908085,0.30229592,0.36399037,0.21829742
0.13191104,0.4077706,0.24928077,0.5726653343599202,0.45382324,0.5725058,0.27073103
0.16751485,0.4002502,0.24333403,0.48465868907952137,0.47873244,0.42295045,0.15667668
0.1381569,0.511443,0.29942346,0.4116215946972957,0.48811093,0.5686472,0.34613755
0.32021376,0.5715271,0.44215536,0.2827227869633672,0.6022439,0.52885795,0.4097007
0.18238695,0.32181776,0.22746107,0.48869642932178575,0.4795867,0.56619215,0.24091393
0.14118616,0.053458005,0.17752238,0.5480922828855369,0.38060856,0.5153609,0.088720486
0.05436954,0.35364634,0.18035494,0.5965565357933922,0.37249142,0.3346827,0.19434288
0.19139679,0.20710799,0.25540695,0.6207611372456682,0.3111409,0.25840062,0.25090152
0.16224197,0.4985096,0.29171157,0.4673046780382807,0.46950626,0.40469772,0.2636771
0.05493538,0.28471398,0.17313652,0.6690624401437464,0.17377512,0.12725991,0.22119153
0.073293924,0.19577311,0.14059271,0.6147110368826623,0.25545436,0.1824016,0.11170531
0.122823045,0.19759464,0.18564396,0.7279705436782327,0.22462617,0.1829871,0.18208626
0.15902655,0.49860814,0.31318867,0.4463147267788836,0.4487699,0.5931403,0.41650134
0.3812418,0.24287438,0.33215976,0.7145314428718866,0.3837571,0.55579805,0.40929905
0.23122689,0.39767507,0.29930252,0.48312338898740337,0.48536664,0.44512343,0.24390906
0.1655961,0.47170433,0.28484005,0.496409149784549,0.45572427,0.5477125,0.29184476
0.4047948,0.41958004,0.4344351,0.3508368210502093,0.5036668,0.45254844,0.2159843
0.5962355,0.70167005,0.6084322,0.28676505720590345,0.6935916,0.661362,0.5080143
0.61423534,0.5953478,0.63495624,0.1841234810474089,0.6958283,0.5958081,0.41666377
0.129937,0.34367895,0.2436123,0.4680618880837133,0.40004447,0.34706938,0.1605217
0.124204144,0.21606043,0.22434212,0.4363633061817984,0.42359838,0.46349716,0.12537496
0.10519698,0.34532452,0.24620833,0.5832792349967542,0.3517137,0.37131226,0.2431806
0.1735133,0.32173502,0.25691086,0.549683482981009,0.34446064,0.35458565,0.3009703
0.8864059,0.9106915,0.8928046,0.058842126530527596,0.91108537,0.87665385,0.8106676
