AFP,Input,Enquiry,Added,PDR_AFP,PDR_UFP,NPDU_UFP,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_4,Effort
0.12467256,0.19373594,0.1395788060421194,0.10217655613059337,0.17602265,0.1893964813637889,0.16754983,0.033496983,0.813536398812184,0.5304196,0.46331024,0.029203884
0.15245597,0.19700426,0.12672184732781525,0.13294065797643947,0.058329143,0.07966530477991829,0.05061812,0.021301543,0.784740917084455,0.49923635,0.4354874,0.018400906
0.14593169,0.23933558,0.26018533398146654,0.0808074248484455,0.18345687,0.1933948316036899,0.16428421,0.057220515,0.8326915499614931,0.5283141,0.45318717,0.0522854
0.30888227,0.29798228,0.1719773828022617,0.35326262119575724,0.08124632,0.11135520668131241,0.09026608,0.061257318,0.7352264441135866,0.5100167,0.40757632,0.053719793
0.12247603,0.15989092,0.1483075451692455,0.09905124594307475,0.1579588,0.17885521073131264,0.1513375,0.01851022,0.8973749538424972,0.61055446,0.60779244,0.018342257
0.2249887,0.3114757,0.17986620201337977,0.17169011030140663,0.22283794,0.25648196538891793,0.21762608,0.12066348,0.7920933875256032,0.5693052,0.51736206,0.12924743
0.17717284,0.34139568,0.1798407720159228,0.1643838698630322,0.09405189,0.1107216566432994,0.08153278,0.006675143,0.8085249485114969,0.5713351,0.5473804,0.00809259
0.19701913,0.21414363,0.14572078542792147,0.15591300935478056,0.14557028,0.16408983984539038,0.1247082,0.053836357,0.8644593918675636,0.65484095,0.60132504,0.056495164
0.34728536,0.46278366,0.38935646106435384,0.0069408124164487455,0.030802773,0.04494833269689996,0.03843987,0.07383707,0.7748665464919928,0.47974157,0.35522157,0.054847866
0.10112323,0.1678156,0.14713048528695147,0.12806208768372526,0.21163121,0.2177696230661774,0.2009427,0.049840197,0.6763356705801402,0.44626307,0.2840262,0.040346716
0.14330676,0.1729731,0.16715390328460966,0.12151870729112244,0.14283504,0.15597782935866975,0.12006768,0.046137076,0.8538824512329471,0.55162406,0.51284045,0.047864195
0.101787254,0.1844605,0.11908158209184178,0.10385862623151758,0.28808194,0.28731556723893403,0.27580673,0.042845264,0.6806925408415525,0.4311626,0.3103469,0.0398203
0.92092985,0.8022773,0.9487059351294064,0.7423124745387485,0.084295586,0.11414968184898092,0.07254402,0.26085544,0.3614725216883513,0.15346372,0.060858637,0.274701
0.15826727,0.17961997,0.13894094610590538,0.12647817758869065,0.14854498,0.164703899882234,0.13080262,0.052177787,0.8993853539631214,0.6755364,0.644902,0.057469673
0.19857413,0.21271262,0.17174933282506671,0.1597580095854806,0.2695046,0.28635267718116064,0.2578158,0.10114409,0.7555756453345388,0.47725105,0.41464788,0.10422457
