Transactions,Entities,PointsAdjust,Envergure,Language,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Effort
0.18616779,0.5188875,0.348559,0.6675064,0.8682612,0.4632836877970213,0.471051,0.44178152,0.5079447,0.3403963
0.17552812,0.5170787,0.33497825,0.64446616,0.87905335,0.4711506682690401,0.5201038,0.47265193,0.5644537,0.34256467
0.17995638,0.3701924,0.28936946,0.55369675,0.8208585,0.6058234363494062,0.41111124,0.39518496,0.42627686,0.30044255
0.1530816,0.17589983,0.21107271,0.24441925,0.573571,0.654141699248502,0.19828716,0.19550289,0.041751474,0.25579715
0.17421317,0.39129344,0.2683711,0.65153754,0.5222468,0.572232034333922,0.37676358,0.36462128,0.36510485,0.21186224
0.13313152,0.25328782,0.1752826,0.49464932,0.6698345,0.7031801421908085,0.22304752,0.30229592,0.36399037,0.21829742
0.13191104,0.4077706,0.24928077,0.6245593,0.85133874,0.5726653343599202,0.43389434,0.45382324,0.5725058,0.27073103
0.16751485,0.4002502,0.24333403,0.36032006,0.8804164,0.48465868907952137,0.45274436,0.47873244,0.42295045,0.15667668
0.1381569,0.511443,0.29942346,0.67782444,0.84745,0.4116215946972957,0.5330961,0.48811093,0.5686472,0.34613755
0.32021376,0.5715271,0.44215536,0.5549331,0.73037845,0.2827227869633672,0.65480083,0.6022439,0.52885795,0.4097007
0.18238695,0.32181776,0.22746107,0.6025772,0.81010777,0.48869642932178575,0.43329474,0.4795867,0.56619215,0.24091393
0.14118616,0.053458005,0.17752238,0.1603876,0.8812778,0.5480922828855369,0.48497397,0.38060856,0.5153609,0.088720486
0.05436954,0.35364634,0.18035494,0.4163555,0.71610093,0.5965565357933922,0.40340778,0.37249142,0.3346827,0.19434288
0.19139679,0.20710799,0.25540695,0.3202316,0.73399353,0.6207611372456682,0.33138126,0.3111409,0.25840062,0.25090152
0.16224197,0.4985096,0.29171157,0.58188,0.8098904,0.4673046780382807,0.45168704,0.46950626,0.40469772,0.2636771
0.05493538,0.28471398,0.17313652,0.459791,0.51730454,0.6690624401437464,0.19446242,0.17377512,0.12725991,0.22119153
0.073293924,0.19577311,0.14059271,0.07892715,0.65973675,0.6147110368826623,0.27868074,0.25545436,0.1824016,0.11170531
0.122823045,0.19759464,0.18564396,0.32513785,0.6733343,0.7279705436782327,0.17229715,0.22462617,0.1829871,0.18208626
0.15902655,0.49860814,0.31318867,0.74899524,0.7950456,0.4463147267788836,0.5122289,0.4487699,0.5931403,0.41650134
0.3812418,0.24287438,0.33215976,0.5733497,0.899819,0.7145314428718866,0.29057932,0.3837571,0.55579805,0.40929905
