size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,ifc_GUI,source_Inhouse,telonuse_No,Generated_Var_1,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,-67.00367,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-454.96277,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-50.18277,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-135.75793,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,-1221.0305,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-244.9283,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-164.90283,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-419.70963,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-523.5758,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-688.57025,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-247.28369,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-243.2227,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-53.022755,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-34.59513,583
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,-149.21074,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-234.60356,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-89.346664,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,-1492.0732,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,-2145.035,37286
