YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-499.32062,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-548.2614,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-76.00222,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-373.42554,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-208.97098,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-273.2304,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-247.10078,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-378.57916,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-760.8737,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-232.14426,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-395.10345,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-879.0896,9051
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-219.3387,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-403.53305,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-484.82153,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-155.33157,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-306.66043,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-341.8533,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-446.08047,4494
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-78.61131,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1459.2057,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-504.53574,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-563.638,5775
