PointsAdjust,MI_PointsAdjust_Entities,Effort
0.16941997,0.041450527,0.1025544
0.31001922,0.15530257,0.2823545
0.13757093,0.008317139,0.025060568
0.19184485,-0.012038274,0.11310498
0.600736,0.34024364,0.14358863
0.29510728,0.127781,0.2378706
0.22433123,0.06033368,0.19493008
0.26720512,0.13143566,0.22453682
0.11021263,-0.0011944138,-0.013009843
0.2161566,0.05619083,0.11541593
0.17463166,0.019806009,0.11920359
0.18496448,0.021474991,0.16844413
0.100568965,-0.0037296228,0.06285739
0.09417489,-0.010927873,0.0642626
0.12009107,-0.0038210563,0.028691456
0.10340674,-0.00021331012,0.036761783
0.17444742,0.058119897,0.06421494
0.22503859,0.08691327,0.15318568
0.30310243,0.15094654,0.28251228
0.10889049,-0.00040333718,0.03476877
0.1956031,0.07007182,0.16525158
0.120387316,-0.007376019,0.099977456
0.4457136,0.21287446,0.34580517
0.26086724,0.047151435,0.12036896
0.17774382,0.037762452,0.18877468
0.1461658,0.03503303,0.015786473
0.24210799,0.046449404,0.09969944
0.21181625,0.045687992,0.14602397
0.18555936,0.027877409,0.17453605
0.115108006,-0.009452909,0.01257027
0.16010168,0.039849345,0.20446208
0.12699458,-0.015613126,0.03899644
0.16960748,-0.0019485727,0.20325312
-0.01979559,-0.030017413,-0.008250184
0.5050311,0.5479492,0.5043219
0.048798703,-0.032856826,-0.01462887
0.074882984,-0.020721907,0.01989591
0.14110667,0.019597381,0.12065195
0.20115972,0.065139055,0.089458466
0.23922288,0.09646045,0.22702312
0.1639953,0.022986576,0.22768332
0.15250659,0.023150865,0.12467504
0.4169677,0.31063145,0.20833297
0.07353893,0.0005896278,-0.08981464
0.5524723,0.2927866,-0.0059011653
0.2118184,0.02944718,0.16846561
0.09488873,-0.0068412684,-0.037537962
0.10975652,0.037176613,0.008443766
0.054864347,-0.053363636,0.0036980007
0.18479005,0.05720788,0.119305596
0.11183369,0.032693837,0.04071956
0.2409347,0.16831934,0.16848174
0.112858154,-0.018120974,0.03470573
0.14054331,-0.023407657,0.069447584
0.22090158,0.098578975,-0.037057754
0.27383733,0.083915845,0.13306917
0.10981414,0.005112931,0.0966272
0.10110283,-0.0048617087,-0.016364599
0.13758403,0.016503979,0.02161532
0.10174902,-0.0055075884,0.012063727
0.518375,0.45109713,0.37761194
0.209304,0.08146876,0.121795855
0.056479655,-0.005385246,-0.033917323
0.08201601,-0.023622595,0.038577784
0.03711512,-0.051425524,-0.0061699916
0.12843972,0.012215689,0.05552188
0.511959,0.44090098,0.42296913
0.39936993,0.3185778,0.39346623
0.16375828,0.003692422,0.13138568
0.16401254,0.027083348,0.16288103
0.18811119,0.121173695,0.058167227
0.16863035,0.010084175,0.13949086
0.08221027,-0.02193959,0.018940266
0.11980894,0.014094152,0.09868982
0.13474447,0.0086646415,0.031020047
0.1947554,0.09649034,0.08162721
0.22576985,0.16149972,0.0827556
0.12385488,0.0008720644,0.15265423
0.19756812,0.094903424,0.030388705
0.23726729,0.07974446,0.1682188
0.46376428,0.2754191,0.31788823
0.20821607,0.09916367,0.1706307
0.3255125,0.111442655,-0.018327462
0.17101213,-0.0011025816,0.21174464
0.17230584,0.006724268,0.1863254
0.44822758,0.21212068,0.14579275
0.2309004,0.072992116,0.2718692
0.039887406,-0.004190527,-0.025105162
0.15905616,0.025721412,0.030772228
