time,stor,MI_loc_aexp,MI_loc_stor,MI_aexp_data,actual
0.3418887,0.52165025,-0.14376755,0.1652761,-0.14694352,-0.050482552
0.5796213,0.85788035,-0.24745306,0.2728167,-0.29530996,-0.17569588
0.31887752,0.40920734,-0.117965765,0.22241639,-0.1317645,-0.079898104
0.34604272,0.5365049,-0.12820178,0.16868742,-0.16699433,-0.09426552
0.16094062,0.23923254,-0.05659896,0.10479711,-0.07984815,0.0002558641
0.41483143,0.6317165,-0.16136542,0.19155374,-0.1755175,-0.07892217
0.33508602,0.500539,-0.116742656,0.18398798,-0.18341547,-0.086108714
0.79742277,1.2179525,-0.39757064,0.56707233,-0.61553144,-0.32862207
0.390397,0.622057,-0.14359581,0.1688504,-0.1586214,-0.084963664
0.35971853,0.57107246,-0.1230371,0.14517987,-0.12303616,-0.05410077
0.4126663,0.54561144,-0.18465622,0.29521945,-0.3004395,-0.14607961
0.51562256,0.7016428,-0.20701955,0.32263097,-0.32249367,-0.21582663
0.39307383,0.587684,-0.14863186,0.17791514,-0.1711256,-0.061495926
0.40874982,0.6114795,-0.19101481,0.2461478,-0.2280239,-0.10810462
0.660013,1.0114398,-0.28810206,0.36080346,-0.42420474,-0.19335824
0.23924913,0.37579137,-0.050850198,0.11336759,-0.014423162,-0.02566776
0.3102916,0.41019928,-0.07344937,0.12482911,-0.053925302,-0.0068556294
0.4280027,0.62200314,-0.1544473,0.18561788,-0.15678921,-0.10647102
0.33859017,0.46900958,-0.12830561,0.21244384,-0.19591404,-0.12046456
0.4484478,0.76503974,-0.220872,0.28840703,-0.29527068,-0.17631495
0.2700656,0.4318392,-0.081677556,0.15456907,-0.066327825,-0.068663105
0.28846222,0.42213216,-0.06855805,0.10368678,-0.031687386,-0.042646583
0.29039937,0.3712749,-0.071328685,0.1130462,-0.04915471,-0.083548814
0.33302757,0.44790497,-0.113990635,0.15390125,-0.090905264,-0.106903
0.3357121,0.48959136,-0.12633923,0.212817,-0.14677137,-0.10865995
0.29582986,0.3860302,-0.08422202,0.12376,-0.0769762,-0.06846526
0.38938314,0.5949434,-0.14771244,0.15973707,-0.13602543,-0.071560785
0.35836995,0.54453135,-0.16930342,0.24390341,-0.2123423,-0.15117404
0.5496483,0.81265795,-0.20452598,0.23586589,-0.2548068,-0.14584099
0.4554269,0.63447756,-0.15514517,0.19796242,-0.18536545,-0.0888156
0.24875942,0.3872071,-0.0852309,0.11833212,-0.073650956,-0.016709503
0.23762506,0.34045824,-0.04443838,0.10020509,0.008255242,-0.01241352
0.30265123,0.41609824,-0.12175013,0.19636817,-0.12203963,-0.07193397
0.32102174,0.48618156,-0.16313508,0.2207291,-0.21665783,-0.10088745
0.38566098,0.65001005,-0.1597504,0.1931775,-0.1652416,-0.09742284
0.32679623,0.4885251,-0.12318792,0.19623335,-0.14402594,-0.10279684
0.5059401,0.7798928,-0.21363872,0.28735542,-0.29826653,-0.21462572
0.5317881,0.83933383,-0.26670578,0.40456092,-0.39820123,-0.17689772
0.7112494,1.0916781,-0.3781638,0.48464808,-0.51556003,-0.24825662
0.2314398,0.3077638,-0.0726329,0.1066934,-0.028665738,-0.047835667
0.19528188,0.29653677,-0.062443517,0.10557984,-0.06913796,-0.013658617
0.40107355,0.5918147,-0.14416294,0.19732042,-0.11285984,-0.095658585
0.52818304,0.82948434,-0.2323998,0.33525896,-0.33556303,-0.24975213
0.48463374,0.74772596,-0.17687696,0.26341102,-0.2834399,-0.15046947
0.25157923,0.30529585,-0.046691887,0.105820686,0.00031372363,-0.08479008
0.44538894,0.6681933,-0.16132656,0.18256107,-0.18173969,-0.10595058
0.27825856,0.33055493,-0.07512226,0.16229616,-0.05989392,-0.06994775
0.29040334,0.42776164,-0.08433323,0.1378943,-0.073579915,-0.049283672
0.29733813,0.43630216,-0.16021861,0.18228665,-0.19521675,-0.059292305
0.30700094,0.49940175,-0.115565896,0.1598944,-0.13183878,-0.0520205
0.2410149,0.26872393,-0.07443558,0.117100224,-0.07367467,-0.06783429
0.99165606,1.527839,-0.53089386,0.7163415,-0.7878639,-0.38886338
0.28893092,0.40672714,-0.08054235,0.12171918,-0.072942965,-0.021261279
0.24194284,0.37705612,-0.049984574,0.115909055,-0.018763164,-0.012786191
0.18855004,0.23025689,-0.06955331,0.119303346,-0.044458933,-0.050844703
0.35240698,0.53924197,-0.1284339,0.16318536,-0.12060216,-0.072034225
0.3870927,0.44466928,-0.09686661,0.16166396,-0.124457136,-0.079037756
0.46929792,0.65267074,-0.13611297,0.223685,-0.20911801,-0.17612027
0.42934975,0.68811315,-0.19073486,0.22708368,-0.21767777,-0.1098233
0.23636565,0.27320504,-0.03776201,0.098486215,-0.0049079657,-0.076591805
0.4107774,0.5189962,-0.12714384,0.22957645,-0.15774368,-0.15498729
0.29630986,0.43172872,-0.117057614,0.16808626,-0.1309817,-0.07382846
0.23543791,0.20239842,-0.059469454,0.121744156,0.026708636,-0.07395856
0.29392204,0.46678063,-0.113757156,0.1965672,-0.1312199,-0.11968213
0.3717687,0.46414733,-0.10705357,0.14990363,-0.102468565,-0.09733279
0.16751255,0.23097548,-0.048330657,0.1090024,-0.05391106,-0.017761167
0.3315346,0.52198124,-0.13637868,0.18568759,-0.14369865,-0.08013025
0.27669877,0.38315052,-0.11603453,0.19157398,-0.1315823,-0.08876082
0.26414567,0.36216348,-0.10613095,0.1816281,-0.161281,-0.07574491
0.4045874,0.61344326,-0.18591651,0.22582488,-0.2428904,-0.1260773
0.52135754,0.7932883,-0.26917502,0.34851196,-0.3716193,-0.17763558
0.34442133,0.55148613,-0.14594527,0.17614795,-0.16172773,-0.076773286
0.23706043,0.2612137,-0.064641654,0.12959623,-0.05349005,-0.103539854
0.7882215,1.1832274,-0.39952856,0.4930971,-0.5388511,-0.25367504
0.31049484,0.457569,-0.0792504,0.12928079,-0.06825852,-0.03071436
0.34697032,0.5141385,-0.11700178,0.14771602,-0.112964354,-0.08134392
0.3590824,0.57522815,-0.13807869,0.18876243,-0.1719793,-0.10677688
0.436739,0.6644711,-0.22411461,0.28436914,-0.28511605,-0.10715258
0.42767748,0.48703143,-0.098382235,0.21912293,-0.14554214,-0.17441574
0.34498882,0.5442346,-0.122510605,0.1453941,-0.09826347,-0.043215033
0.3449617,0.41115382,-0.10891465,0.16912688,-0.07790781,-0.09522772
0.3206234,0.47956103,-0.12865,0.1916943,-0.16023348,-0.08607258
0.31856087,0.44506517,-0.09327497,0.16193889,-0.15270723,-0.06639399
0.441917,0.64592135,-0.19023214,0.29253426,-0.24237125,-0.218175
1.0312663,1.600713,-0.5127128,0.6731682,-0.74538124,-0.40077135
0.2575008,0.3819521,-0.054734387,0.11301918,-0.02292215,-0.020988245
0.26259258,0.368558,-0.057927825,0.10794726,-0.016844582,-0.0060847476
