size_D,har,dba,source,telonuse,t01,t08,Generated_Var_5,effort_D
0.19486961,0.11663701,0.10262489,0.42109177,0.6262489,0.046652913,0.1594169840583016,0.2231768,0.16567895
0.2560362,0.01536116,0.0,0.21320274,0.46857572,0.13129023,0.14599122540087744,0.263705,0.22037861
0.23032856,0.13129042,0.11655986,0.40180048,0.6534239,0.025696576,0.11235828876417112,0.16289374,0.18275611
0.3003496,0.0019438863,0.031021059,0.13097423,0.37909955,0.26466137,0.25020807497919245,0.36526442,0.30713153
0.63048136,0.6073147,0.67726874,0.78560543,0.8853861,0.47419107,0.38584970141502983,0.09837029,0.64375013
0.23831636,0.11587943,0.06350899,0.37319782,0.63170034,0.0438329,0.034883734511626546,0.12991354,0.19485168
0.53099036,0.35130864,0.25370437,0.47906637,0.7178947,0.28162736,0.23817003618299634,0.03519664,0.45111245
0.20883434,0.08746196,0.063272715,0.35843074,0.59875834,0.021975875,0.07436498256350174,0.17886937,0.16020513
0.13433523,0.08806683,0.17950022,0.42180425,0.5696664,0.106809855,0.3481863651813635,0.40488356,0.14298236
0.28636608,0.14272095,0.050308585,0.3704304,0.6489438,0.072672784,0.05775796822420317,0.091230534,0.24560876
0.36080518,0.19587885,0.090427876,0.39306805,0.6961004,0.0963707,0.05560877443912255,0.034078665,0.29327738
0.2581063,0.011961013,0.06115985,0.18751255,0.40350282,0.24004179,0.302310049768995,0.40715712,0.27473524
0.16042452,0.09839092,0.07699382,0.4134176,0.61231095,0.028164744,0.1885816011418399,0.23758823,0.10727369
0.22394374,0.12490569,0.08795595,0.40110832,0.6373545,0.049612433,0.07880368211963178,0.15897182,0.18387763
0.172799,0.16981731,0.17812753,0.49483782,0.669634,0.058017433,0.2580541441945856,0.26945776,0.15821418
0.14501746,0.12652908,0.13634115,0.46364766,0.6247901,0.06265974,0.299716470028353,0.2988733,0.10593521
0.47665828,0.32419974,0.24141932,0.4769547,0.7397407,0.21585554,0.19778336022166398,0.04045049,0.39264864
0.20497864,0.10761963,0.06436831,0.39305055,0.61011565,0.027629375,0.09390565060943494,0.18303156,0.15421969
0.22712283,0.1618884,0.16393465,0.44553033,0.662918,0.051358134,0.10201700479829952,0.17729485,0.17459542
0.24318951,0.027356982,0.009613395,0.24180508,0.49125054,0.10997373,0.13948215605178438,0.25672576,0.20625278
0.10783425,0.15494375,0.27688044,0.5417294,0.650783,0.07393995,0.4125153887484611,0.39097297,0.08813576
0.45494318,0.066397,0.23576736,0.09664347,0.24555477,0.5875868,0.4710163328983667,0.55693704,0.49510598
0.2620228,0.044055954,0.025253356,0.25710276,0.5056239,0.11246443,0.11472208852779113,0.22231868,0.21225195
0.1487612,0.10280399,0.08052403,0.4370751,0.6078514,0.0517115,0.28115612188438777,0.27869862,0.091921136
0.18262157,0.09440796,0.052547514,0.3924594,0.6110651,0.016925514,0.12204904779509522,0.19661528,0.12723579
0.20085886,0.1741594,0.17519319,0.4687881,0.6922635,0.041272253,0.1618911738108826,0.18478516,0.14913347
0.2902946,0.14265527,0.07376379,0.3802006,0.6384422,0.07046348,0.048075641192435875,0.107684456,0.23080842
0.54632306,0.38463944,0.24843669,0.50795,0.7599395,0.28648317,0.2524142947585705,0.008442037,0.46976972
0.19362795,0.093014225,0.06813389,0.3864233,0.60028714,0.026399553,0.10656346934365306,0.20062667,0.13755006
0.28200507,0.25499147,0.24745,0.53315467,0.746977,0.102984875,0.17332221266777872,0.1457319,0.26011217
0.30491138,0.23442553,0.12384462,0.4807756,0.7206148,0.1579693,0.25766927423307256,0.101041965,0.27384925
0.25586766,0.051483914,0.06275225,0.27011544,0.50147676,0.130422,0.16405083359491662,0.2654339,0.20898172
0.3491671,0.16575842,0.08772576,0.3538065,0.61455816,0.13135853,0.0912390258760974,0.099438794,0.27375716
0.3088475,0.06150283,0.15330994,0.25159207,0.46892548,0.27289313,0.2608470339152966,0.3441837,0.3205499
0.50878733,0.3679613,0.3112486,0.53323567,0.7719235,0.2667573,0.19813574018642596,0.024544097,0.47627467
0.31156528,0.14984067,0.08825648,0.3708867,0.6248056,0.09709883,0.07453855254614475,0.107725166,0.24264306
0.19731332,0.042513654,0.047365963,0.29941106,0.51443505,0.1186811,0.2540896545910345,0.328964,0.19271368
0.32078886,0.03284894,0.09173685,0.14595392,0.37578923,0.31062067,0.2918952108104789,0.4006605,0.3314575
0.38835377,0.22075228,0.10432422,0.39514792,0.6911191,0.11755076,0.09558972044102795,0.048221685,0.32314694
0.08846232,0.19205521,0.25877118,0.6223208,0.6765109,0.113838255,0.5209340479065951,0.41155124,0.042574707
0.20962104,0.10956283,0.14008516,0.3864259,0.60976845,0.06524244,0.08760108623989138,0.20458609,0.210194
0.388407,0.20786001,0.09457618,0.38539132,0.6668811,0.13676646,0.09271218472878152,0.052111037,0.31620473
0.2468597,0.05643691,0.05029714,0.29143378,0.52627575,0.095068485,0.11740078325992166,0.21897265,0.19875129
0.5119611,0.3770669,0.24723464,0.51494473,0.77339077,0.26848227,0.2304217269578273,0.00951276,0.45498234
0.3615234,0.2190683,0.088050604,0.4077383,0.7087426,0.10368878,0.10330499966950003,0.036200665,0.2956217
0.16758898,0.09965305,0.078976095,0.40861964,0.61363673,0.023352504,0.15618438438156154,0.22005206,0.11779855
0.07001443,0.18659134,0.31291145,0.62491155,0.6655361,0.14475095,0.6300825369917463,0.47031254,0.055466436
0.219926,0.10355939,0.037712276,0.38002968,0.62414014,0.021481872,0.06954237304576269,0.14953032,0.17477053
0.18726318,0.08517046,0.08720124,0.39820173,0.6026342,0.0399293,0.1601855339814466,0.2323434,0.15229544
0.14247654,0.13379715,0.17824244,0.47843373,0.65668935,0.036201596,0.2653108234689176,0.2689,0.096764885
0.24530059,0.10590784,0.049870312,0.3646281,0.60604906,0.038245797,0.03705134629486537,0.14201927,0.18142684
0.19716573,0.123697504,0.10657871,0.42348263,0.62693995,0.050450623,0.15425564457443552,0.21244064,0.16673158
0.13824192,0.1227579,0.12690312,0.460984,0.63711345,0.03155899,0.26627267337273264,0.29013145,0.110049844
0.19069465,0.1213827,0.12798,0.4143903,0.6333779,0.02391839,0.14589579541042044,0.23035821,0.16611664
0.26364613,0.11549188,0.055260777,0.36009213,0.6139886,0.054414928,0.05296024170397583,0.12675723,0.20642143
0.19496399,0.13537966,0.13961601,0.44966277,0.6496121,0.043729335,0.19687564031243596,0.22068226,0.14697848
0.5300006,0.36384445,0.2300322,0.47712696,0.75254935,0.2519542,0.24143642585635738,0.009218104,0.45675677
0.27912354,0.08112927,0.07437283,0.30634564,0.5560866,0.11829761,0.12909688709031128,0.2047095,0.24635768
0.19815733,0.086950436,0.058193743,0.37676135,0.602938,0.017578095,0.0816162418383758,0.18733162,0.15029252
0.23885822,0.11405711,0.11801535,0.39087144,0.64068526,0.031389892,0.0,0.12939426,0.21988414
0.18753928,0.07040538,0.10720569,0.34605372,0.5605002,0.04965037,0.1503020049697995,0.2657533,0.1545216
