rely,data,cplx,stor,acap,aexp,vexp,sced,Generated_Var_1,Generated_Var_4,actual
0.12633955,0.10254634615278077,0.35334253,0.15452033,0.38283765,0.12561215,0.36901635,0.42282727,0.3517836,0.10167512,0.20566067
0.028503403,0.39008295340497723,0.09869157,0.10673791,0.8777249,0.43575454,0.067683,0.24578133,0.36784118,0.1017991,0.35496873
0.23469089,0.4170005250200315,0.24576649,0.3206189,0.52126265,0.27399868,0.1588831,0.13324179,0.09507008,0.117287576,0.36991468
0.3008896,0.31826491909589516,0.39610505,0.36734363,0.34768495,0.2363085,0.3136313,0.36990064,0.16024387,0.17720613,0.40094593
0.3151244,0.44645088678705325,0.348921,0.39187014,0.4697047,0.28676653,0.20615217,0.31732768,0.07778972,0.17544141,0.42766255
0.24242707,0.24661768479706112,0.40817744,0.31677362,0.38248232,0.24530916,0.30915502,0.5185933,0.19777861,0.09358469,0.313599
0.20257546,0.09052072543124352,0.42992216,0.12096074,0.35285926,0.18960817,0.45279518,0.41479596,0.48579362,0.32168946,0.04631009
0.41143376,0.016921342015280522,0.72052956,0.05677492,0.09323034,0.10636668,0.81969833,0.67702574,0.8106797,0.68174374,0.33475038
0.22291829,0.23615352416921148,0.367871,0.19863558,0.37389404,0.22265221,0.35111403,0.4292718,0.33713657,0.23512647,0.15288465
0.14217147,0.03537007612220457,0.3683442,0.12460024,0.3517769,0.06147389,0.43991375,0.26732475,0.44989663,0.21182975,0.18666837
0.100826815,0.22967804378068263,0.26196533,0.16871946,0.5882841,0.20714928,0.21866612,0.3329783,0.28109527,0.071923494,0.21028239
0.059379175,0.2577005454620327,0.247307,0.1308245,0.7446532,0.29643857,0.18616475,0.37872756,0.35296303,0.10790518,0.25861543
0.09975967,0.2772696466361788,0.24441059,0.17925256,0.6416649,0.28508806,0.18985592,0.40182465,0.2757283,0.050257415,0.25756723
0.17300545,0.15013671900820316,0.36525482,0.17556036,0.3692812,0.1644374,0.37817687,0.3751839,0.35285515,0.18017277,0.098490514
0.03151501,0.40217750413065023,0.09200887,0.10649671,0.8809451,0.4197393,0.059730753,0.20208105,0.36527228,0.11500013,0.3625765
0.1124969,0.18848837130930227,0.30259055,0.14624943,0.59626585,0.26314217,0.26317406,0.37486503,0.34550843,0.1429458,0.08994372
0.08073574,0.26036618562197117,0.2271862,0.16567679,0.650584,0.24766879,0.1786879,0.3586215,0.27853176,0.03996405,0.26762247
0.15305163,0.22496469349788162,0.325652,0.2345027,0.5163853,0.19900014,0.2474558,0.44419613,0.23200959,0.029978722,0.23323664
0.059041172,0.25786241547174493,0.23697303,0.13293687,0.7196719,0.28869802,0.1691242,0.38580263,0.35730648,0.0776231,0.2780059
0.1319491,0.060513425630805535,0.36770415,0.124715544,0.4087372,0.08926447,0.38705784,0.32273513,0.4292891,0.1745027,0.17476282
0.19844134,0.17590819055449144,0.41082376,0.20869912,0.38908017,0.2972145,0.34841424,0.53141844,0.30257577,0.18330678,0.13043757
0.051227227,0.17780293066817585,0.23245981,0.111241445,0.6278498,0.2012132,0.24431553,0.23687541,0.38017538,0.12556538,0.21485549
0.21436255,0.4317284259037056,0.22898827,0.29006046,0.5592608,0.32288355,0.14223036,0.18478262,0.11987808,0.10108882,0.4021239
0.17099395,0.04062500243750015,0.4084201,0.11956953,0.32078397,0.08156584,0.4586195,0.34797412,0.45828363,0.22310212,0.20413327
0.07764633,0.3276662396599744,0.19531621,0.14045066,0.7504338,0.36239254,0.13664547,0.33582067,0.32462043,0.087619245,0.26466787
0.0503785,0.30295491817729514,0.16784084,0.12521705,0.73094475,0.33625442,0.1419791,0.32293382,0.3465266,0.05374521,0.31913388
0.060383826,0.2237014634220878,0.23560724,0.1264807,0.66125196,0.24039032,0.2060408,0.30563852,0.36024278,0.08426133,0.24699709
