TeamExp,ManagerExp,YearEnd,Transactions,Entities,Envergure,Language,Generated_Var_1,Generated_Var_2,Generated_Var_6,Effort
0.29369557,0.9032242,0.4572492,0.10500275050027505,0.4358328,0.5594306,0.7522916451374987,0.22682236731776326,0.56554276,0.2608227660822766,0.3247041194822472
0.7353169,0.9701609,0.4973898,0.1297168229716823,0.540007,0.63053125,0.8044304482658269,0.41208475879152406,0.4521773,0.26973542697354275,0.4990350299421018
0.45106557,0.9238201,0.38781762,0.15225704522570452,0.35248083,0.7980269,0.839523900371434,0.24040152595984737,0.46264064,0.23420041342004136,0.4004552040273123
0.78292465,0.8388608,0.37446982,0.05600508560050856,0.4634264,0.29585886,0.8403195504191731,0.31135886886411307,0.50449085,0.22997092299709232,0.1384063083043785
0.13937981,0.5289659,0.53186876,0.0884323388432339,0.568091,0.4878604,0.828129849687791,0.3917258608274139,0.43110728,0.4414568441456844,0.2207672432460346
0.7947474,0.740406,0.50419927,0.2777572577757258,0.5975077,0.5028471,0.673069400384164,0.5646059435394056,0.40194553,0.3826944582694458,0.5421415925284956
0.19733228,0.4480555,0.5694526,0.13629506362950636,0.44104034,0.5353428,0.8058392883503572,0.37583931241606877,0.32783723,0.39391837939183794,0.2220476233228574
0.4819379,0.4794743,0.20080368,0.04931941793194179,0.4054975,0.39647144,0.7229965733797944,0.19742174025782597,0.5295645,0.24566840456684047,0.14307311858438712
0.49098983,0.4480222,0.29403245,0.09236243923624392,0.47101158,0.5970092,0.8997655539859333,0.34097733590226637,0.40960604,0.35152295515229554,0.273728616423717
0.62740827,0.43713862,0.0,0.08848489884848988,0.32278636,0.44650045,0.544397032663822,0.0924194007580599,0.56195706,0.11771326177132618,0.11826842209610533
0.76454765,0.421113,0.6861479,0.17473185747318576,0.4017963,0.48840207,0.7204013932240837,0.4599034940096506,0.2631509,0.28413024841302487,0.2192039631522378
0.8672108,0.28397244,0.41535738,0.23374679337467935,0.5486135,0.75278616,0.9256984555419074,0.5559762744023725,0.30737942,0.49903689990369,0.47675932860555975
0.7758393,0.8258704,0.4034546,0.4514995951499596,0.6243594,0.5859792,0.6551907393114444,0.6213220378677962,0.41410375,0.48828272882827295,0.7164005429840326
0.10153824,0.75066745,0.5903858,0.06482341048234105,0.55472004,0.584941,0.26086507565190453,0.1595142040485796,0.66945493,0.17278559727855974,0.14679812880788773
0.48926094,0.38930827,0.5535729,0.2413971941397194,0.41216698,0.5518445,0.7751261465075688,0.44716738528326144,0.28549373,0.4254162425416243,0.29364575761874545
0.19639829,0.09131115,0.38633552,0.09285028928502892,0.26261216,0.37414294,0.5771733346304001,0.26630857336914265,0.45168692,0.25396736539673653,0.18682987120979228
0.52979594,0.8532541,0.20750776,0.1100566050056605,0.39040434,0.52526796,0.8107731786463906,0.18695299130470086,0.5424702,0.2491486949148695,0.2783161566989694
0.038687117,0.3942545,0.31154013,0.0690797709079771,0.45581102,0.43398973,0.826747349604841,0.2547730545226945,0.5127255,0.37648836764883675,0.20630741237844474
0.3862464,0.8698971,0.5880932,0.12356240235624023,0.44786996,0.2657822,0.2549136752948205,0.1626057837394216,0.7209807,0.10457258045725805,0.037945179276710754
0.45810965,0.95946884,0.4671618,0.08841119884111989,0.44368368,0.5428324,0.7938597476315848,0.24853013514698646,0.55594194,0.23988103398810343,0.30997435859846156
0.7604716,0.8516232,0.45000562,0.3639161363916137,0.6375218,0.62767977,0.6912027414721644,0.5763164823683518,0.42876083,0.4416842941684294,0.6732639403958365
0.7423564,0.54122126,0.5733048,0.17024681702468172,0.52115005,0.6213705,0.8338276500296591,0.49729473027052695,0.34716386,0.3673132767313277,0.40512832430769946
0.69180477,0.7375235,0.24802864,0.05904396090439609,0.39849925,0.34656626,0.815919948955197,0.22814880718511926,0.50851166,0.20533406053340605,0.1374818582489115
0.6918907,0.7836519,0.49523014,0.21584484158448417,0.57624996,0.60891485,0.5795684347741061,0.4507440749255925,0.38246214,0.2720034972003498,0.4882726092963566
0.7367239,0.81996906,0.51989365,0.2607894760789476,0.54681224,0.5870328,0.5248891314933479,0.4436804256319574,0.37921935,0.2649669064966907,0.4331128259867696
0.80738294,0.82664293,0.3780195,0.5549551554955157,0.7065971,0.3617782,0.6985143819108629,0.7689259231074076,0.56257,0.6498290649829065,0.7858934471536069
0.2379992,0.4890669,0.4219626,0.08752783875278389,0.48051065,0.53773093,0.8905739534344372,0.33668821633117835,0.43043798,0.392018269201827,0.2240859234451554
0.35799053,0.83385164,0.2210179,0.07476471747647175,0.36653543,0.197372,0.6950431417025885,0.13275665672433432,0.70574677,0.22011243201124323,0.11706404702384282
0.79411286,0.65501213,0.56700313,0.10884670488467049,0.528399,0.52548283,0.7905385974323158,0.46713162328683766,0.37231743,0.29708230970823096,0.32938705976322363
0.042400014,0.41001683,0.34124362,0.06259274625927462,0.52883136,0.4032609,0.8727542523652552,0.3122562487743751,0.56088597,0.43987019398701943,0.23054139383248362
