rely,data,virt,turn,aexp,vexp,tool,sced,loc,Generated_Var_1,Generated_Var_2,Generated_Var_4,actual
0.4030133,0.519492,0.22851107,-0.012170769,0.15636992,0.62590784,0.38621938,0.4754434,0.034940213,0.50708395,0.33190945,0.87575483,-0.081849344
0.49583113,0.6373626,0.21042544,-0.21369827,0.08445078,0.75603807,0.36465573,0.70299697,-0.060405016,0.57593733,0.40492278,1.1399772,-0.11888524
0.33700246,0.5124907,0.18534884,0.05474572,0.19717948,0.5076836,0.37766615,0.35306612,0.03606095,0.6292969,0.35888422,0.86584616,-0.07108983
0.5259063,0.49962732,0.4226408,0.049576607,0.17444609,0.7439025,0.4480233,0.4907285,0.12050506,0.45656574,0.4888889,0.907657,-0.017406888
0.53058577,0.61991686,0.32351452,-0.056961663,0.18162932,0.8005684,0.4463731,0.7182908,0.039729632,0.40172273,0.49478978,1.0455185,-0.06353917
-0.16735691,0.7468179,0.16124329,0.008428827,0.80161726,0.6141888,0.46569785,0.527371,0.014903809,0.72014683,0.45142633,0.90986025,-0.2439284
0.5729791,0.56763494,0.34526765,-0.08500116,0.089703456,0.8319578,0.43666553,0.6407711,0.045725293,0.4407279,0.5052206,1.0671731,-0.070979126
0.620948,0.5041259,0.65589833,0.06689759,0.31156212,1.0820874,0.5729228,0.76722085,0.13210064,0.36579102,0.66025317,0.95995367,-0.0663865
0.33266133,0.4976187,0.37560773,0.14271653,0.3154011,0.64923406,0.4623388,0.37060615,0.14098711,0.49745128,0.45188817,0.7699175,-0.016961396
0.3196466,0.47592175,0.30532968,0.13928525,0.27935144,0.53456664,0.45426762,0.28383508,0.14825459,0.5712634,0.37255448,0.74619985,-0.041607298
0.42525643,0.5003612,0.25252703,0.037999634,0.1544294,0.60396457,0.4096644,0.40788746,0.07366554,0.4936344,0.35293403,0.8165755,-0.039732613
-0.0065875202,0.8025993,0.017206445,0.107236184,0.6148197,0.39192164,0.46664587,0.360043,0.031659514,0.8576787,0.3525438,1.0501156,-0.23221216
0.2712857,0.43243355,0.34296715,0.17506015,0.3635668,0.5185576,0.4667224,0.27686763,0.13163275,0.5110578,0.3570762,0.6304511,-0.042573698
-0.0878225,0.95511174,-0.038096324,0.08964083,0.7610931,0.41710365,0.52262187,0.4567147,0.0075236596,0.99702317,0.38884133,1.242048,-0.3057673
0.03764934,0.54030204,0.26192078,0.07786772,0.56793964,0.58300704,0.42563105,0.44522175,0.05195657,0.49797577,0.38404053,0.64182913,-0.1164392
0.5693557,0.48100165,0.5832521,0.122181594,0.29063773,0.95994884,0.57315403,0.73029256,0.14040594,0.32661948,0.6489477,0.8704926,-0.065402456
0.13130622,0.75050086,0.024494112,0.042675283,0.42249817,0.422621,0.4253814,0.484518,0.0052067386,0.7786142,0.3403467,1.0405536,-0.22581998
0.19872336,0.5106622,0.38574666,0.2608377,0.48966917,0.6341547,0.54277664,0.40747625,0.12666662,0.503811,0.4821699,0.60686105,-0.046085484
0.3770103,0.52212024,0.2743473,0.002587594,0.1858802,0.6503896,0.39408106,0.4490792,0.058202423,0.48241898,0.36982524,0.8769866,-0.02739384
0.48391244,0.3626863,0.7360964,0.19748595,0.4560443,1.0294663,0.6479167,0.52442557,0.14124617,0.39866963,0.5466703,0.6840788,-0.002859123
0.090218075,0.72892004,0.06266479,0.08701841,0.47248197,0.40517506,0.42142448,0.3570647,0.04355884,0.74605775,0.33149263,0.97419596,-0.19019109
0.40072364,0.48018196,0.28890294,0.07563412,0.18081008,0.5535249,0.39721113,0.2973566,0.09961654,0.53260326,0.36561787,0.8337475,-0.022188254
0.028617598,0.7258862,0.05928456,0.12140824,0.5498286,0.40513858,0.4549295,0.36164635,0.051299773,0.74791205,0.35810405,0.92817104,-0.18624917
-0.09647864,0.775652,0.06340562,0.11485489,0.7224988,0.4766606,0.4792699,0.49257758,0.030695986,0.7716039,0.4275595,0.9408735,-0.2412155
0.26059657,0.40914753,0.47776678,0.19834009,0.46068308,0.70908535,0.5069179,0.40884215,0.12715542,0.39391226,0.44552723,0.5305613,-0.02971036
0.29551607,0.4964131,0.35876757,0.2171334,0.3601322,0.5905427,0.5081806,0.34146178,0.15170355,0.5261841,0.45207193,0.6948217,-0.023514695
0.5354453,0.59986407,0.30695242,-0.060802586,0.13174006,0.80294585,0.44497484,0.7007687,0.03721307,0.41912436,0.49885583,1.0533506,-0.07363836
-0.43619636,1.7841418,-0.29345804,-0.20069355,1.4870341,0.64176244,0.7344425,0.7375969,-0.12302853,1.9004357,0.5458266,2.3414729,-0.7549748
0.4493103,0.41529322,0.66603565,0.14997014,0.46839568,1.0113736,0.59457266,0.6726937,0.13404252,0.28490245,0.64523745,0.6531831,-0.04098914
0.25691262,0.49443945,0.3151743,0.18848285,0.36486697,0.5851289,0.45985985,0.38922164,0.11327789,0.5211402,0.4399742,0.6742488,-0.037956573
0.01737167,0.9570315,-0.033046916,-0.13570228,0.5739823,0.53185767,0.4360007,0.46428004,-0.062323414,1.0530849,0.34953305,1.3656812,-0.35378397
-0.056663543,0.70175654,0.11741666,0.064318605,0.654903,0.4867166,0.43562073,0.4527566,0.03256107,0.7047905,0.36021778,0.85516953,-0.20172822
-0.0663109,0.6664709,0.19034222,0.17236349,0.71011955,0.56208193,0.488052,0.5132233,0.057452515,0.6151611,0.47742972,0.73866606,-0.16586354
-0.24369791,0.8376229,0.16754618,0.064739965,0.96164775,0.7080631,0.50891614,0.6566751,0.020038579,0.73761123,0.5605858,0.94376767,-0.2794203
0.1962004,0.41707173,0.59037113,0.16043335,0.609137,0.92495507,0.58079123,0.5606364,0.10604384,0.41051114,0.53378963,0.62672496,-0.09137615
0.98926616,1.1402625,0.58163655,-0.35707128,0.3038387,1.7623234,0.6981602,1.62794,0.024801312,0.5718256,1.0433899,2.178526,-0.22358748
0.46992308,0.3881633,0.6932359,0.15051717,0.43158552,1.0273196,0.59626675,0.61379033,0.14826977,0.33035624,0.6327531,0.68271184,-0.0336247
0.39184716,0.4194927,0.41781387,0.22040775,0.29739627,0.58556855,0.50948715,0.25292817,0.17698252,0.5311774,0.40306613,0.6753441,-0.0014935657
0.03652808,0.6928956,0.08665324,0.14581183,0.5428594,0.41496283,0.44851974,0.35264397,0.058789626,0.7123316,0.36442646,0.85572815,-0.16594699
0.19780679,0.3633889,0.609079,0.19009042,0.60308486,0.9148648,0.5674405,0.562234,0.09701953,0.31430972,0.5331411,0.5250844,-0.05300992
