size_D,duration_D,app,har,ifc,nlan,telonuse,t01,t03,t04,t13,Generated_Var_3,Generated_Var_5,Generated_Var_6,effort_D
1.0084089,-0.00020702183,1.4449161,1.5240395,1.5058765,1.8336289,-0.11850625,1.1040088,0.6544718,0.4652201,0.5835078,0.7536446,1.1087797,0.76692694,0.3858485
0.38649324,-0.06669256,1.0480058,0.70397764,1.480793,0.4983775,-0.1834236,0.6968441,0.0048809797,0.67363805,0.15269098,0.82537806,0.7479221,0.5513898,0.12570609
0.5060812,0.024783544,0.7629572,0.8855417,1.1970699,1.1183399,0.5508373,0.61833906,0.27602503,0.31704628,0.27271062,0.42566764,0.5746561,0.22644559,0.14237297
0.33228067,-0.0086422255,0.7797796,0.6698928,0.9511521,0.6616788,-0.09597534,0.5816821,0.21356127,0.3850174,0.28022262,0.54211605,0.63749784,0.4537521,0.12028694
0.24638847,-0.039275654,0.85195714,0.60710937,1.2038796,0.47047764,-0.12734729,0.55825007,0.028133731,0.56018186,0.19343886,0.6579846,0.58155435,0.43212768,0.09116396
0.2592098,-0.036824126,0.83100873,0.55620575,1.2116897,0.41206974,-0.13716651,0.55837536,0.010824837,0.5792316,0.15355183,0.681563,0.5993851,0.43550605,0.10502924
0.41495153,-0.016145404,0.9936715,0.8082633,1.2760497,0.68628216,-0.013182491,0.6686292,0.12186747,0.49918854,0.27822667,0.66846126,0.6710827,0.48159355,0.10792452
0.51412296,-0.004113379,0.7578678,0.8754918,1.2644322,1.0938993,0.64528096,0.61005646,0.261923,0.3261343,0.2153009,0.37248257,0.49735484,0.18264443,0.1570831
0.68093294,-0.095163636,1.6108801,1.185061,2.459363,0.86017805,-0.20038265,1.0591108,-0.16559076,1.0562506,0.11726873,1.3479298,1.105428,0.863352,0.2710873
0.5735676,0.036104377,0.7744561,0.8171733,0.8803754,1.0613339,-0.015707888,0.7153853,0.4452347,0.25253737,0.33608678,0.5241205,0.8477594,0.5563923,0.21255468
