Dataset                      Metric                   metric valor    d    t
---------------------------  ---------------------  --------------  ---  ---
../datasets_2/albrecht.arff  MAE                      11.7945         5   50
../datasets_2/albrecht.arff  Median Absolute Error     4.46802        5   50
../datasets_2/albrecht.arff  RMSE                     18.3371         5   50
../datasets_2/albrecht.arff  R2 Score                  0.735237       5   50
../datasets_2/albrecht.arff  MAE                      12.3541         5  100
../datasets_2/albrecht.arff  Median Absolute Error     4.61309        5  100
../datasets_2/albrecht.arff  RMSE                     19.3007         5  100
../datasets_2/albrecht.arff  R2 Score                  0.706682       5  100
../datasets_2/albrecht.arff  MAE                      12.5991         5  150
../datasets_2/albrecht.arff  Median Absolute Error     4.75477        5  150
../datasets_2/albrecht.arff  RMSE                     18.975          5  150
../datasets_2/albrecht.arff  R2 Score                  0.716499       5  150
../datasets_2/albrecht.arff  MAE                      12.1373         5  200
../datasets_2/albrecht.arff  Median Absolute Error     4.48092        5  200
../datasets_2/albrecht.arff  RMSE                     19.5762         5  200
../datasets_2/albrecht.arff  R2 Score                  0.698248       5  200
../datasets_2/albrecht.arff  MAE                      12.8384         5  250
../datasets_2/albrecht.arff  Median Absolute Error     4.62875        5  250
../datasets_2/albrecht.arff  RMSE                     19.953          5  250
../datasets_2/albrecht.arff  R2 Score                  0.68652        5  250
../datasets_2/albrecht.arff  MAE                      12.6584         5  300
../datasets_2/albrecht.arff  Median Absolute Error     4.97427        5  300
../datasets_2/albrecht.arff  RMSE                     19.4577         5  300
../datasets_2/albrecht.arff  R2 Score                  0.701889       5  300
../datasets_2/albrecht.arff  MAE                      12.2882         6   50
../datasets_2/albrecht.arff  Median Absolute Error     4.71724        6   50
../datasets_2/albrecht.arff  RMSE                     20.7759         6   50
../datasets_2/albrecht.arff  R2 Score                  0.660131       6   50
../datasets_2/albrecht.arff  MAE                      11.6439         6  100
../datasets_2/albrecht.arff  Median Absolute Error     5.64322        6  100
../datasets_2/albrecht.arff  RMSE                     18.2702         6  100
../datasets_2/albrecht.arff  R2 Score                  0.737168       6  100
../datasets_2/albrecht.arff  MAE                      12.4366         6  150
../datasets_2/albrecht.arff  Median Absolute Error     4.61016        6  150
