size_D,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t08,MI_size_D_t10,MI_size_D_app,MI_size_D_t15,MI_size_D_ifc,MI_size_D_dba,effort_D
0.143335192414947,0.0377607992947399,0.143335192414947,0.047778397471649,0.1032128514056224,0.047778397471649,0.0,0.095556794943298,0.0,0.143335192414947,0.0075898020947219
0.1670384829894032,0.0528063473405818,0.1670384829894032,0.1113589886596021,0.1804216867469879,0.1670384829894032,0.1804216867469879,0.2227179773192042,0.1670384829894032,0.1670384829894032,0.1154790765476699
0.0228667038482989,0.0006024096385542,0.0076222346160996,0.0152444692321992,0.0,0.0076222346160996,0.0246987951807228,0.0228667038482989,0.0228667038482989,0.0228667038482989,0.0041514157595347
0.0574456218627997,0.0060534822215691,0.0191485406209332,0.0382970812418664,0.0206827309236947,0.0574456218627997,0.0,0.0382970812418664,0.0574456218627997,0.0574456218627997,0.0276813867630048
0.2810931399888455,0.0888627681457537,0.1873954266592303,0.1873954266592303,0.3036144578313253,0.1873954266592303,0.2670359624121549,0.1873954266592303,0.2810931399888455,0.2810931399888455,0.3278192391183787
0.0934188510875627,0.0196885101381134,0.0934188510875627,0.0622792340583751,0.0336345381526104,0.0622792340583751,0.1009036144578312,0.0934188510875627,0.0934188510875627,0.0934188510875627,0.0576920029788784
0.0828220858895705,0.0174551866000587,0.0276073619631901,0.0552147239263803,0.0,0.0552147239263803,0.0894578313253011,0.0828220858895705,0.0828220858895705,0.0828220858895705,0.035540555529147
0.0448968209704406,0.0272039377020276,0.0299312139802937,0.0448968209704406,0.0484939759036144,0.0448968209704406,0.0484939759036144,0.0299312139802937,0.0448968209704406,0.0448968209704406,0.1067484273739918
0.0886781929726715,0.0467234792829856,0.0886781929726715,0.0591187953151143,0.0957831325301204,0.0295593976575571,0.0957831325301204,0.0591187953151143,0.0886781929726715,0.0886781929726715,0.1353488298394891
0.3159509202453988,0.4161769027328827,0.3159509202453988,0.1053169734151329,0.3412650602409638,0.0,0.3412650602409638,0.1053169734151329,0.3159509202453988,0.4526743582600434,0.1793189776742564
0.0370886781929726,0.0087937114310902,0.0123628927309908,0.0123628927309908,0.0400602409638553,0.0247257854619817,0.0,0.0247257854619817,0.0370886781929726,0.0370886781929726,0.0588962304511099
0.1926938092582264,0.0862988539523949,0.1284625395054842,0.0642312697527421,0.0693775100401606,0.0,0.2081325301204819,0.0642312697527421,0.1926938092582264,0.1926938092582264,0.0565194657032846
0.0167317345231455,0.0013223626212165,0.0,0.011154489682097,0.0120481927710842,0.0055772448410485,0.0158949977626282,0.0,0.0167317345231455,0.0167317345231455,0.0050228961670707
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0560513106525376,0.0221495739053775,0.037367540435025,0.037367540435025,0.0605421686746987,0.0186837702175125,0.0,0.037367540435025,0.0560513106525376,0.0560513106525376,0.0314049848679311
