Transactions,Entities,PointsAdjust,Envergure,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_ManagerExp,MI_Entities_Language,Effort
0.27303508,0.52927864,0.45659858,0.81086266,0.33249477,0.32667655,0.47048357,0.1275659,0.34778935,0.61177546,0.6816106
0.212568,0.30059484,0.2806726,0.6722274,0.112373255,0.21410574,0.2709082,0.04738883,0.22214696,0.39931622,0.42639548
0.066017024,0.19445027,0.09789848,0.11741045,0.009188028,0.030805737,-0.033037193,-0.004570655,-0.009795766,0.17305163,0.10579765
0.07688393,0.09041188,0.05441236,0.29306412,-0.02016129,0.03261056,-0.007598892,-0.003686333,-0.011063436,0.13407782,0.046195455
0.21762586,0.16016433,0.18926404,0.35269547,0.0023721145,0.03029108,0.0738985,0.021849815,0.12959924,0.06869575,0.068421565
0.104400426,0.12977622,0.09103293,0.34681195,-0.00686705,0.064244635,0.01114437,-0.0013529863,0.08596587,0.1463602,0.08195778
0.20238848,0.4498309,0.30309638,0.7203855,0.17057422,0.2888832,0.2814021,0.034849413,0.107473895,0.60898286,0.19994013
0.096431196,0.92679435,0.34153116,0.38093704,0.43726692,0.23107025,0.1610309,0.030814528,0.28340518,0.7925969,0.25740293
0.12638116,0.06477412,0.10210267,0.43874204,-0.03358983,0.06334441,0.02258683,0.0029578395,0.00036862306,0.06973578,0.062272526
0.18354657,0.33286542,0.23983636,0.5034022,0.07888899,0.2038195,0.15768945,0.039535105,0.12265633,0.4282936,0.12931748
0.011650026,0.048703887,-0.0010071583,0.4266705,-0.032537483,-0.008084528,-0.008466857,-0.038407475,-0.041734964,0.106142215,0.048941568
0.16110244,0.18595281,0.13741925,0.8116061,0.0065132943,0.10943345,0.13450827,0.019629676,0.06580751,0.22565351,0.17841066
0.11363792,0.36434868,0.20671615,0.50135946,0.081090905,0.1562219,0.12514232,-0.00016565621,0.06125245,0.41700673,0.105811074
0.23493537,0.16879512,0.20170796,0.5140541,0.023987424,0.17883189,0.14755319,0.04022617,0.06159207,0.23899193,0.17155108
0.08022635,0.14365566,0.07826358,0.3667156,0.00014063483,0.057391703,0.0024659522,0.0019963654,0.045463733,0.20551954,0.061677836
0.021457694,0.20388277,0.09644685,0.41502106,0.020047331,0.041867144,0.034021884,-0.01716019,-0.002138799,0.24063005,0.10521569
0.046741657,1.2250476,0.38069597,0.23829146,0.6408623,0.20492448,0.12498769,0.050952245,0.3629762,0.90717167,0.3631778
0.26306504,0.21662107,0.23514983,0.50598645,0.033458736,0.19169118,0.16806424,0.06508293,0.058874693,0.25561056,0.15201707
0.10520697,0.13416314,0.08765649,0.3959905,-0.004697985,0.061701335,0.008562904,0.0057944963,0.07323903,0.19601832,0.06348774
0.18968607,0.40550366,0.2418807,0.65702665,0.119664386,0.22198534,0.18006685,0.026320968,0.078210466,0.5265436,0.10803179
0.2550512,0.4355143,0.35142478,0.78891206,0.21183586,0.3032413,0.338543,0.06680366,0.17805578,0.58002985,0.3244975
0.16010046,0.15554495,0.12599364,0.54036385,0.0064611365,0.1274156,0.07627558,0.02459342,0.06375119,0.23542611,0.12243111
0.06467273,1.1431036,0.35629937,0.5526803,0.55619645,0.26275143,0.2624879,0.014448435,0.22587597,0.9900549,0.17042413
0.1525555,0.2974493,0.19480884,0.6109741,0.057229023,0.16541854,0.12747931,0.020307466,0.15728116,0.3857809,0.18232374
0.21581288,0.14306022,0.17175272,0.36280352,-0.007702387,0.08741275,0.075256124,0.027819145,0.1596538,0.10931304,0.13036576
0.25953174,0.19219829,0.207002,0.5465987,0.023590012,0.18436757,0.15058954,0.04958696,0.06288333,0.24208738,0.18175541
