size_D,duration_D,app,telonuse,t08,t10,effort_D
0.20099404,0.13856205,0.05570776242922375,0.64923126,0.07251744,0.7026192,0.22292423
0.18429114,0.14412233,0.052189299781070016,0.6659466,0.104158744,0.7101488,0.22306515
0.24480179,0.13794777,0.07636315236368475,0.6279458,0.08089967,0.6959982,0.2849867
0.19909084,0.27097872,0.20666082933391705,0.47580498,0.2089069,0.5106262,0.26853704
0.13170582,0.1913026,0.22130932786906718,0.5612538,0.24563424,0.5376185,0.14664228
0.36577404,0.24748564,0.19622990037700996,0.5403311,0.19793315,0.54452735,0.38624334
0.11662179,0.07423107,0.0403506559649344,0.7222921,0.0866041,0.75898975,0.11167256
0.1469526,0.113539204,0.059628138037186196,0.6523416,0.07344045,0.7707128,0.20258735
0.11108193,0.0021393895,0.061219463878053604,0.8095306,0.10723697,0.7926898,0.037275642
0.3731173,0.1872082,0.12417906758209322,0.70963544,0.16252811,0.76481026,0.35802585
0.14864692,0.12049367,0.05321888067811193,0.6297964,0.06993072,0.7410724,0.22828439
0.07878828,0.044005923,0.031000327899967206,0.69590795,0.03935136,0.7536706,0.11787416
0.19011903,0.12321769,0.0399538690046131,0.6932913,0.07653172,0.7818555,0.25611633
0.19466104,0.15518954,0.06418544858145514,0.66031456,0.11447106,0.7647536,0.25576833
0.11178139,0.096967146,0.03340266265973373,0.63469136,0.049577847,0.71971685,0.19324374
0.09771784,0.055763867,0.04112271588772841,0.7021804,0.06295909,0.76519895,0.13350648
0.22982705,0.13149521,0.05208913479108652,0.63212556,0.064075395,0.6970998,0.2729308
0.43022254,0.28765056,0.20611726938827304,0.5611791,0.2081768,0.56615657,0.47326344
0.15485846,0.16862325,0.099936010006399,0.6191158,0.1386628,0.69316745,0.20672768
0.15142407,0.14710726,0.06423450357654963,0.6096825,0.09309213,0.67637396,0.21804817
0.39617565,0.21574202,0.15297022470297753,0.7889612,0.16212095,0.8907592,0.35149428
0.1615881,0.13537076,0.03891031010896899,0.63603926,0.062281862,0.7219426,0.22278522
0.15127012,0.14813927,0.10433283956671605,0.66611606,0.14447095,0.74903846,0.1857561
0.15841526,0.14320743,0.04893545310645469,0.62138915,0.089445755,0.6914166,0.23204127
0.13141605,0.11219317,0.032862078713792126,0.6133708,0.04864253,0.70784867,0.22327304
0.38332626,0.3284526,0.22781073721892625,0.48581135,0.24127086,0.4743795,0.4349521
0.050425664,0.059253,0.11114022488597751,0.72184587,0.117838785,0.7623932,0.05099982
0.18735139,0.13824868,0.02430118356988164,0.65451145,0.06205906,0.70913637,0.24911365
0.48107272,0.37563503,0.3553113644688635,0.5041348,0.39113772,0.53071415,0.5174892
0.15629393,0.13683188,0.0704406879559312,0.62992567,0.0974666,0.7768984,0.2543086
0.1419014,0.13608792,0.04324055767594423,0.64018416,0.08176507,0.73026675,0.21919587
0.20909378,0.20227793,0.13599750640024935,0.5603155,0.16875051,0.6250178,0.24731195
0.25784856,0.13915154,0.04417518858248114,0.7455649,0.08358,0.8160322,0.28590238
0.42128876,0.3326012,0.2760361123963887,0.4620211,0.27164567,0.45040458,0.4527126
0.16451809,0.1714426,0.061833539816646015,0.5827669,0.1024939,0.64936846,0.24527514
0.31245527,0.15690894,0.08244500175549982,0.7868397,0.08478989,0.83599085,0.28808516
0.27554953,0.2548723,0.19540691045930894,0.48898673,0.21511365,0.49987322,0.314344
0.18170005,0.12767701,0.06347651365234863,0.6897487,0.09748666,0.75387836,0.21011026
0.20619032,0.15809736,0.08464796153520385,0.6253587,0.099765524,0.6613478,0.23836967
0.17185086,0.10052258,0.04220686577931342,0.6892368,0.0750014,0.7352076,0.20451374
0.8038798,0.79422307,0.8518793148120685,0.14229113,0.913306,0.13566402,0.7996993
0.14041787,0.13673732,0.06501776849822315,0.62625647,0.096804515,0.719002,0.20670584
0.17688978,0.20180261,0.12354469764553024,0.5763121,0.1722079,0.6057201,0.21497464
0.29093745,0.14775945,0.10050383994961601,0.7775279,0.13474955,0.79835093,0.2325905
0.16352005,0.0594721,0.0404688529531147,0.7777581,0.09494133,0.85292363,0.14628357
0.17167443,0.10483861,0.05426497257350274,0.68690026,0.1066183,0.7293829,0.16950656
0.17242628,0.099129155,0.06817574318242567,0.65500003,0.069270775,0.7182542,0.23126435
0.19010362,0.10164986,0.03489531251046875,0.7307649,0.060124412,0.7529638,0.14813766
0.19973305,0.16420236,0.09377662062233794,0.56391513,0.10369025,0.6249624,0.26942143
0.08620403,0.061206043,0.012464804753519524,0.67381155,0.029039457,0.7193321,0.13043553
0.3275799,0.081480876,0.0896709910329009,0.9177027,0.10135646,0.9521867,0.21720697
0.10683639,0.060756,0.02596382540361746,0.6886903,0.0566902,0.75481033,0.13896774
0.49416056,0.5098629,0.508843489115651,0.30518362,0.5300596,0.27699038,0.49222404
0.24380568,0.06691668,0.08662659533734046,0.8786447,0.13603757,0.9167833,0.14668752
0.20835686,0.23786831,0.1517676148232385,0.5144135,0.16469096,0.5369649,0.27500015
0.19497517,0.1418034,0.0803601519639848,0.58743316,0.07183106,0.6687048,0.27826238
0.25663865,0.1402495,0.03323132967686703,0.74855006,0.028866366,0.82925195,0.28604096
0.13494168,0.13634777,0.07687402231259775,0.6002151,0.08997895,0.6830616,0.21053664
0.22745168,0.21289024,0.1102993529700647,0.56616116,0.12815355,0.6092089,0.30983865
0.23975778,0.14725912,0.04968691903130809,0.7126431,0.07017182,0.7677065,0.26486823
0.12803382,0.16277476,0.11248433875156612,0.59721553,0.1573836,0.63364786,0.17697553
0.110374205,0.084628776,0.041354875864512405,0.64456093,0.05091466,0.7420643,0.18889897
0.48178983,0.4986316,0.4336424066357593,0.36613145,0.41806346,0.36182505,0.5185976
0.5005183,0.2336596,0.202699119730088,0.7763959,0.2609762,0.8129127,0.46162367
0.1244025,0.10446863,0.03330792166920783,0.6770754,0.06947021,0.7477789,0.16338804
0.39131775,0.3868344,0.31630864836913514,0.38527924,0.31666273,0.39286128,0.45216408
0.12852825,0.15124229,0.08368361663163833,0.6041596,0.09702717,0.67994994,0.19805302
0.09491423,0.083057456,0.06475664352433565,0.69416386,0.10263477,0.7143809,0.0897561
0.14231816,0.13595638,0.0493923820607618,0.6066475,0.06910439,0.6933027,0.22198533
0.27063847,0.14886242,0.03316057868394213,0.7192937,0.07113184,0.7825389,0.31333616
0.17453565,0.1425739,0.03669128933087106,0.6420263,0.046816543,0.73180485,0.28269792
0.22947711,0.12116423,0.06700546329945366,0.74895155,0.10648142,0.8235513,0.24077962
0.24624446,0.28317612,0.15946963405303657,0.48359036,0.1870885,0.50156075,0.3119793
0.17983481,0.14373137,0.06304410969558902,0.66592205,0.09165539,0.7351193,0.22399703
0.17197439,0.1549735,0.06825707317429268,0.5952902,0.08386411,0.6603112,0.24660209
0.14060724,0.14454433,0.06158233384176661,0.6136848,0.08811034,0.69120604,0.21508859
0.14792773,0.14919147,0.07703421229657877,0.6320954,0.110982046,0.6902418,0.19527343
0.51093704,0.56658167,0.5220483477951652,0.29313013,0.547139,0.3127218,0.544174
0.17445621,0.16287264,0.06602404339759566,0.57437587,0.098999485,0.6421778,0.24064726
0.1254138,0.10421497,0.048986565101343485,0.61968917,0.05269794,0.67914736,0.19164044
0.18456444,0.10536153,0.021490139850986013,0.67941916,0.0459065,0.73543626,0.22181329
0.21536517,0.16277283,0.07025075697492429,0.6112528,0.10387401,0.6539078,0.2846487
0.17023763,0.13279435,0.0719013588098641,0.6571168,0.119097665,0.7396169,0.22086996
0.28819108,0.16108184,0.0505850709414929,0.7191403,0.07517348,0.81183004,0.31996992
0.22065166,0.14783987,0.03130335686966431,0.67560714,0.07694535,0.7269876,0.27638698
0.3142931,0.14074111,0.03777096622290338,0.74528986,0.08248584,0.8194262,0.30321372
0.26745063,0.060798846,0.046004245399575455,0.89218116,0.06418724,0.8993861,0.16281003
0.10805568,0.12629098,0.059258679074132084,0.62988454,0.09288593,0.6865164,0.15683423
0.17421216,0.031185076,0.04628006537199346,0.8344449,0.0859655,0.8339229,0.09431311
0.14323504,0.14494461,0.05630753436924656,0.6043151,0.08252634,0.68120897,0.21535295
0.14612602,0.1504072,0.07168821283117871,0.61009634,0.10178636,0.6826667,0.23457539
0.16439304,0.11721298,0.02923331907666809,0.65010285,0.042342797,0.7406589,0.22430885
0.15945935,0.13864917,0.04954869504513049,0.6271229,0.07595073,0.72044957,0.22356364
0.14701226,0.14225715,0.09837792016220798,0.6486283,0.12152578,0.6960492,0.1642306
