AFP,Dev.Type,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_NPDR_AFP,MI_N_effort_Enquiry,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Changed,MI_N_effort_Output,MI_AFP_PDR_AFP,Effort
0.0804405698892625,0.7765096083859624,0.0583437306001981,0.0704803211663533,0.103209874216871,0.0643399367533056,0.113908479367397,0.1090628885034831,0.1272977575580871,0.0537429113097389,0.0444059131949263,0.2100425798457761,0.2046087500790603,0.094195976888539,0.046177646856404,0.0437143853333316
0.2064110674673545,0.8863165623283982,0.4290908125978216,0.1818593036782205,0.7088985155971187,0.3266000973492734,0.7630905970977648,0.716914259135122,0.7662317897506751,0.1775710877398759,0.3599568127931962,0.5771892619093216,0.6087501153127362,0.1246217376812968,0.3709700978658884,0.3662832960086253
0.1971239013292908,0.852848159837422,0.1063122337923831,0.0679319943660634,0.122523806928293,0.0438164351424069,0.1130560969748666,0.1086420633774153,0.1175410922371287,0.0573558803840511,0.0391485976439781,0.2653419420975114,0.2045593320612619,0.139488791627575,0.1101253780785116,0.0964595906369104
0.2202210945226119,0.7694807114934621,0.0809479080460975,0.1139938008841742,0.0627245211818393,0.1377855524851446,0.0721533064155237,0.0590167596877889,0.0734203418957053,0.039055923267789,0.0426640925837374,0.3155873102488816,0.1840094206366693,0.1606236381443933,0.0791732546096776,0.0706766346676891
0.0575643794255853,0.817228748429231,0.0221223281382824,0.102737529093793,0.0758774677650913,0.0752014592989986,0.0622721054368877,0.0674839929546531,0.0638209775901492,0.0411678010563725,0.0515694507952992,0.2406256236707742,0.1063499222471324,0.1610397655881096,0.026231594323624,0.0192016048663556
0.2796271636018779,0.8010661734829881,0.132193620418357,0.0980411987254228,0.1177790542017401,0.1144271312948368,0.1147230357351373,0.1130836319263217,0.1186555426076834,0.0934857179533728,0.0919941668524053,0.3324690289142756,0.2598801293745458,0.1424597512554206,0.1266418731702133,0.1166024853373409
0.1529510426794734,0.829992416939532,0.1121119929735355,0.0610547969414491,0.1067450672484745,0.1244417647138777,0.1444079290493171,0.1197297523476884,0.158822366525605,0.0590110164746337,0.0510036777895628,0.2050128786235312,0.2549354757418617,0.1264015087442268,0.0915912088710915,0.0769956837015238
0.4153176347619538,0.7917500376196023,0.1875791749895654,0.1316551490361748,0.1323139181986115,0.1497343989407124,0.1502694149767313,0.1353446862134812,0.1622933083648638,0.1594766883518475,0.1013327253162295,0.3655226963462865,0.381313570186479,0.1814173566576245,0.1627737458356869,0.152299365405484
0.2970334861557261,0.6854614090780755,0.2288847233990978,0.2346093606635548,0.179170711514514,0.3170977412685456,0.1836730567215681,0.1629506461877229,0.1894870906459277,0.0815825808752792,0.214337939939812,0.3664837297743958,0.2590870484335726,0.2490038233210194,0.2138348573358518,0.218892926847855
0.2225106271283875,1.0,0.1251281994478064,0.089088537203674,0.1088858012465584,0.1191707167309575,0.1180200051838959,0.0969790199043972,0.1142647616091501,0.0449816535419775,0.0582916333309551,0.2042085362197551,0.2844178820937211,0.2235192195260016,0.1258767761517952,0.1086172463610388
