size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,dba_Sequential,ifc_GUI,ifc_TextUI,source_Inhouse,source_Outsrced,telonuse_No,telonuse_Yes,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,False,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,4150
