YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Effort
85,253,52,305,34,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,5152
86,197,124,321,33,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,5635
85,40,60,100,18,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,805
86,200,119,319,30,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3829
86,140,94,234,24,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2149
86,97,89,186,38,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2821
85,119,42,161,25,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2569
83,186,52,238,25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3913
85,172,88,260,30,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,7854
83,78,38,116,24,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,2422
84,167,99,266,24,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,4067
84,146,112,258,40,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,9051
84,33,72,105,19,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2282
85,162,61,223,32,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,4172
85,223,121,344,28,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,4977
85,119,48,167,26,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1617
85,57,43,100,43,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,3192
86,68,316,384,20,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,3437
87,9,386,395,21,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,4494
86,58,34,92,29,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,840
86,318,269,587,34,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,14973
85,88,170,258,34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,5180
86,306,132,438,37,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,5775
87,304,78,382,39,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,10577
86,89,200,289,33,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3983
85,86,230,316,33,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,3164
86,71,235,306,37,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3542
85,148,324,472,39,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,4277
