size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t02,t03,t04,t05,t06,t07,t08,t10,t11,t12,t14,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_9,Generated_Var_12,effort_D
0.31554013,0.35677838,0.75006837,0.76069283,0.89666104,0.8223158,1.4461219,0.5178384,0.028439026,0.58390605,0.21428025,0.4035919,0.6274071,0.64888597,0.4929388,0.22800936,0.5809861,0.6367423,0.87756187,0.5564724,0.463423,0.47008517,0.31169719,0.53389883,0.31301033,0.0058381124,0.2797992,0.19552216
0.2889036,0.49322543,1.3660105,1.3798131,1.6182368,1.9334092,3.1755006,0.26852754,-0.54829955,1.4634992,-0.3744239,0.6696525,0.9480299,1.1873237,0.53132653,0.59245014,0.7310377,0.936934,1.5632873,1.2125149,0.030943971,0.61196,0.03987776,0.7149448,0.9842508,-0.116161756,0.6437975,0.2915679
0.32372868,0.3582517,0.7857788,0.8214851,0.9427734,0.95199823,1.6414391,0.59426045,0.13605575,0.6357582,0.15265903,0.4565897,0.6873839,0.718095,0.5166615,0.27392435,0.60989624,0.740047,0.9171038,0.5935743,0.5139074,0.5163251,0.26294637,0.62117827,0.32564563,-0.06944795,0.28819394,0.22525832
0.5493796,0.4338777,0.8070364,0.8493212,0.96886957,0.6871816,1.6215708,1.0593075,0.64328545,0.4225484,0.36803576,0.34849986,0.9081807,0.70960927,0.7671308,0.26115832,0.777674,0.9995963,0.98568594,0.3645011,0.93251103,0.80572,0.559751,0.79856664,0.06993104,-0.06495313,0.21424033,0.32860538
0.13692921,0.10786058,0.4386444,0.63117564,0.84215975,0.73221326,1.0602331,0.3069914,-0.022007763,0.59990925,0.20889387,0.39142257,0.5171932,0.6925473,0.37189883,0.09188237,0.48229176,0.42546043,0.7252756,0.7261755,0.29999954,0.24303173,0.43148106,0.32660758,0.5399945,0.2871059,0.54856765,0.013818743
0.1670281,0.09469116,0.37672037,0.5488219,0.7907211,0.5769376,0.85310924,0.33592767,0.009412711,0.489263,0.29560456,0.33103552,0.52278024,0.6127863,0.35785732,0.005856878,0.47028026,0.40251142,0.68129337,0.6468256,0.35281393,0.24004239,0.4889789,0.29546297,0.47174028,0.3159304,0.52166724,-0.005504026
0.1944376,0.2882971,0.69447887,0.69116384,0.8253701,0.83778036,1.2692839,0.24730766,-0.2259399,0.6519739,0.15558504,0.3972766,0.48009002,0.6099481,0.40520206,0.24504712,0.5078059,0.41507155,0.81393886,0.62071174,0.24571945,0.28698042,0.28092465,0.3927827,0.46288362,0.121870264,0.34614295,0.11094854
0.41189295,0.41148788,0.8854723,0.9209265,1.0262986,0.9916347,1.8931258,0.7717155,0.242777,0.63328874,0.15683271,0.46942183,0.8047204,0.7424408,0.6070294,0.32629544,0.66780376,0.896544,1.0227823,0.550824,0.6248026,0.67090267,0.2570385,0.72580343,0.2937293,-0.14557464,0.25477067,0.3091053
0.15477307,-0.032604814,0.27541158,0.64377314,0.99274313,0.5786857,0.93375856,0.45252267,0.20220535,0.5271343,0.39867488,0.35400108,0.66064095,0.80739635,0.4318972,-0.05194531,0.5531964,0.52099115,0.780389,0.835962,0.47529694,0.286887,0.68861395,0.33329016,0.6371418,0.51627684,0.783694,-0.081950895
0.47747612,0.48192915,0.9314042,0.9268524,1.0723193,0.94451165,1.9130563,0.90612024,0.33717006,0.56559646,0.27835402,0.47204173,0.8721539,0.75546986,0.65954345,0.31129152,0.7619934,0.95899016,1.0894183,0.5008022,0.76449007,0.7503832,0.35755932,0.7898508,0.22752623,-0.16764507,0.24291557,0.35597295
0.25843403,0.40465966,1.0724062,1.0509061,1.2200874,1.3898714,2.2582705,0.29683018,-0.3744535,1.0503341,-0.09420291,0.5390559,0.70463514,0.8790224,0.46221215,0.44111368,0.6104804,0.69944143,1.2036251,0.86461186,0.18034732,0.48256683,0.089155614,0.5658885,0.6991621,-0.04370799,0.45502353,0.23146689
0.39683962,0.22613472,0.51198053,0.6823562,0.88921076,0.46558002,1.1591905,0.7821628,0.46746543,0.36110896,0.3983969,0.3066322,0.7756859,0.6519431,0.5978418,0.032026686,0.6653246,0.780378,0.85270226,0.44980952,0.76413345,0.57673764,0.6130655,0.56198925,0.16302086,0.08481255,0.3354752,0.16238159
0.5469047,0.06579648,0.39205402,0.8427539,1.3851515,0.10364576,1.1081496,1.1058129,0.7428769,0.39205313,0.86629415,0.27881518,1.1921698,0.93827426,0.7480363,-0.3609759,0.9990718,1.0377473,1.145595,0.78305256,1.1711063,0.7426634,1.2775334,0.58430296,0.4191636,0.49291056,0.84710217,0.018934175
0.20483352,0.28454188,0.79751784,0.88581973,1.0069826,1.0851758,1.7687165,0.23486407,-0.27562097,0.8345853,-0.02159496,0.45997003,0.59153336,0.76841044,0.41467375,0.29920256,0.53413266,0.5589511,0.9693002,0.7881035,0.1728478,0.34591135,0.2075939,0.45116568,0.61166734,0.030742446,0.43420112,0.12792258
0.1950926,0.034140095,0.32857448,0.5526933,0.90340525,0.4736941,0.80190265,0.38246402,0.04064364,0.4742205,0.42883936,0.31444535,0.62070787,0.6651085,0.40110245,-0.09151051,0.53680277,0.42293206,0.75668216,0.74327314,0.4134633,0.23637725,0.7039008,0.2616492,0.56777716,0.47471878,0.6994692,-0.07906508
0.13478911,0.022961354,0.31796977,0.5687698,0.8716784,0.56673485,0.86547273,0.28585145,-0.026183408,0.5458597,0.3023239,0.3466362,0.55226386,0.68642217,0.36314422,-0.024132501,0.4823745,0.36352143,0.71386546,0.77239305,0.31192988,0.18302605,0.60036,0.2383444,0.6136796,0.46740505,0.69039774,-0.064043805
