AFP,Input,Output,Enquiry,File,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Effort
0.006296398,0.006693814,0.022857409,0.03302393,0.020806003,0.013944417,0.061337225,0.037289925,0.061721776,0.053475797,-0.042259112,0.027711114,0.6607254,0.70896757,0.9087261,0.7443895,0.85242397,0.38390112,0.18762888,0.07873327,0.010690905
0.026778895,0.026334245,0.10548927,0.029412664,0.031400166,0.02791926,0.08825005,0.05794161,0.09926039,0.08308878,0.0655101,0.11534845,0.60750204,0.79121995,0.88557905,0.82190216,0.87896293,0.27276823,0.14123872,0.08247786,0.09683968
0.028914856,0.02290354,0.0754353,0.027369257,0.050691575,0.024972567,0.06866178,0.054060098,0.059530687,0.052775674,0.040573522,0.090675876,0.5589383,0.83983064,0.85425544,0.85747576,0.9043089,0.19557899,0.093262225,0.06437814,0.08367844
0.016183648,0.015614307,0.017550983,0.109391056,0.024589919,0.019266373,0.07164397,0.06082147,0.05728021,0.05621583,0.08480529,0.045905437,0.5646773,0.8893818,0.84176177,0.8903465,0.94968545,0.16699545,0.105503544,0.08426376,0.037088677
0.005073904,0.0043133534,0.016935688,0.025389131,0.037054352,0.011766557,0.22068617,0.17889649,0.20620705,0.18827558,0.04266859,0.058040377,0.58599615,0.8398539,0.86162436,0.87582886,0.92240006,0.22842358,0.10534984,0.05905938,0.03935971
0.032436725,0.02514211,0.048968077,0.13029414,0.029291019,0.042675935,0.27747023,0.2531091,0.23641309,0.24450238,0.18196599,0.29947567,0.5140946,0.92129433,0.8491504,0.9168334,0.9571237,0.12041354,0.061928168,0.05834943,0.26487672
0.035090774,0.033563167,0.10424492,0.08729872,0.032945864,0.037715748,0.17447035,0.1448358,0.1571012,0.14987823,0.10929363,0.22482659,0.59567684,0.7864069,0.8621322,0.8109305,0.8745432,0.25225967,0.12627959,0.073564105,0.19741292
0.0033110678,0.010445951,0.00075175613,0.057369415,0.019975107,0.013428599,0.1093396,0.08647631,0.09193767,0.08154846,0.085122064,0.032780528,0.54074216,0.9010924,0.84025246,0.9036651,0.9421711,0.13885486,0.08196955,0.07103337,0.026852246
0.030910645,0.03409026,0.17892604,-0.009415983,-0.009746674,0.03087156,-0.00944742,-0.012463219,0.013120825,0.012475695,0.07010585,0.06004448,0.6673843,0.6648109,0.87039804,0.7155722,0.80935603,0.38962477,0.20486708,0.10982623,0.042065058
0.013365263,0.008865794,0.018336572,0.057454295,0.031045076,0.0174674,0.09731993,0.07073797,0.08345174,0.07289609,0.03677444,0.052304022,0.59697413,0.75546354,0.869253,0.78336924,0.85562795,0.28825065,0.13492072,0.064700834,0.043287035
-0.0014073309,-0.0059700646,0.048877656,0.015502334,-0.0069112736,-0.00067744777,0.14153168,0.108937025,0.14554085,0.13519701,0.009913089,0.015604179,0.5653861,0.86559683,0.87332976,0.89725035,0.93798697,0.20096229,0.09424245,0.0629794,0.002680907
0.02111429,0.0089044105,0.078975886,0.083672106,0.014024003,0.025168361,0.05133852,0.035880458,0.0131858215,0.006346738,0.049121454,0.008480884,0.5622488,0.92173505,0.8500303,0.9393907,0.98262733,0.14674322,0.077968955,0.07160007,0.012917709
0.042185493,0.026344907,0.021484751,0.29490298,0.039621953,0.04471132,0.039801657,0.045189176,0.031868447,0.039965384,0.07552365,0.02825253,0.7069236,0.71869516,0.9085089,0.7333695,0.90348744,0.39736518,0.20578562,0.10127656,0.021627046
0.0062799808,0.010225661,0.027917445,0.0060701417,0.013632097,0.013160599,0.27188706,0.21885127,0.2717602,0.24730833,0.032094218,0.028661996,0.5874052,0.8006955,0.86200786,0.82467866,0.89061683,0.26331317,0.123961024,0.06268943,0.011627447
0.009101418,0.014560899,0.025766883,0.087440714,0.002647724,0.0046604704,0.06535819,0.049857993,0.07674701,0.07052465,0.049740963,0.019860342,0.60825026,0.75541794,0.8555545,0.77525026,0.85230047,0.28990525,0.15131296,0.081903934,0.011170305
0.03159936,0.015480462,0.07376572,0.20889094,0.015578295,0.034276105,0.0454608,0.025102053,0.018639274,0.0056121275,0.11279497,0.016812595,0.5640415,0.93008906,0.83985037,0.9401799,0.98949206,0.1328186,0.07736542,0.07785011,0.016315151
0.004056478,0.004546009,0.030507265,0.020526484,0.017588273,0.011166476,0.100354955,0.0766415,0.08873782,0.07751744,0.08456808,0.037340384,0.6472763,0.76324064,0.91047746,0.7926675,0.8955456,0.3428402,0.1693539,0.0793523,0.025942955
0.015719898,0.016010337,0.04231992,0.0634883,0.027999803,0.026955096,0.04433991,0.03801182,0.028522976,0.028809434,0.11764272,0.02887934,0.62979853,0.76174957,0.87457347,0.7892294,0.8748748,0.3109436,0.15922964,0.082844585,0.022209637
0.011011453,0.008746052,0.041137423,0.045398466,0.019990537,0.020271713,0.07285213,0.06268738,0.05546325,0.054366626,0.052580215,0.040113743,0.6746369,0.6954602,0.9013295,0.7261471,0.85149866,0.40205556,0.19796059,0.08618641,0.02792485
