TeamExp,Transactions,Entities,PointsAdjust,Envergure,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Effort
0.32222897,0.10238244,0.61139333,0.21110524,0.570246,0.17619365,0.63784444,0.63118285,0.35000274,0.20107979
-0.038829327,0.16892354,0.120127454,0.059088096,0.3919584,0.15538411,0.82885355,0.8051957,0.17571086,0.17901638
0.67642295,0.13613999,0.20046365,0.093498796,0.3590527,-0.015470971,0.5906543,0.6196151,0.30160642,0.15271166
0.17248484,0.2322893,0.16730003,0.124827445,0.5641563,0.2622284,0.9550108,0.82748914,0.181425,0.18365875
0.38950938,0.14865305,0.10337615,0.058473013,0.33579844,0.03596067,0.77142084,0.7637399,0.1763525,0.15970194
0.017916977,0.20913632,0.17619258,0.12509793,0.41997817,0.23922256,0.7646834,0.69129556,0.26983932,0.15424426
0.22155932,0.13750404,0.11527506,0.042751614,0.36888087,0.19341996,1.0289282,0.9664917,0.062218755,0.14428973
0.8934251,0.31690276,0.27430323,0.21958429,0.67449284,0.022605024,0.11439049,0.15006867,0.72398347,0.4659035
0.23479488,0.24645357,0.15088694,0.13792738,0.5522127,0.05765968,0.6208981,0.6138759,0.310521,0.2592728
0.45857024,0.19035088,0.39484438,0.17003503,0.119756244,0.04215096,0.8484582,0.80481184,0.14365259,0.15424536
0.68179786,0.1102407,0.14160122,0.054754652,0.2899725,0.023375075,0.69950867,0.7031526,0.19268139,0.12963912
0.5155269,0.23157673,0.35324168,0.23669524,0.6992933,0.111556776,0.5036726,0.5190011,0.39024258,0.2414788
0.7466334,0.26112595,0.45340398,0.2756748,0.7457975,0.027906468,0.4706982,0.4469711,0.46293005,0.38161543
-0.012018099,0.280498,0.13016844,0.15995613,0.48753184,0.17173824,0.649286,0.62509656,0.35329604,0.23751247
0.056865193,0.2617377,0.22194871,0.1790756,0.4680339,0.2084649,0.5180586,0.50639206,0.40512577,0.23695308
0.71369916,0.26398835,0.42539656,0.28722513,0.7055929,0.05779468,0.45986614,0.44023153,0.43295765,0.29562727
0.5477398,0.43104112,0.14871646,0.2464592,0.545182,0.09684149,0.2720465,0.27717987,0.6219883,0.42723614
-0.0049366057,0.2432789,0.18779624,0.12041709,0.6233835,0.16687344,0.788281,0.78953546,0.27472335,0.24872679
0.7335271,0.13842894,0.5002537,0.20014961,0.615201,0.06102988,0.48093012,0.50624645,0.42154393,0.18878207
