rely,data,cplx,time,stor,turn,acap,pcap,vexp,modp,sced,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_6,Generated_Var_7,Generated_Var_8,actual
0.19749308,0.35757828,0.18320967,-0.14884311,-0.22248447,0.3853803,0.63141745,0.4352211,0.40043578,0.69266856,0.27036873,0.03684382,0.13141654,0.32632056,0.13404766,0.119556904,0.39088455,0.33752722,0.010986149
0.20942107,0.3495173,0.15633184,-0.0874639,-0.15043566,0.29927808,0.53613627,0.4081114,0.30680633,0.5869183,0.18589671,0.07799503,0.15266144,0.24208984,0.21591133,0.10260908,0.38628027,0.2379786,-0.01751621
0.21918255,0.3543617,0.17980886,-0.15928783,-0.23910859,0.38558415,0.67915577,0.46219733,0.39455247,0.6935937,0.3204856,0.018213898,0.14488466,0.36274058,0.12231435,0.2072412,0.3957437,0.3635964,0.013097516
0.22169499,0.27408674,0.20603187,-0.061829876,-0.10023326,0.30238155,0.46747392,0.3836898,0.27094176,0.5214868,0.1797883,0.13948618,0.16573215,0.31275386,0.2467975,0.23792222,0.33874503,0.3078611,-0.01723652
0.60885274,0.43708333,0.35351154,0.20250216,0.20546672,0.37261206,0.49719492,0.40642416,0.17964387,0.5581199,0.10893391,0.35555822,0.364483,0.06518817,0.5939379,-0.015747838,0.7212964,0.0023148134,0.043882426
0.34455884,0.3594632,0.22733492,0.0522117,0.039973363,0.3133303,0.4419486,0.3553369,0.22051297,0.51067996,0.17630054,0.21657795,0.22134945,0.14332023,0.3845665,0.047024902,0.45723084,0.092667505,0.025039308
0.284235,0.33797574,0.20648319,-0.07076709,-0.13476731,0.33870363,0.54088575,0.45783308,0.29044077,0.58368415,0.16449048,0.11523326,0.1493882,0.26785725,0.21694373,0.17753369,0.40747687,0.26150727,-0.005811913
0.7662387,0.54603803,0.42013356,0.29400626,0.21737504,0.39827588,0.5423981,0.435566,0.15425016,0.60289586,0.12513244,0.44044194,0.36336988,0.014567949,0.663633,-0.13213006,0.8863462,-0.111487575,0.10099108
0.30354524,0.42140466,0.23103373,0.038105905,0.04601029,0.34155217,0.5093307,0.32585013,0.28615028,0.56336135,0.16915013,0.14731002,0.21899228,0.14835751,0.3604891,-0.0217693,0.5048144,0.14895707,0.017108232
0.8759593,0.5503819,0.48396432,0.33346424,0.3156544,0.44472533,0.5478796,0.51202714,0.13890113,0.6692832,0.0378704,0.5192241,0.41939884,0.013997719,0.73631394,-0.21761559,0.98997855,-0.11071395,0.135854
0.37657306,0.42579046,0.26287368,0.07075852,-0.0032127202,0.35780343,0.57572275,0.4333388,0.25018978,0.62147343,0.15907075,0.20636189,0.27369273,0.10159228,0.4512443,-0.033698887,0.5935093,0.08175842,-0.003875821
