Transactions,PointsAdjust,Envergure,MI_PointsAdjust_Entities,Effort
0.11044286,0.15630211,0.5240206314412379,0.19792613,0.2646449
0.3964703,0.43487027,0.7712708462762509,0.3598912,0.69704854
0.056597564,0.26230252,0.5955542357332542,0.5027268,0.28131485
0.24088573,0.19288756,0.5866574951994497,0.11362067,0.2787633
0.23209292,0.25364336,0.6088110365286622,0.21065722,0.33883256
0.09759901,0.014556715,0.16090031965401919,0.029778525,0.093671806
0.14944878,0.11348374,0.6667414700044881,0.09447242,0.3509597
0.10658375,0.20599028,0.6498949889936994,0.32528415,0.28440964
0.17650944,0.25872678,0.6945793416747605,0.30882257,0.30611467
0.18001924,0.24995685,0.7030848421850905,0.16195773,0.34950203
0.1535314,0.2050178,0.327999249679955,0.18672499,0.24186867
0.14709094,0.11723019,0.573081884384913,0.07520571,0.2958616
0.6384483,0.65786433,0.6533277391996644,0.5037345,0.4605836
0.3318541,0.38871267,0.6803536808212208,0.35459286,0.6622347
0.1704117,0.09353352,0.5800590848035452,0.053228088,0.27336395
0.04961756,0.35453618,0.525585681535141,0.6295852,0.3471884
0.106303036,0.07887048,0.557899683473981,0.05755699,0.2652474
0.2643791,0.27489203,0.6714320002859201,0.15392107,0.3456258
0.2276115,0.1572612,0.20777376246642576,0.07130155,0.28061587
0.3429426,0.43534103,0.8897322933839376,0.34405178,0.709726
0.19207677,0.118110314,0.36144554168673254,0.08099317,0.29065618
0.17973506,0.15593295,0.5834539850072391,0.11232674,0.33703655
0.9169675,0.98762214,0.8076528484591708,0.9042504,1.0
0.1723389,0.19090666,0.30080367804822067,0.17138535,0.22175711
0.26722032,0.19689226,0.21101266266075977,0.09908195,0.3268823
0.11464172,0.0855875,0.5995228059713683,0.042156026,0.21714255
0.18224081,0.24385172,0.7466508047990483,0.23475225,0.49275306
0.21164589,0.27285132,0.815154748909285,0.22723293,0.388431
0.12606874,0.24715722,0.7488640949318457,0.3675893,0.41619962
0.15734893,0.16963875,0.555385133323108,0.13847457,0.25115907
0.17796564,0.15661831,0.6587293395237603,0.0985761,0.3512208
0.0,0.16960296,0.2439772646386359,0.36978915,0.31639045
0.23328102,0.20795397,0.3879417432765046,0.10396539,0.28996307
0.17432204,0.16451082,0.5482561928953715,0.12776037,0.27546516
0.24483243,0.30545217,0.6388788383327303,0.24348736,0.51960003
0.35782868,0.42738026,0.8282939096976346,0.3496308,0.73465395
0.17665634,0.18238164,0.7545279452716768,0.12983796,0.43630126
0.17385614,0.14913476,0.3246884794813088,0.11535686,0.15773976
0.113809034,0.06657284,0.19427512165650732,0.031407822,0.21943215
0.17362392,0.19199239,0.532535881952153,0.13028316,0.25204703
0.1841004,0.18024573,0.6016368060982085,0.11584127,0.30014768
0.34558904,0.37611666,0.5941602956496178,0.22140826,0.44812894
0.16907221,0.22932357,0.8422655505359331,0.21703924,0.48766857
0.111271136,0.07843466,0.15785742947144576,0.09106016,0.26516715
0.13757409,0.038536265,0.583510235010614,0.041023776,0.26388243
0.22073497,0.20820732,0.4971812098308726,0.15404363,0.30966446
0.19745277,0.2961033,0.8654175519250531,0.26181847,0.6346427
0.36250824,0.3867106,0.820369749222185,0.23584242,0.6191406
0.12498337,0.1405039,0.6805346408320785,0.10716484,0.38863522
0.10989041,0.11021344,0.36840632210437935,0.08480721,0.21017426
0.15191402,0.1565117,0.6433994386039663,0.11188197,0.36378473
0.1592452,0.16905293,0.7387402443244147,0.1374715,0.4882598
0.12685758,0.16734877,0.6431572785894367,0.22282681,0.30285358
0.1610393,0.15594889,0.5951083357065002,0.09763804,0.31318662
0.20975937,0.2833875,0.5782524646951479,0.27660275,0.4957472
0.17325468,0.11138488,0.39370832362249947,0.06986832,0.26333892
0.40351784,0.4025781,0.7099182425950946,0.23136543,0.442824
0.1959671,0.2864372,0.7910056474603389,0.24124147,0.5150241
0.25371623,0.30840716,0.819094049145643,0.21714813,0.65708375
0.13275549,0.074603915,0.4140892848453571,0.09270713,0.26965046
0.10230068,0.053464256,0.3303041698182502,0.067100264,0.24725127
0.21231875,0.22227672,0.7299045437942726,0.16817808,0.47349578
0.14963903,0.115888886,0.47894635873678154,0.08109242,0.28515917
0.20278642,0.17024033,0.6414333384860003,0.09570147,0.32565495
0.11472042,0.116239406,0.22538997352339843,0.116251014,0.21626656
0.1702588,0.15341687,0.5610320936619257,0.14125589,0.35104156
0.20150737,0.21907294,0.535025632101538,0.14972916,0.3641081
0.7015155,0.76228434,0.6682911400974685,0.65842766,0.68199027
0.105521925,0.094401985,0.3591000215460013,0.100207016,0.24669495
0.17117974,0.1424686,0.47418322845099375,0.087638475,0.31488526
0.16648416,0.09223204,0.55241733314504,0.0703692,0.29154286
0.22612377,0.29098672,0.26585979595158776,0.313467,0.21099062
0.4672262,0.53122985,0.544505732670344,0.5014831,0.4932752
0.18362175,0.22322106,0.8918387235103233,0.16676451,0.55844843
0.2736959,0.308952,0.838400950304057,0.18316564,0.6217289
0.23740555,0.24983333,0.4656437879386273,0.1985119,0.3484474
0.14006653,0.13325721,0.56873433412406,0.10989471,0.33002433
0.14906676,0.06455809,0.6171278770276726,0.06204617,0.29146975
0.111660495,0.010408354,0.4216937653016259,0.0034986958,0.17989627
0.13205284,0.14102423,0.5051306803078408,0.09162522,0.32344663
0.1881526,0.15403007,0.47515812850948774,0.10886934,0.28664613
0.11734986,0.120009325,0.3467293908037634,0.114544004,0.28134823
0.3972243,0.454397,0.527940131676408,0.43755063,0.56943667
0.5477196,0.61300945,0.5548493032909582,0.5144761,0.48752084
0.0994775,0.08029297,0.20505441230326474,0.08767867,0.16379298
0.21116729,0.23664881,0.6749260804955649,0.21813123,0.5498342
0.15583044,0.23646812,0.7654754459285268,0.21078569,0.4134382
0.123086,0.06171546,0.268027016081621,0.051205,0.20363034
0.19583152,0.21657993,0.5982193358931602,0.18781902,0.461837
0.23186646,0.20629363,0.6626928797615728,0.14186084,0.34827292
0.44390696,0.49501753,0.39716049382962965,0.48799807,0.4306233
0.14548162,0.06702707,0.5664093339845601,0.059528608,0.25825456
0.16139325,0.14553382,0.550279233016754,0.09842728,0.2959509
0.3576702,0.4782247,0.6382298382937903,0.43336466,0.542693
0.11952811,0.037887536,0.2531282451876947,0.034650043,0.16313483
0.19178851,0.2661182,0.9022346541340793,0.22133267,0.5787954
