rely,data,time,stor,turn,acap,aexp,pcap,vexp,lexp,modp,loc,actual
0.88,1.16,1.0,1.06,1.07,1.19,1.13,1.17,1.1,1.0,1.24,113.0,2040.0
0.88,1.16,1.0,1.06,1.07,1.0,0.91,1.0,0.9,0.95,1.1,293.0,1600.0
1.0,1.16,1.0,1.0,0.94,0.86,0.82,0.86,0.9,0.95,0.91,132.0,243.0
0.75,1.16,1.0,1.0,1.0,1.19,0.91,1.42,1.0,0.95,1.24,60.0,240.0
0.88,0.94,1.0,1.0,1.0,1.0,1.0,0.86,0.9,0.95,1.24,16.0,33.0
0.75,1.0,1.0,1.21,1.0,1.46,1.0,1.42,0.9,0.95,1.24,4.0,43.0
0.75,1.0,1.0,1.0,0.87,1.0,1.0,1.0,0.9,0.95,0.91,6.9,8.0
1.15,0.94,1.66,1.56,1.0,0.71,0.91,1.0,1.21,1.14,1.1,22.0,1075.0
1.15,0.94,1.3,1.21,1.0,0.86,1.0,0.86,1.1,1.07,0.91,30.0,423.0
1.4,0.94,1.11,1.56,1.07,0.86,0.82,0.86,0.9,1.0,1.0,29.0,321.0
1.4,0.94,1.11,1.56,1.07,0.86,0.82,0.86,0.9,1.0,1.0,32.0,218.0
1.15,0.94,1.11,1.06,1.0,0.86,0.82,0.86,1.0,0.95,0.91,37.0,201.0
1.15,0.94,1.11,1.06,1.0,0.71,1.0,0.7,1.1,1.0,0.82,25.0,79.0
1.15,0.94,1.3,1.56,1.0,0.86,1.0,0.7,1.1,1.07,1.1,3.0,60.0
1.4,0.94,1.3,1.06,0.87,0.86,1.13,0.86,1.21,1.14,0.91,3.9,61.0
1.4,1.0,1.3,1.56,0.87,0.86,1.0,0.86,1.0,1.0,1.0,6.1,40.0
1.4,1.0,1.3,1.56,0.87,0.86,0.82,0.86,1.0,1.0,1.0,3.6,9.0
1.15,1.16,1.3,1.21,1.07,0.86,1.0,1.0,1.0,1.0,1.24,320.0,11400.0
1.15,1.08,1.11,1.21,0.94,0.71,0.91,1.0,1.0,1.0,0.91,1150.0,6600.0
