time,acap,vexp,lexp,MI_loc_aexp,MI_loc_cplx,MI_loc_turn,actual
0.30901366,0.6684919,0.4048569604856961,0.29761833,0.4127193,0.66861975,0.2146631128797868,0.24755612
0.5662542,0.2800331,0.6151041615104162,0.56139576,0.34046352,0.5847397,0.165666649939999,0.5195266
0.38804412,0.6306515,0.43677604367760436,0.35832494,0.5012036,0.80023646,0.2409584844575091,0.3425878
0.34633112,0.6226224,0.4579094457909446,0.3708486,0.3981505,0.6353892,0.29338096760285803,0.5368054
0.36111704,0.585854,0.43436546343654636,0.36098686,0.39824152,0.6336933,0.26897598613855916,0.39083153
0.2890379,0.5864817,0.35361031536103155,0.27244118,0.43951407,0.8093422,0.2583877555032653,0.37668526
0.37524897,0.56904507,0.41803137180313715,0.30990177,0.46653467,0.7506269,0.17778255066695303,0.3673385
0.27219808,0.5425184,0.3259881125988113,0.26017588,0.36455435,0.8613027,0.23482106408926387,0.36163893
0.30974475,0.6559718,0.43039104303910436,0.32816476,0.43123937,0.72986037,0.2785392567123554,0.34586304
0.40281725,0.5937554,0.5273683527368354,0.42590058,0.28267905,0.50211644,0.2497838249870295,0.3303559
0.3101601,0.6459332,0.398556339855634,0.2961744,0.588536,0.7538482,0.3223463193407791,0.34165767
0.3133207,0.7121811,0.3361909736190974,0.2621911,0.47888616,0.7830336,0.25054346503260794,0.31505048
0.3046985,0.5659004,0.35083175508317554,0.28078187,0.39586204,0.7812444,0.1585410195124612,0.27892756
0.33003497,0.5645414,0.39073071907307194,0.32575813,0.35348773,0.7103705,0.20976826258609574,0.4744497
0.29766545,0.55830187,0.3422281342228134,0.25888833,0.42936885,0.7959874,0.2280997636859858,0.376608
0.25308076,0.56630343,0.32385817238581727,0.25102428,0.35118982,0.75458086,0.2750222865013372,0.44286305
0.5673809,0.54869276,0.6666514366651437,0.5408952,0.4054695,0.55606425,0.17827889069673344,0.4848874
0.4484468,0.52866745,0.5509713250971325,0.47156903,0.4241078,0.38962388,0.23644724418683466,0.49972227
0.37545592,0.3701084,0.4667685766768577,0.39669636,0.32069543,0.72812563,0.20995417259725035,0.48613212
